File Name,TItle,Description,Category,Level,Source Organization,Dates,Source URL,Attachment
1995-2015_National_Measures_Reported_Criminal_Victimization,Percentage of students who reported criminal victimization at school ,"Percentage of students ages 12-18 who reported criminal victimization at school during the previous 6 months, by type of victimization, race, gender, grade, whether public or private school and type of school setting ",Violence,National ,National Center for Education Statistics ,1995-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_228.30.asp,1995-2015_National_Measures_Reported_Criminal_Victimization.csv (https://dl.airtable.com/.attachments/28e09634a2e9307b6c70683f5c3b9611/21b6f625/1995-2015_National_Measures_Reported_Criminal_Victimization.csv)
1999-2016_National_Measures_Homeschooled_Students,Number and percentage of homeschooled students ,"Number and percentage of homeschooled students ages 5 through 17 with a grade equivalent of kindergarten through 12th grade, by selected child, parent, and household characteristics",Homeschool,National ,National Center for Education Statistics ,1999-2016,https://nces.ed.gov/programs/digest/d17/tables/dt17_206.10.asp,
1999-2016_National_Measures_Safety_Security,Percentage of public schools with various safety and security measures,"Measures include controlled access during school hours, student dress, drug testing, metal detectors, dogs, and sweeps, communication systems and technology",Discipline,National ,National Center for Education Statistics ,1999-2016,https://nces.ed.gov/programs/digest/d17/tables/dt17_233.50.asp,1999-2016_National_Measures_Safety_Security.csv (https://dl.airtable.com/.attachments/d622b903031b4b5ca9d84b874385faba/8b135083/1999-2016_National_Measures_Safety_Security.csv)
2000-2015_National_Rates_Pupils_Teachers_Ratios,"Teachers, enrollment, and pupil/teacher ratios","Public elementary and secondary teachers, enrollment, and pupil/teacher ratios, by state or jurisdiction: Selected years, fall 2000 through fall 2015",Education ,National ,National Center for Education Statistics ,2000-2015,https://nces.ed.gov/programs/digest/d17/tables/dt17_208.40.asp?current=yes,
2001-07_AK_Rates_Arrests,Estimated arrests of persons under age 18 in Alaska,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_AK_Rates_Arrests.csv (https://dl.airtable.com/.attachments/8d023d3b26e64db08212679819796745/ec79f982/2001-07_AK_Rates_Arrests.csv)
2001-07_AL_Rates_Arrests,Estimated arrests of persons under age 18 in Alabama,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_AL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/4b0a5d6b6745880d35953b532ff22102/f6e5bb16/2001-07_AL_Rates_Arrests.csv)
2001-07_AR_Rates_Arrests,Estimated arrests of persons under age 18 in Arkansas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_AR_Rates_Arrests.csv (https://dl.airtable.com/.attachments/23696c71f0e594d44d92f5ce1f004cf2/6a71972e/2001-07_AR_Rates_Arrests.csv)
2001-07_AZ_Rates_Arrests,Estimated arrests of persons under age 18 in Arizona ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_AZ_Rates_Arrests.csv (https://dl.airtable.com/.attachments/d231a12fc740678df2fce7d0a958dc50/1ac369e1/2001-07_AZ_Rates_Arrests.csv)
2001-07_CA_Rates_Arrests,Estimated arrests of persons under age 18 in California ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_CA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/14c9744fda7d7ac2214f89323fe76ed0/b21dfaf7/2001-07_CA_Rates_Arrests.csv)
2001-07_CO_Rates_Arrests,Estimated arrests of persons under age 18 in Colorado ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_CO_Rates_Arrests.csv (https://dl.airtable.com/.attachments/3920987623ff4cd7a3170175118bdb84/e7b4c4a8/2001-07_CO_Rates_Arrests.csv)
2001-07_CT_Rates_Arrests,Estimated arrests of persons under age 18 in Connecticut ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_CT_Rates_Arrests.csv (https://dl.airtable.com/.attachments/f33557d72b7d8d60ed5af4b7182ec0ff/b1942877/2001-07_CT_Rates_Arrests.csv)
2001-07_DC_Rates_Arrests,Estimated arrests of persons under age 18 in District of Columbia ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_DC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/8c1542102438c4ff512af792628ecab5/666edf88/2001-07_DC_Rates_Arrests.csv)
2001-07_DE_Rates_Arrests,Estimated arrests of persons under age 18 in Delaware ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_DE_Rates_Arrests.csv (https://dl.airtable.com/.attachments/d6d99a9e630d269fbee233c759fcf807/dbaba8e3/2001-07_DE_Rates_Arrests.csv)
2001-07_FL_Rates_Arrests,Estimated arrests of persons under age 18 in Florida,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_FL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/fd158bcac1a949bd5c3aae3b4c38d99b/12167af3/2001-07_FL_Rates_Arrests.csv)
2001-07_GA_Rates_Arrests,Estimated arrests of persons under age 18 in Georgia ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_GA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/7c5141d4b4a70234dd0ed463aa7093cb/8bb5687f/2001-07_GA_Rates_Arrests.csv)
2001-07_HI_Rates_Arrests,Estimated arrests of persons under age 18 in Hawaii ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_HI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c3b6849730740cf29294c87b3bb59c8f/cbea48ff/2001-07_HI_Rates_Arrests.csv)
2001-07_IA_Rates_Arrests,Estimated arrests of persons under age 18 in Iowa ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_IA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/ea23037d1d0da4b44093142cbde45a9c/eee87e23/2001-07_IA_Rates_Arrests.csv)
2001-07_ID_Rates_Arrests,Estimated arrests of persons under age 18 in Idaho ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_ID_Rates_Arrests.csv (https://dl.airtable.com/.attachments/349ed77b8b2a2de72dab58d192eb502b/dd9ac738/2001-07_ID_Rates_Arrests.csv)
2001-07_IL_Rates_Arrests,Estimated arrests of persons under age 18 in Illinois ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_IL_Rates_Arrests.csv (https://dl.airtable.com/.attachments/0561f9485603d21d88c39b169a309c22/3ac10fc8/2001-07_IL_Rates_Arrests.csv)
2001-07_IN_Rates_Arrests,Estimated arrests of persons under age 18 in Indiana ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_IN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/52fcd42f2928d2008af63234645537a6/72501e3a/2001-07_IN_Rates_Arrests.csv)
2001-07_KS_Rates_Arrests,Estimated arrests of persons under age 18 in Kansas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_KS_Rates_Arrests.csv (https://dl.airtable.com/.attachments/ae127e07783ebeb508259752f1de101b/893b01a4/2001-07_KS_Rates_Arrests.csv)
2001-07_KY_Rates_Arrests,Estimated arrests of persons under age 18 in Kentucky ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_KY_Rates_Arrests.csv (https://dl.airtable.com/.attachments/131fa4179685f1a0bbdf14a064df2f31/99dcdd3c/2001-07_KY_Rates_Arrests.csv)
2001-07_LA_Rates_Arrests,Estimated arrests of persons under age 18 in Louisiana ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_LA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/f3c225fc0473e141e7ff1663e378b662/733e1822/2001-07_LA_Rates_Arrests.csv)
2001-07_MA_Rates_Arrests,Estimated arrests of persons under age 18 in Massachusetts ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MD_Rates_Arrests.csv (https://dl.airtable.com/.attachments/a7cb2215c0f228b04459fbd63c1e8adb/2eddfd2a/2001-07_MD_Rates_Arrests.csv)
2001-07_MD_Rates_Arrests,Estimated arrests of persons under age 18 in Maryland ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_ME_Rates_Arrests.csv (https://dl.airtable.com/.attachments/cbd48742cd01b7f45887c7fe1809880b/fa54b325/2001-07_ME_Rates_Arrests.csv)
2001-07_ME_Rates_Arrests,Estimated arrests of persons under age 18 in Maine ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/1d132ea2157b6a98d14021bdef0067f1/e6ff2ce9/2001-07_MI_Rates_Arrests.csv)
2001-07_MI_Rates_Arrests,Estmated arrests of persons under age 18 in Michigan ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/17740d9524fa3b3d9b82e8492d4a4765/deac094b/2001-07_MN_Rates_Arrests.csv)
2001-07_MN_Rates_Arrests,Estimated arrests of persons under age 18 in Minnesota,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MO_Rates_Arrests.csv (https://dl.airtable.com/.attachments/bea414abdfa1f64724421db54d0bb5b2/edba34be/2001-07_MO_Rates_Arrests.csv)
2001-07_MO_Rates_Arrests,Estimated arrests of persons under age in Missouri ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MS_Rates_Arrests.csv (https://dl.airtable.com/.attachments/4a6a91052662c0acc994edf92232f47f/848117e5/2001-07_MS_Rates_Arrests.csv)
2001-07_MS_Rates_Arrests,Estimated arrests of persons under age 18 in Mississippi,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_MT_Rates_Arrests.csv (https://dl.airtable.com/.attachments/d7ae4fe5d5872efb02e8b19904454d61/bffd6863/2001-07_MT_Rates_Arrests.csv)
2001-07_MT_Rates_Arrests,Estimated arrests of persons under age 18 in Montana ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/9fc07e82343e7056ec5497c85544c616/bf84cbc8/2001-07_NC_Rates_Arrests.csv)
2001-07_NC_Rates_Arrests,Estimated arrests of persons under age 18 in North Carolina,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/bf88b573389ccc9d5e44dab7204fcfc4/fc4bde30/2001-07_NC_Rates_Arrests.csv)
2001-07_ND_Rates_Arrests,Estimated arrests of persons under age 18 in North Dakota,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_ND_Rates_Arrests.csv (https://dl.airtable.com/.attachments/b42c3ba6283ea0278d74e0092e8dc5a2/7a57302b/2001-07_ND_Rates_Arrests.csv)
2001-07_NE_Rates_Arrests,Estimated arrests of persons under age 18 in Nebraska ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NE_Rates_Arrests.csv (https://dl.airtable.com/.attachments/411cb54534dbd0bbdf5a74a57024518b/816a4bf6/2001-07_NE_Rates_Arrests.csv)
2001-07_NH_Rates_Arrests,Estimated arrests of persons under age 18 in New Hampshire ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2001-07_NJ_Rates_Arrests,Estimated arrests of persons under age 18 in New Jersey ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NJ_Rates_Arrests.csv (https://dl.airtable.com/.attachments/5c542e242f85742b76e2d8a4385bc597/f7fc25b7/2001-07_NJ_Rates_Arrests.csv)
2001-07_NM_Rates_Arrests,Estimated arrests of persons under age 18 in New Mexico ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NM_Rates_Arrests.csv (https://dl.airtable.com/.attachments/ee69d191bf50189dc5982dd49f5ed45d/1c58f8d1/2001-07_NM_Rates_Arrests.csv)
2001-07_NV_Rates_Arrests,Estimated arrests of persons under age 18 in Nevada ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_NV_Rates_Arrests.csv (https://dl.airtable.com/.attachments/35e37c06a8fb51f44eca5e0b0ca1a64c/0e7e92a8/2001-07_NV_Rates_Arrests.csv)
2001-07_NY_Rates_Arrests,Estimated arrests of persons under age 18 in New York ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,
2001-07_OH_Rates_Arrests,Estimated arrests of persons under age 18 in Ohio,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_OH_Rates_Arrests.csv (https://dl.airtable.com/.attachments/11f3fa2b9686b32e9b6f3c61af70f15d/a40ed464/2001-07_OH_Rates_Arrests.csv)
2001-07_OK_Rates_Arrests,Estimated arrests of persons under age 18 in Oklahoma ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_OK_Rates_Arrests.csv (https://dl.airtable.com/.attachments/0ce9f9138ebeca8115992f35f20d0759/d4ccb97f/2001-07_OK_Rates_Arrests.csv)
2001-07_OR_Rates_Arrests,Estimated arrests of persons under age 18 in Oregon ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_OR_Rates_Arrests.csv (https://dl.airtable.com/.attachments/6ea24b3881a798f1f38f7ae70d1a26c4/bb62ed7a/2001-07_OR_Rates_Arrests.csv)
2001-07_PA_Rates_Arrests,Estimated arrests of persons under age 18 in Pennsylvania ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_PA_Rates_Arrests.csv (https://dl.airtable.com/.attachments/0ab48e2664eb2bc394f55a4ad04833b5/5daf8e54/2001-07_PA_Rates_Arrests.csv)
2001-07_RI_Rates_Arrests,Estimated arrests of persons under age 18 in Rhode Island ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_RI_Rates_Arrests.csv (https://dl.airtable.com/.attachments/5c67da130e9f40076ed3a9ee470aecce/34d03841/2001-07_RI_Rates_Arrests.csv)
2001-07_SC_Rates_Arrests,Estimated arrests of persons under age 18 in South Carolina,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_SC_Rates_Arrests.csv (https://dl.airtable.com/.attachments/f2b8351f1698be68fded29a656c4a6d2/5bca4c83/2001-07_SC_Rates_Arrests.csv)
2001-07_SD_Rates_Arrests,Estimated arrests of persons under age 18 in South Dakota ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_SD_Rates_Arrests.csv (https://dl.airtable.com/.attachments/f101dd259da6d6fac8fc701695a6c592/dab853a9/2001-07_SD_Rates_Arrests.csv)
2001-07_TN_Rates_Arrests,Estimated arrests of persons under age 18 in Tennessee ,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_TN_Rates_Arrests.csv (https://dl.airtable.com/.attachments/eb76381dc4448f532e9ff7db559a301e/6bafa160/2001-07_TN_Rates_Arrests.csv)
2001-07_TX_Rates_Arrests,Estimated arrests of persons under age 18 in Texas,Number of arrests by type of offense and population of ages 10-17. Note: Only jurisdictions with a coverage indicator at or above 90% are displayed ,Arrests,State,Office of Juvenile Justice and Delinquency Prevention,2001-07,https://www.ojjdp.gov/ojstatbb/ezaucr/asp/ucr_display.asp,2001-07_TX_Rates_Arrests.csv (https://dl.airtable.com/.attachments/c1179d2e8acbde5a457b9dd286ead0b6/5d071412/2001-07_TX_Rates_Arrests.csv)
