Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions with educational services for males,209,64.1,8,2.5,201,61.7,7,2.2,DS,0.6,11,3.5,109,34.3,70,22,0,0,DS,0.6,6,1.8,"2,077",27,2,4
Expulsions with educational services for females,117,35.9,0,0,117,35.9,8,2.5,0,0,DS,0.6,79,24.8,26,8.2,0,0,DS,0.6,DS,0.6,"2,077",27,2,4
Expulsions with educational services total,326,100,8,2.5,318,97.5,15,4.7,DS,0.6,13,4.1,188,59.1,96,30.2,0,0,4,1.3,8,2.5,"2,077",27,2,4
Expulsions without educational services for males,39,72.2,0,0,39,72.2,0,0,0,0,DS,3.7,DS,3.7,30,55.6,0,0,5,9.3,DS,3.7,"2,077",27,2,4
Expulsions without educational services for females,15,27.8,0,0,15,27.8,0,0,0,0,DS,3.7,DS,3.7,11,20.4,0,0,0,0,DS,3.7,"2,077",27,2,4
Expulsions without educational services total,54,100,0,0,54,100,0,0,0,0,4,7.4,4,7.4,41,75.9,0,0,5,9.3,4,7.4,"2,077",27,2,4
Expulsions with or without educational services for males,248,65.3,8,2.1,240,63.2,7,1.9,DS,0.5,14,3.8,111,29.8,98,26.3,0,0,8,2.2,8,2.1,"2,077",27,2,4
Expulsions with or without educational services for females,132,34.7,0,0,132,34.7,8,2.2,0,0,4,1.1,81,21.8,37,9.9,0,0,DS,0.5,4,1.1,"2,077",27,2,4
Expulsions with or without educational services total,380,100,8,2.1,372,97.9,15,4,DS,0.5,18,4.8,192,51.6,135,36.3,0,0,10,2.7,12,3.2,"2,077",27,2,4
Expulsions under zero-tolerance policies for males,50,82,DS,3.3,48,78.7,DS,3.4,0,0,0,0,DS,3.4,39,66.1,0,0,5,8.5,0,0,"2,077",27,2,4
Expulsions under zero-tolerance policies for females,11,18,0,0,11,18,0,0,0,0,DS,3.4,DS,3.4,7,11.9,0,0,0,0,0,0,"2,077",27,2,4
Expulsions under zero-tolerance policies total,61,100,DS,3.3,59,96.7,DS,3.4,0,0,DS,3.4,4,6.8,46,78,0,0,5,8.5,0,0,"2,077",27,2,4
Referral to law enforcement for males,"1,528",76.5,13,0.7,"1,515",75.8,77,3.9,30,1.5,106,5.4,475,24,805,40.7,0,0,22,1.1,56,2.8,"2,077",27,2,4
Referral to law enforcement for females,470,23.5,8,0.4,462,23.1,32,1.6,DS,0.1,32,1.6,180,9.1,205,10.4,0,0,11,0.6,16,0.8,"2,077",27,2,4
Referral to law enforcement total,"1,998",100,21,1.1,"1,977",98.9,109,5.5,32,1.6,138,7,655,33.1,"1,010",51.1,0,0,33,1.7,72,3.6,"2,077",27,2,4
School-related arrests for males,236,73.1,DS,0.6,234,72.4,15,4.7,4,1.3,14,4.4,98,30.7,99,31,0,0,4,1.3,4,1.2,"2,077",27,2,4
School-related arrests for females,87,26.9,DS,0.6,85,26.3,5,1.6,0,0,DS,0.6,44,13.8,30,9.4,DS,0.6,DS,0.6,DS,0.6,"2,077",27,2,4
School-related arrests total,323,100,4,1.2,319,98.8,20,6.3,4,1.3,16,5,142,44.5,129,40.4,DS,0.6,6,1.9,6,1.9,"2,077",27,2,4
