Physical restraint,District of Columbia,15 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,14 ,93.3 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.7 ,0 ,0.0 ,0 ,0.0 ,204 ,100.0 ,,
Physical restraint,Florida,68 ,1 to 3,2.9 ,0 ,0.0 ,10 ,14.7 ,23 ,33.8 ,28 ,41.2 ,0 ,0.0 ,5 ,7.4 ,1 to 3,2.9 ,1 to 3,1.5 ,"3,954 ",100.0 ,,
Physical restraint,Georgia,41 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.9 ,24 ,58.5 ,14 ,34.1 ,0 ,0.0 ,1 to 3,2.4 ,0 ,0.0 ,0 ,0.0 ,"2,444 ",99.8 ,,
Physical restraint,Hawaii,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,287 ,100.0 ,,
Physical restraint,Idaho,8 ,1 to 3,12.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,87.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,12.5 ,715 ,100.0 ,,
Physical restraint,Illinois,61 ,0 ,0.0 ,1 to 3,1.6 ,1 to 3,4.9 ,27 ,44.3 ,25 ,41.0 ,0 ,0.0 ,5 ,8.2 ,1 to 3,1.6 ,0 ,0.0 ,"4,134 ",100.0 ,,
Physical restraint,Indiana,55 ,0 ,0.0 ,0 ,0.0 ,1 to 3,5.5 ,18 ,32.7 ,27 ,49.1 ,0 ,0.0 ,7 ,12.7 ,1 to 3,1.8 ,1 to 3,1.8 ,"1,864 ",100.0 ,,
Physical restraint,Iowa,103 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,18 ,17.5 ,80 ,77.7 ,0 ,0.0 ,5 ,4.9 ,0 ,0.0 ,4 ,3.9 ,"1,424 ",100.0 ,,
Physical restraint,Kansas,41 ,1 to 3,2.4 ,0 ,0.0 ,4 ,9.8 ,9 ,22.0 ,23 ,56.1 ,0 ,0.0 ,4 ,9.8 ,0 ,0.0 ,1 to 3,2.4 ,"1,396 ",99.9 ,,
Physical restraint,Kentucky,202 ,0 ,0.0 ,0 ,0.0 ,5 ,2.5 ,60 ,29.7 ,124 ,61.4 ,0 ,0.0 ,13 ,6.4 ,1 to 3,1.5 ,1 to 3,0.5 ,"1,422 ",100.0 ,,
Physical restraint,Louisiana,5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,20.0 ,0 ,0.0 ,"1,343 ",100.0 ,,
Physical restraint,Maine,16 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.3 ,14 ,87.5 ,0 ,0.0 ,1 to 3,6.3 ,1 to 3,12.5 ,0 ,0.0 ,573 ,99.0 ,,
Physical restraint,Maryland,28 ,0 ,0.0 ,0 ,0.0 ,4 ,14.3 ,9 ,32.1 ,11 ,39.3 ,1 to 3,7.1 ,1 to 3,7.1 ,1 to 3,3.6 ,1 to 3,7.1 ,"1,435 ",100.0 ,,
Physical restraint,Massachusetts,32 ,0 ,0.0 ,0 ,0.0 ,10 ,31.3 ,12 ,37.5 ,8 ,25.0 ,0 ,0.0 ,1 to 3,6.3 ,1 to 3,3.1 ,1 to 3,3.1 ,"1,859 ",100.0 ,,
Physical restraint,Michigan,117 ,0 ,0.0 ,0 ,0.0 ,5 ,4.3 ,64 ,54.7 ,47 ,40.2 ,0 ,0.0 ,1 to 3,0.9 ,1 to 3,1.7 ,0 ,0.0 ,"3,672 ",100.0 ,,
Physical restraint,Minnesota,45 ,1 to 3,2.2 ,0 ,0.0 ,1 to 3,4.4 ,20 ,44.4 ,21 ,46.7 ,0 ,0.0 ,1 to 3,2.2 ,1 to 3,4.4 ,0 ,0.0 ,"2,056 ",100.0 ,,
Physical restraint,Mississippi,47 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,37 ,78.7 ,10 ,21.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,967 ,100.0 ,,
Physical restraint,Missouri,130 ,1 to 3,0.8 ,0 ,0.0 ,1 to 3,1.5 ,37 ,28.5 ,88 ,67.7 ,0 ,0.0 ,1 to 3,1.5 ,1 to 3,2.3 ,1 to 3,1.5 ,"2,281 ",100.0 ,,
Physical restraint,Montana,10 ,1 to 3,30.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,20.0 ,4 ,40.0 ,0 ,0.0 ,1 to 3,10.0 ,1 to 3,10.0 ,1 to 3,20.0 ,794 ,100.0 ,,
Physical restraint,Nebraska,13 ,0 ,0.0 ,0 ,0.0 ,1 to 3,7.7 ,6 ,46.2 ,6 ,46.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"1,050 ",100.0 ,,
Physical restraint,Nevada,0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,652 ,100.0 ,,
Physical restraint,New Hampshire,10 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,10 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,482 ,100.0 ,,
Physical restraint,New Jersey,54 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.7 ,38 ,70.4 ,9 ,16.7 ,0 ,0.0 ,5 ,9.3 ,1 to 3,1.9 ,0 ,0.0 ,"2,469 ",100.0 ,,
Physical restraint,New Mexico,10 ,4 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,20.0 ,4 ,40.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,20.0 ,1 to 3,10.0 ,872 ,96.8 ,,
Physical restraint,New York,76 ,0 ,0.0 ,0 ,0.0 ,8 ,10.5 ,28 ,36.8 ,39 ,51.3 ,0 ,0.0 ,1 to 3,1.3 ,1 to 3,1.3 ,0 ,0.0 ,"4,894 ",99.9 ,,
Physical restraint,North Carolina,15 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,6 ,40.0 ,8 ,53.3 ,0 ,0.0 ,1 to 3,6.7 ,0 ,0.0 ,0 ,0.0 ,"2,587 ",100.0 ,,
Physical restraint,North Dakota,17 ,5 ,29.4 ,0 ,0.0 ,0 ,0.0 ,1 to 3,11.8 ,10 ,58.8 ,0 ,0.0 ,0 ,0.0 ,1 to 3,17.6 ,0 ,0.0 ,451 ,100.0 ,,
Physical restraint,Ohio,58 ,0 ,0.0 ,0 ,0.0 ,4 ,6.9 ,30 ,51.7 ,22 ,37.9 ,0 ,0.0 ,1 to 3,3.4 ,0 ,0.0 ,1 to 3,1.7 ,"3,609 ",100.0 ,,
Physical restraint,Oklahoma,47 ,1 to 3,4.3 ,0 ,0.0 ,7 ,14.9 ,20 ,42.6 ,15 ,31.9 ,0 ,0.0 ,1 to 3,6.4 ,0 ,0.0 ,1 to 3,4.3 ,"1,811 ",100.0 ,,
Physical restraint,Oregon,10 ,0 ,0.0 ,0 ,0.0 ,1 to 3,20.0 ,1 to 3,30.0 ,5 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,10.0 ,"1,309 ",100.0 ,,
Physical restraint,Pennsylvania,64 ,0 ,0.0 ,0 ,0.0 ,5 ,7.8 ,28 ,43.8 ,27 ,42.2 ,0 ,0.0 ,4 ,6.3 ,1 to 3,4.7 ,1 to 3,1.6 ,"3,056 ",93.0 ,,
Physical restraint,Rhode Island,16 ,0 ,0.0 ,0 ,0.0 ,1 to 3,18.8 ,1 to 3,12.5 ,10 ,62.5 ,0 ,0.0 ,1 to 3,6.3 ,0 ,0.0 ,1 to 3,6.3 ,293 ,100.0 ,,
Physical restraint,South Carolina,99 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,78 ,78.8 ,20 ,20.2 ,0 ,0.0 ,1 to 3,1 to 3,1 to 3,1 to 3,4 ,4.0 ,"1,226 ",100.0 ,,
Physical restraint,South Dakota,50 ,19 ,38.0 ,0 ,0.0 ,1 to 3,6.0 ,4 ,8.0 ,24 ,48.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.0 ,4 ,8.0 ,687 ,100.0 ,,
Physical restraint,Tennessee,81 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.7 ,50 ,61.7 ,26 ,32.1 ,0 ,0.0 ,1 to 3,2.5 ,0 ,0.0 ,0 ,0.0 ,"1,798 ",90.7 ,,
Physical restraint,Texas,585 ,1 to 3,0.3 ,1 to 3,0.5 ,280 ,47.9 ,89 ,15.2 ,194 ,33.2 ,0 ,0.0 ,17 ,2.9 ,24 ,4.1 ,28 ,4.8 ,"8,574 ",100.0 ,,
Physical restraint,Utah,15 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.7 ,14 ,93.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.7 ,990 ,100.0 ,,
Physical restraint,Vermont,31 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,9.7 ,28 ,90.3 ,0 ,0.0 ,0 ,0.0 ,5 ,16.1 ,0 ,0.0 ,307 ,100.0 ,,
Physical restraint,Virginia,53 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.8 ,42 ,79.2 ,8 ,15.1 ,0 ,0.0 ,1 to 3,1.9 ,0 ,0.0 ,0 ,0.0 ,"1,969 ",98.6 ,,
Physical restraint,Washington,12 ,0 ,0.0 ,0 ,0.0 ,1 to 3,25.0 ,1 to 3,16.7 ,7 ,58.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,"2,282 ",99.5 ,,
Physical restraint,West Virginia,25 ,0 ,0.0 ,0 ,0.0 ,1 to 3,8.0 ,1 to 3,12.0 ,17 ,68.0 ,0 ,0.0 ,1 to 3,12.0 ,1 to 3,4.0 ,0 ,0.0 ,730 ,100.0 ,,
Physical restraint,Wisconsin,91 ,4 ,4.4 ,0 ,0.0 ,11 ,12.1 ,27 ,29.7 ,42 ,46.2 ,0 ,0.0 ,7 ,7.7 ,0 ,0.0 ,1 to 3,2.2 ,"2,244 ",98.8 ,,
Physical restraint,Wyoming,9 ,1 to 3,11.1 ,0 ,0.0 ,1 to 3,33.3 ,0 ,0.0 ,5 ,55.6 ,0 ,0.0 ,0 ,0.0 ,1 to 3,22.2 ,0 ,0.0 ,360 ,100.0 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 2,794 public school female students no served under the Individuals with Disabilities Education Act (IDEA) subjected to physical restraint, 56 (1 to 3%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,
,             Students not served under IDEA are the students without disabilities and those with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available on the Data Notes page, under Additional Resources at  http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
