Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions with or without educational services total,128,100,DS,1.6,126,98.4,0,0,0,0,18,14.3,87,69,19,15.1,0,0,DS,1.6,DS,1.6,"2,538",34,1,2
Expulsions under zero-tolerance policies for males,36,75,DS,4.2,34,70.8,0,0,0,0,4,8.7,16,34.8,14,30.4,0,0,0,0,0,0,"2,538",34,1,2
Expulsions under zero-tolerance policies for females,12,25,0,0,12,25,0,0,0,0,DS,4.3,6,13,4,8.7,0,0,0,0,0,0,"2,538",34,1,2
Expulsions under zero-tolerance policies total,48,100,DS,4.2,46,95.8,0,0,0,0,6,13,22,47.8,18,39.1,0,0,0,0,0,0,"2,538",34,1,2
Referral to law enforcement for males,825,77.5,17,1.6,808,75.9,DS,0.2,8,0.8,132,12.6,269,25.7,387,37,0,0,10,1,DS,0.2,"2,538",34,1,2
Referral to law enforcement for females,240,22.5,DS,0.2,238,22.3,0,0,DS,0.2,32,3.1,83,7.9,112,10.7,0,0,9,0.9,DS,0.2,"2,538",34,1,2
Referral to law enforcement total,"1,065",100,19,1.8,"1,046",98.2,DS,0.2,10,1,164,15.7,352,33.7,499,47.7,0,0,19,1.8,4,0.4,"2,538",34,1,2
School-related arrests for males,273,76.5,4,1.1,269,75.4,DS,0.6,DS,0.6,59,16.8,99,28.2,99,28.2,0,0,8,2.3,DS,0.6,"2,538",34,1,2
School-related arrests for females,84,23.5,DS,0.6,82,23,0,0,DS,0.6,10,2.8,33,9.4,32,9.1,0,0,5,1.4,0,0,"2,538",34,1,2
School-related arrests total,357,100,6,1.7,351,98.3,DS,0.6,4,1.1,69,19.7,132,37.6,131,37.3,0,0,13,3.7,DS,0.6,"2,538",34,1,2
