Discipline							Race/Ethnicity of Students Without Disabilities and Those With Disabilities Served Under IDEA1														English Language Learners With and Without Disabilities		Number of Schoolsa
									Asian						White		Native Hawaiian or Other Pacific Islander		Two or more races				
One or more out-of-school suspensions total	"71,851"	100	134	0.2	"71,717"	99.8	394	0.5	189	0.3	"1,294"	1.8	"45,750"	63.8	"23,638"	33	22	0	430	0.6	392	0.5	"1,432"
Expulsions with educational services males	461	72.4	3-Jan	0.3	459	72.1	4	0.6	3-Jan	0.3	14	2.2	272	43	155	24.5	3-Jan	0.3	10	1.6	6	0.9	"1,432"
Expulsions with educational services females	176	27.6	3-Jan	0.3	174	27.3	0	0	3-Jan	0.3	3-Jan	0.3	91	14.4	77	12.2	3-Jan	0.3	0	0	0	0	"1,432"
Expulsions with educational services total	637	100	4	0.6	633	99.4	4	0.6	4	0.6	16	2.5	363	57.3	232	36.7	4	0.6	10	1.6	6	0.9	"1,432"
Expulsions without educational services males	319	74.4	0	0	319	74.4	3-Jan	0.5	0	0	4	0.9	189	44.1	122	28.4	0	0	3-Jan	0.5	3-Jan	0.5	"1,432"
Expulsions without educational services females	110	25.6	0	0	110	25.6	0	0	0	0	3-Jan	0.5	58	13.5	48	11.2	0	0	3-Jan	0.5	0	0	"1,432"
Expulsions without educational services total	429	100	0	0	429	100	3-Jan	0.5	0	0	6	1.4	247	57.6	170	39.6	0	0	4	0.9	3-Jan	0.5	"1,432"
Expulsions with or without educational services males	776	73.1	3-Jan	0.2	774	72.9	4	0.4	3-Jan	0.2	17	1.6	459	43.4	277	26.2	3-Jan	0.2	13	1.2	9	0.8	"1,432"
Expulsions with or without educational services females	286	26.9	3-Jan	0.2	284	26.7	0	0	3-Jan	0.2	4	0.4	149	14.1	125	11.8	3-Jan	0.2	3-Jan	0.2	0	0	"1,432"
Expulsions with or without educational services total	"1,062"	100	4	0.4	"1,058"	99.6	4	0.4	4	0.4	21	2	608	57.5	402	38	4	0.4	15	1.4	9	0.8	"1,432"
Expulsions under zero-tolerance policies males	138	85.7	3-Jan	1.2	136	84.5	3-Jan	1.3	0	0	3-Jan	1.3	61	38.4	67	42.1	0	0	4	2.5	3-Jan	1.2	"1,432"
Expulsions under zero-tolerance policies females	23	14.3	0	0	23	14.3	0	0	0	0	0	0	10	6.3	11	6.9	0	0	3-Jan	1.3	0	0	"1,432"
Expulsions under zero-tolerance policies total	161	100	3-Jan	1.2	159	98.8	3-Jan	1.3	0	0	3-Jan	1.3	71	44.7	78	49.1	0	0	6	3.8	3-Jan	1.2	"1,432"
Referral to law enforcement males	"1,662"	70	7	0.3	"1,655"	69.7	6	0.3	14	0.6	24	1	902	38.1	692	29.3	0	0	17	0.7	6	0.3	"1,432"
Referral to law enforcement females	712	30	3-Jan	0.1	710	29.9	7	0.3	0	0	9	0.4	473	20	217	9.2	0	0	4	0.2	0	0	"1,432"
Referral to law enforcement total	"2,374"	100	9	0.4	"2,365"	99.6	13	0.5	14	0.6	33	1.4	"1,375"	58.1	909	38.4	0	0	21	0.9	6	0.3	"1,432"
School-related arrests males	922	69.7	3-Jan	0.2	920	69.5	3-Jan	0.2	11	0.8	10	0.8	577	43.7	310	23.5	3-Jan	0.2	8	0.6	3-Jan	0.2	"1,432"
School-related arrests females	401	30.3	3-Jan	0.2	399	30.2	6	0.5	0	0	3-Jan	0.2	294	22.3	97	7.4	0	0	0	0	0	0	"1,432"
School-related arrests total	"1,323"	100	4	0.3	"1,319"	99.7	8	0.6	11	0.8	12	0.9	871	66	407	30.9	3-Jan	0.2	8	0.6	3-Jan	0.2	"1,432"
