Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension total	"24,476"	100	"2,974"	12.2	"21,502"	87.8	68	0.3	61	0.3	"9,316"	43.3	"7,896"	36.7	"3,822"	17.8	12	0.1	327	1.5	"2,704"	11	"8,472"	48	3	7
One or more out-of-school suspensions on males	"42,492"	79.2	"5,307"	9.9	"37,185"	69.3	138	0.3	147	0.3	"16,655"	35.7	"11,836"	25.4	"7,808"	16.8	27	0.1	574	1.2	"4,820"	9	"8,472"	48	3	7
One or more out-of-school suspensions on females	"11,156"	20.8	"1,745"	3.3	"9,411"	17.5	37	0.1	27	0.1	"4,004"	8.6	"3,604"	7.7	"1,587"	3.4	DS	0	150	0.3	998	1.9	"8,472"	48	3	7
One or more out-of-school suspensions total	"53,648"	100	"7,052"	13.1	"46,596"	86.9	175	0.4	174	0.4	"20,659"	44.3	"15,440"	33.1	"9,395"	20.2	29	0.1	724	1.6	"5,818"	10.8	"8,472"	48	3	7
Expulsions with educational services on males	"2,435"	83.4	295	10.1	"2,140"	73.3	10	0.4	5	0.2	"1,060"	41.6	516	20.3	506	19.9	DS	0.1	41	1.6	289	9.9	"8,472"	48	3	7
Expulsions with educational services on females	485	16.6	77	2.6	408	14	DS	0.1	DS	0.1	191	7.5	112	4.4	93	3.6	0	0	8	0.3	58	2	"8,472"	48	3	7
Expulsions with educational services total	"2,920"	100	372	12.7	"2,548"	87.3	12	0.5	7	0.3	"1,251"	49.1	628	24.6	599	23.5	DS	0.1	49	1.9	347	11.9	"8,472"	48	3	7
Expulsions without educational services on males	207	87.3	32	13.5	175	73.8	DS	1	0	0	62	30.8	32	15.9	72	35.8	0	0	7	3.5	4	1.7	"8,472"	48	3	7
Expulsions without educational services on females	30	12.7	4	1.7	26	11	0	0	0	0	11	5.5	DS	1	9	4.5	0	0	4	2	DS	0.8	"8,472"	48	3	7
Expulsions without educational services total	237	100	36	15.2	201	84.8	DS	1	0	0	73	36.3	34	16.9	81	40.3	0	0	11	5.5	6	2.5	"8,472"	48	3	7
Expulsions with or without educational services on males	"2,655"	83.5	332	10.4	"2,323"	73.1	12	0.4	5	0.2	"1,130"	40.9	548	19.8	579	20.9	DS	0.1	47	1.7	292	9.2	"8,472"	48	3	7
Expulsions with or without educational services on females	524	16.5	82	2.6	442	13.9	DS	0.1	DS	0.1	204	7.4	117	4.2	105	3.8	0	0	12	0.4	60	1.9	"8,472"	48	3	7
Expulsions with or without educational services total	"3,179"	100	414	13	"2,765"	87	14	0.5	7	0.3	"1,334"	48.2	665	24.1	684	24.7	DS	0.1	59	2.1	352	11.1	"8,472"	48	3	7
Expulsions under zero-tolerance policies on males	983	77.1	125	9.8	858	67.3	DS	0.2	4	0.4	475	43.4	146	13.3	201	18.4	0	0	30	2.7	100	7.8	"8,472"	48	3	7
Expulsions under zero-tolerance policies on females	292	22.9	56	4.4	236	18.5	0	0	DS	0.2	131	12	43	3.9	52	4.8	0	0	8	0.7	41	3.2	"8,472"	48	3	7
Expulsions under zero-tolerance policies total	"1,275"	100	181	14.2	"1,094"	85.8	DS	0.2	6	0.5	606	55.4	189	17.3	253	23.1	0	0	38	3.5	141	11.1	"8,472"	48	3	7
Referral to law enforcement on males	"2,886"	79.1	356	9.8	"2,530"	69.4	11	0.3	9	0.3	"1,140"	35.8	674	21.2	639	20.1	5	0.2	52	1.6	246	6.7	"8,472"	48	3	7
Referral to law enforcement on females	761	20.9	105	2.9	656	18	DS	0.1	4	0.1	291	9.1	200	6.3	142	4.5	4	0.1	13	0.4	60	1.6	"8,472"	48	3	7
Referral to law enforcement total	"3,647"	100	461	12.6	"3,186"	87.4	13	0.4	13	0.4	"1,431"	44.9	874	27.4	781	24.5	9	0.3	65	2	306	8.4	"8,472"	48	3	7
School-related arrests on males	"1,181"	78.9	103	6.9	"1,078"	72	14	1	5	0.4	613	45.1	221	16.3	195	14.3	DS	0.1	28	2.1	210	14	"8,472"	48	3	7
School-related arrests on females	316	21.1	35	2.3	281	18.8	DS	0.1	6	0.4	160	11.8	70	5.2	38	2.8	0	0	5	0.4	58	3.9	"8,472"	48	3	7
School-related arrests total	"1,497"	100	138	9.2	"1,359"	90.8	16	1.2	11	0.8	773	56.9	291	21.4	233	17.1	DS	0.1	33	2.4	268	17.9	"8,472"	48	3	7
