Physical restraint,Massachusetts,150 ,1 to 3,1.3 ,1 to 3,1.3 ,54 ,36.0 ,40 ,26.7 ,45 ,30.0 ,0 ,0.0 ,7 ,4.7 ,9 ,6.0 ,13 ,8.7 ,"1,859 ",100.0 ,,
Physical restraint,Michigan,447 ,1 to 3,0.7 ,0 ,0.0 ,27 ,6.0 ,163 ,36.5 ,247 ,55.3 ,0 ,0.0 ,7 ,1.6 ,8 ,1.8 ,1 to 3,0.4 ,"3,672 ",100.0 ,,
Physical restraint,Minnesota,190 ,1 to 3,0.5 ,0 ,0.0 ,11 ,5.8 ,54 ,28.4 ,119 ,62.6 ,0 ,0.0 ,5 ,2.6 ,9 ,4.7 ,6 ,3.2 ,"2,056 ",100.0 ,,
Physical restraint,Mississippi,156 ,0 ,0.0 ,0 ,0.0 ,1 to 3,1.3 ,125 ,80.1 ,29 ,18.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,967 ,100.0 ,,
Physical restraint,Missouri,829 ,1 to 3,0.1 ,0 ,0.0 ,8 ,1 to 3,245 ,29.6 ,559 ,67.4 ,0 ,0.0 ,16 ,1.9 ,19 ,2.3 ,4 ,0.5 ,"2,281 ",100.0 ,,
Physical restraint,Montana,39 ,11 ,28.2 ,0 ,0.0 ,0 ,0.0 ,1 to 3,5.1 ,25 ,64.1 ,0 ,0.0 ,1 to 3,2.6 ,1 to 3,5.1 ,5 ,12.8 ,794 ,100.0 ,,
Physical restraint,Nebraska,59 ,1 to 3,5.1 ,0 ,0.0 ,6 ,10.2 ,10 ,16.9 ,39 ,66.1 ,0 ,0.0 ,1 to 3,1.7 ,1 to 3,1.7 ,1 to 3,5.1 ,"1,050 ",100.0 ,,
Physical restraint,Nevada,14 ,0 ,0.0 ,0 ,0.0 ,4 ,28.6 ,5 ,35.7 ,5 ,35.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,652 ,100.0 ,,
Physical restraint,New Hampshire,51 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,3.9 ,49 ,96.1 ,0 ,0.0 ,0 ,0.0 ,4 ,7.8 ,0 ,0.0 ,482 ,100.0 ,,
Physical restraint,New Jersey,152 ,1 to 3,1.3 ,1 to 3,1.3 ,6 ,3.9 ,97 ,63.8 ,39 ,25.7 ,0 ,0.0 ,6 ,3.9 ,5 ,3.3 ,1 to 3,1.3 ,"2,469 ",100.0 ,,
Physical restraint,New Mexico,34 ,4 ,11.8 ,0 ,0.0 ,8 ,23.5 ,5 ,14.7 ,16 ,47.1 ,0 ,0.0 ,1 to 3,2.9 ,4 ,11.8 ,1 to 3,8.8 ,872 ,96.8 ,,
Physical restraint,New York,337 ,1 to 3,0.6 ,0 ,0.0 ,29 ,8.6 ,111 ,32.9 ,186 ,55.2 ,0 ,0.0 ,9 ,2.7 ,18 ,5.3 ,1 to 3,0.6 ,"4,894 ",99.9 ,,
Physical restraint,North Carolina,32 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,21.9 ,24 ,75.0 ,0 ,0.0 ,1 to 3,3.1 ,0 ,0.0 ,0 ,0.0 ,"2,587 ",100.0 ,,
Physical restraint,North Dakota,57 ,19 ,33.3 ,0 ,0.0 ,0 ,0.0 ,7 ,12.3 ,31 ,54.4 ,0 ,0.0 ,0 ,0.0 ,11 ,19.3 ,1 to 3,3.5 ,451 ,100.0 ,,
Physical restraint,Ohio,224 ,0 ,0.0 ,0 ,0.0 ,8 ,3.6 ,97 ,43.3 ,103 ,46.0 ,0 ,0.0 ,16 ,7.1 ,1 to 3,0.9 ,1 to 3,1.3 ,"3,609 ",100.0 ,,
Physical restraint,Oklahoma,184 ,19 ,10.3 ,0 ,0.0 ,21 ,11.4 ,63 ,34.2 ,66 ,35.9 ,0 ,0.0 ,15 ,8.2 ,1 to 3,0.5 ,8 ,4.3 ,"1,811 ",100.0 ,,
Physical restraint,Oregon,82 ,5 ,6.1 ,0 ,0.0 ,14 ,17.1 ,8 ,9.8 ,52 ,63.4 ,0 ,0.0 ,1 to 3,3.7 ,1 to 3,3.7 ,7 ,8.5 ,"1,309 ",100.0 ,,
Physical restraint,Pennsylvania,197 ,0 ,0.0 ,1 to 3,0.5 ,20 ,10.2 ,88 ,44.7 ,78 ,39.6 ,0 ,0.0 ,10 ,5.1 ,5 ,2.5 ,6 ,1 to 3,"3,056 ",93.0 ,,
Physical restraint,Rhode Island,148 ,1 to 3,1.4 ,0 ,0.0 ,14 ,9.5 ,16 ,10.8 ,113 ,76.4 ,0 ,0.0 ,1 to 3,1 to 3,4 ,2.7 ,7 ,4.7 ,293 ,100.0 ,,
Physical restraint,South Carolina,264 ,0 ,0.0 ,1 to 3,0.4 ,1 to 3,0.8 ,192 ,72.7 ,65 ,24.6 ,0 ,0.0 ,4 ,1.5 ,8 ,1 to 3,19 ,7.2 ,"1,226 ",100.0 ,,
Physical restraint,South Dakota,173 ,64 ,37.0 ,0 ,0.0 ,14 ,8.1 ,14 ,8.1 ,80 ,46.2 ,0 ,0.0 ,1 to 3,0.6 ,7 ,4.0 ,10 ,5.8 ,687 ,100.0 ,,
Physical restraint,Tennessee,208 ,0 ,0.0 ,0 ,0.0 ,6 ,2.9 ,110 ,52.9 ,88 ,42.3 ,0 ,0.0 ,4 ,1.9 ,1 to 3,0.5 ,0 ,0.0 ,"1,798 ",90.7 ,,
Physical restraint,Texas,"1,760 ",6 ,0.3 ,12 ,0.7 ,805 ,45.7 ,264 ,15.0 ,621 ,35.3 ,1 to 3,0.1 ,51 ,2.9 ,95 ,5.4 ,87 ,4.9 ,"8,574 ",100.0 ,,
Physical restraint,Utah,59 ,1 to 3,3.4 ,0 ,0.0 ,4 ,6.8 ,1 to 3,5.1 ,47 ,79.7 ,1 to 3,1.7 ,1 to 3,3.4 ,1 to 3,1.7 ,4 ,6.8 ,990 ,100.0 ,,
Physical restraint,Vermont,141 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,5.0 ,133 ,94.3 ,0 ,0.0 ,1 to 3,0.7 ,21 ,14.9 ,0 ,0.0 ,307 ,100.0 ,,
Physical restraint,Virginia,165 ,0 ,0.0 ,0 ,0.0 ,4 ,2.4 ,113 ,68.5 ,43 ,26.1 ,0 ,0.0 ,5 ,1 to 3,11 ,6.7 ,1 to 3,1.2 ,"1,969 ",98.6 ,,
Physical restraint,Washington,61 ,1 to 3,4.9 ,0 ,0.0 ,13 ,21.3 ,15 ,24.6 ,25 ,41.0 ,1 to 3,3.3 ,1 to 3,4.9 ,1 to 3,1.6 ,4 ,6.6 ,"2,282 ",99.5 ,,
Physical restraint,West Virginia,101 ,0 ,0.0 ,0 ,0.0 ,4 ,4.0 ,8 ,7.9 ,83 ,82.2 ,0 ,0.0 ,6 ,5.9 ,1 to 3,1 to 3,0 ,0.0 ,730 ,100.0 ,,
Physical restraint,Wisconsin,423 ,15 ,3.5 ,5 ,1.2 ,39 ,9.2 ,113 ,26.7 ,221 ,52.2 ,0 ,0.0 ,30 ,7.1 ,1 to 3,0.7 ,21 ,5.0 ,"2,244 ",98.8 ,,
Physical restraint,Wyoming,27 ,1 to 3,3.7 ,0 ,0.0 ,8 ,29.6 ,0 ,0.0 ,18 ,66.7 ,0 ,0.0 ,0 ,0.0 ,1 to 3,7.4 ,1 to 3,7.4 ,360 ,100.0 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 11,289 public school students not served under the Individuals with Disabilities Education Act (IDEA) subjected to physical restraint, 222 (1 to 3%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,
,             Students not served under IDEA are the students without disabilities and those with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available on the Data Notes page, under Additional Resources at  http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
