Extraction Date:,5/31/2017,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2015,Arkansas,Special Education Paraprofessionals for Ages 3-5,497.99,423.22,921.21,-,-,-
2015,Arkansas,Special Education Paraprofessionals for Ages 6-21,2040.69,459.94,2500.63,-,-,-
2015,Arkansas,Total Special Education Paraprofessionals ,2538.68,883.16,3421.84,-,-,-
2015,Arkansas,Special Education Teachers for Ages 3-5,514.93,63.65,578.58,-,-,-
2015,Arkansas,Special Education Teachers for Ages 6-21,3517.97,385.84,3903.81,-,-,-
2015,Arkansas,Total Special Education Teachers,4032.9,449.49,4482.39,-,-,-
2015,Arkansas,Audiologists,-,-,-,3.33,0,3.33
2015,Arkansas,Counselors and Rehabilitation Counselors,-,-,-,11.59,0,11.59
2015,Arkansas,Interpreters,-,-,-,34.57,3,37.57
2015,Arkansas,Medical / Nursing Service Staff,-,-,-,36.48,0,36.48
2015,Arkansas,Occupational Therapists,-,-,-,239.76,11,250.76
2015,Arkansas,Orientation and Mobility Specialists,-,-,-,2.53,0,2.53
2015,Arkansas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,4,0,4
2015,Arkansas,Physical Therapists,-,-,-,124.61,0.5,125.11
2015,Arkansas,Psychologists,-,-,-,176.54,0.24,176.78
2015,Arkansas,Social Workers,-,-,-,3.07,2.4,5.47
2015,Arkansas,Speech-Language Pathologists,-,-,-,-,-,-
2015,Bureau of Indian Education,Special Education Paraprofessionals for Ages 3-5,15,2.9,17.9,-,-,-
2015,Bureau of Indian Education,Special Education Paraprofessionals for Ages 6-21,593.05,69,662.05,-,-,-
2015,Bureau of Indian Education,Total Special Education Paraprofessionals ,608.05,71.9,679.95,-,-,-
2015,Bureau of Indian Education,Special Education Teachers for Ages 3-5,23.35,0.1,23.45,-,-,-
2015,Bureau of Indian Education,Special Education Teachers for Ages 6-21,452.8,8.25,461.05,-,-,-
2015,Bureau of Indian Education,Total Special Education Teachers,476.15,8.35,484.5,-,-,-
2015,Bureau of Indian Education,Audiologists,-,-,-,1.85,0,1.85
2015,Bureau of Indian Education,Counselors and Rehabilitation Counselors,-,-,-,41.65,2,43.65
2015,Bureau of Indian Education,Interpreters,-,-,-,1.5,0,1.5
2015,Bureau of Indian Education,Medical / Nursing Service Staff,-,-,-,5.5,0,5.5
2015,Bureau of Indian Education,Occupational Therapists,-,-,-,53.55,1.2,54.75
2015,Bureau of Indian Education,Orientation and Mobility Specialists,-,-,-,1.5,0,1.5
2015,Bureau of Indian Education,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,5.7,0.45,6.15
2015,Bureau of Indian Education,Physical Therapists,-,-,-,33.8,0.2,34
2015,Bureau of Indian Education,Psychologists,-,-,-,57.45,0,57.45
2015,Bureau of Indian Education,Social Workers,-,-,-,15.8,1,16.8
2015,Bureau of Indian Education,Speech-Language Pathologists,-,-,-,107.5,0,107.5
2015,California,Special Education Paraprofessionals for Ages 3-5,4901.13,108.68,5009.81,-,-,-
2015,California,Special Education Paraprofessionals for Ages 6-21,55209.23,1147.55,56356.78,-,-,-
2015,California,Total Special Education Paraprofessionals ,60110.36,1256.23,61366.59,-,-,-
2015,California,Special Education Teachers for Ages 3-5,2524.32,140.22,2664.54,-,-,-
2015,California,Special Education Teachers for Ages 6-21,20833.28,1583.52,22416.8,-,-,-
2015,California,Total Special Education Teachers,23357.6,1723.74,25081.34,-,-,-
2015,California,Audiologists,-,-,-,118.91,2,120.91
2015,California,Counselors and Rehabilitation Counselors,-,-,-,1330.09,34.47,1364.56
2015,California,Interpreters,-,-,-,641.81,31.65,673.46
2015,California,Medical / Nursing Service Staff,-,-,-,2361.59,119.19,2480.78
2015,California,Occupational Therapists,-,-,-,1344.38,16.98,1361.36
2015,California,Orientation and Mobility Specialists,-,-,-,524.09,11.17,535.26
2015,California,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1115.43,15.3,1130.73
2015,California,Physical Therapists,-,-,-,225.29,3,228.29
2015,California,Psychologists,-,-,-,5744.66,53.98,5798.64
2015,California,Social Workers,-,-,-,260.29,4.33,264.62
2015,California,Speech-Language Pathologists,-,-,-,6571.98,159.2,6731.18
2015,Colorado,Special Education Paraprofessionals for Ages 3-5,406.79,0,406.79,-,-,-
2015,Colorado,Special Education Paraprofessionals for Ages 6-21,6806.87,0,6806.87,-,-,-
2015,Colorado,Total Special Education Paraprofessionals ,7213.66,0,7213.66,-,-,-
2015,Colorado,Special Education Teachers for Ages 3-5,374.88,44.52,419.4,-,-,-
2015,Colorado,Special Education Teachers for Ages 6-21,5033.38,264.11,5297.49,-,-,-
2015,Colorado,Total Special Education Teachers,5408.26,308.63,5716.89,-,-,-
2015,Colorado,Audiologists,-,-,-,63.52,6.16,69.68
2015,Colorado,Counselors and Rehabilitation Counselors,-,-,-,51.82,7.45,59.27
2015,Colorado,Interpreters,-,-,-,135.32,23.08,158.4
2015,Colorado,Medical / Nursing Service Staff,-,-,-,266.41,24.01,290.42
2015,Colorado,Occupational Therapists,-,-,-,408.12,14.13,422.25
2015,Colorado,Orientation and Mobility Specialists,-,-,-,7.52,0.05,7.57
2015,Colorado,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,21.8,1.99,23.79
2015,Colorado,Physical Therapists,-,-,-,97.64,5.97,103.61
2015,Colorado,Psychologists,-,-,-,689.35,40.94,730.29
2015,Colorado,Social Workers,-,-,-,404.52,24.86,429.38
2015,Colorado,Speech-Language Pathologists,-,-,-,1156.5,57.79,1214.29
2015,Connecticut,Special Education Paraprofessionals for Ages 3-5,1173.75,0,1173.75,-,-,-
2015,Connecticut,Special Education Paraprofessionals for Ages 6-21,10401.45,0,10401.45,-,-,-
2015,Connecticut,Total Special Education Paraprofessionals ,11575.2,0,11575.2,-,-,-
2015,Connecticut,Special Education Teachers for Ages 3-5,456,2.5,458.5,-,-,-
2015,Connecticut,Special Education Teachers for Ages 6-21,5334.3,28.8,5363.1,-,-,-
2015,Connecticut,Total Special Education Teachers,5790.3,31.3,5821.6,-,-,-
2015,Connecticut,Audiologists,-,-,-,-,-,-
2015,Connecticut,Counselors and Rehabilitation Counselors,-,-,-,280.7,1.7,282.4
2015,Connecticut,Interpreters,-,-,-,-,-,-
2015,Connecticut,Medical / Nursing Service Staff,-,-,-,-,-,-
2015,Connecticut,Occupational Therapists,-,-,-,-,-,-
2015,Connecticut,Orientation and Mobility Specialists,-,-,-,-,-,-
2015,Connecticut,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1720.4,7.2,1727.6
2015,Connecticut,Physical Therapists,-,-,-,-,-,-
2015,Connecticut,Psychologists,-,-,-,543.2,1,544.2
2015,Connecticut,Social Workers,-,-,-,485.4,3,488.4
2015,Connecticut,Speech-Language Pathologists,-,-,-,1060.4,1,1061.4
2015,Delaware,Special Education Paraprofessionals for Ages 3-5,24,29,53,-,-,-
2015,Delaware,Special Education Paraprofessionals for Ages 6-21,238,832,1070,-,-,-
2015,Delaware,Total Special Education Paraprofessionals ,262,861,1123,-,-,-
2015,Delaware,Special Education Teachers for Ages 3-5,22,11,33,-,-,-
2015,Delaware,Special Education Teachers for Ages 6-21,500,95,595,-,-,-
2015,Delaware,Total Special Education Teachers,522,106,628,-,-,-
2015,Delaware,Audiologists,-,-,-,12,0,12
2015,Delaware,Counselors and Rehabilitation Counselors,-,-,-,307,2,309
2015,Delaware,Interpreters,-,-,-,0,0,0
2015,Delaware,Medical / Nursing Service Staff,-,-,-,239,28,267
2015,Delaware,Occupational Therapists,-,-,-,43,0,43
2015,Delaware,Orientation and Mobility Specialists,-,-,-,0,0,0
2015,Delaware,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,358,0,358
2015,Delaware,Physical Therapists,-,-,-,15,0,15
2015,Delaware,Psychologists,-,-,-,160,0,160
2015,Delaware,Social Workers,-,-,-,20,0,20
2015,Delaware,Speech-Language Pathologists,-,-,-,48,108,156
2015,District of Columbia,Special Education Paraprofessionals for Ages 3-5,25,6.55,31.55,-,-,-
2015,District of Columbia,Special Education Paraprofessionals for Ages 6-21,278.08,341.49,619.57,-,-,-
2015,District of Columbia,Total Special Education Paraprofessionals ,303.08,348.04,651.12,-,-,-
2015,District of Columbia,Special Education Teachers for Ages 3-5,5,44.83,49.83,-,-,-
2015,District of Columbia,Special Education Teachers for Ages 6-21,214.4,952.65,1167.05,-,-,-
2015,District of Columbia,Total Special Education Teachers,219.4,997.48,1216.88,-,-,-
2015,District of Columbia,Audiologists,-,-,-,0,1,1
2015,District of Columbia,Counselors and Rehabilitation Counselors,-,-,-,8,15,23
2015,District of Columbia,Interpreters,-,-,-,1,0,1
2015,District of Columbia,Medical / Nursing Service Staff,-,-,-,0,1,1
2015,District of Columbia,Occupational Therapists,-,-,-,15.38,17.15,32.53
2015,District of Columbia,Orientation and Mobility Specialists,-,-,-,2,0,2
2015,District of Columbia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1,2,3
2015,District of Columbia,Physical Therapists,-,-,-,2.2,5.11,7.31
2015,District of Columbia,Psychologists,-,-,-,80.45,44.75,125.2
2015,District of Columbia,Social Workers,-,-,-,138.75,70.66,209.41
2015,District of Columbia,Speech-Language Pathologists,-,-,-,91.95,27.6,119.55
2015,Federated States of Micronesia,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2015,Federated States of Micronesia,Special Education Paraprofessionals for Ages 6-21,0,11,11,-,-,-
2015,Federated States of Micronesia,Total Special Education Paraprofessionals ,0,11,11,-,-,-
2015,Federated States of Micronesia,Special Education Teachers for Ages 3-5,14,3,17,-,-,-
2015,Federated States of Micronesia,Special Education Teachers for Ages 6-21,106,48,154,-,-,-
2015,Federated States of Micronesia,Total Special Education Teachers,120,51,171,-,-,-
2015,Federated States of Micronesia,Audiologists,-,-,-,0,0,0
2015,Federated States of Micronesia,Counselors and Rehabilitation Counselors,-,-,-,2,0,2
2015,Federated States of Micronesia,Interpreters,-,-,-,0,1,1
2015,Federated States of Micronesia,Medical / Nursing Service Staff,-,-,-,0,0,0
2015,Federated States of Micronesia,Occupational Therapists,-,-,-,0,0,0
2015,Federated States of Micronesia,Orientation and Mobility Specialists,-,-,-,0,0,0
2015,Federated States of Micronesia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2015,Federated States of Micronesia,Physical Therapists,-,-,-,1,0,1
2015,Federated States of Micronesia,Psychologists,-,-,-,0,0,0
2015,Federated States of Micronesia,Social Workers,-,-,-,0,0,0
2015,Federated States of Micronesia,Speech-Language Pathologists,-,-,-,0,1,1
2015,Florida,Special Education Paraprofessionals for Ages 3-5,1154.93,354.5,1509.43,-,-,-
2015,Florida,Special Education Paraprofessionals for Ages 6-21,9344.45,2868.2,12212.65,-,-,-
2015,Florida,Total Special Education Paraprofessionals ,10499.38,3222.7,13722.08,-,-,-
2015,Florida,Special Education Teachers for Ages 3-5,6783.93,689.11,7473.04,-,-,-
2015,Florida,Special Education Teachers for Ages 6-21,5089.6,1088.86,6178.46,-,-,-
2015,Florida,Total Special Education Teachers,11873.53,1777.97,13651.5,-,-,-
2015,Florida,Audiologists,-,-,-,56.3,0,56.3
2015,Florida,Counselors and Rehabilitation Counselors,-,-,-,1394.5,17.3,1411.8
2015,Florida,Interpreters,-,-,-,458.8,22.7,481.5
2015,Florida,Medical / Nursing Service Staff,-,-,-,1136,0,1136
2015,Florida,Occupational Therapists,-,-,-,647.9,9,656.9
2015,Florida,Orientation and Mobility Specialists,-,-,-,84.2,2,86.2
2015,Florida,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,403,0,403
2015,Florida,Physical Therapists,-,-,-,244.1,1.4,245.5
2015,Florida,Psychologists,-,-,-,1270.7,2,1272.7
2015,Florida,Social Workers,-,-,-,632.3,2,634.3
2015,Florida,Speech-Language Pathologists,-,-,-,3090.3,45.6,3135.9
2015,Georgia,Special Education Paraprofessionals for Ages 3-5,947.6,12,959.6,-,-,-
2015,Georgia,Special Education Paraprofessionals for Ages 6-21,12146.3,279.7,12426,-,-,-
2015,Georgia,Total Special Education Paraprofessionals ,13093.9,291.7,13385.6,-,-,-
2015,Georgia,Special Education Teachers for Ages 3-5,831.3,117.4,948.7,-,-,-
2015,Georgia,Special Education Teachers for Ages 6-21,17598.8,344.5,17943.3,-,-,-
2015,Georgia,Total Special Education Teachers,18430.1,461.9,18892,-,-,-
2015,Georgia,Audiologists,-,-,-,33.9,0,33.9
2015,Georgia,Counselors and Rehabilitation Counselors,-,-,-,29.8,0,29.8
2015,Georgia,Interpreters,-,-,-,182.1,62.5,244.6
2015,Georgia,Medical / Nursing Service Staff,-,-,-,97.9,0,97.9
2015,Georgia,Occupational Therapists,-,-,-,472.8,0,472.8
2015,Georgia,Orientation and Mobility Specialists,-,-,-,20.3,0,20.3
2015,Georgia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,87.3,3,90.3
2015,Georgia,Physical Therapists,-,-,-,166,0,166
2015,Georgia,Psychologists,-,-,-,749.6,0,749.6
2015,Georgia,Social Workers,-,-,-,65.3,0,65.3
2015,Georgia,Speech-Language Pathologists,-,-,-,1885.4,0,1885.4
2015,Guam,Special Education Paraprofessionals for Ages 3-5,8,0,8,-,-,-
2015,Guam,Special Education Paraprofessionals for Ages 6-21,302,0,302,-,-,-
2015,Guam,Total Special Education Paraprofessionals ,310,0,310,-,-,-
2015,Guam,Special Education Teachers for Ages 3-5,7,0,7,-,-,-
2015,Guam,Special Education Teachers for Ages 6-21,201,0,201,-,-,-
2015,Guam,Total Special Education Teachers,208,0,208,-,-,-
2015,Guam,Audiologists,-,-,-,1,0,1
2015,Guam,Counselors and Rehabilitation Counselors,-,-,-,0,0,0
2015,Guam,Interpreters,-,-,-,0,10,10
2015,Guam,Medical / Nursing Service Staff,-,-,-,0,0,0
2015,Guam,Occupational Therapists,-,-,-,1,1,2
2015,Guam,Orientation and Mobility Specialists,-,-,-,2,0,2
2015,Guam,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,2,0,2
2015,Guam,Physical Therapists,-,-,-,0,0,0
2015,Guam,Psychologists,-,-,-,1,0,1
2015,Guam,Social Workers,-,-,-,5,0,5
2015,Guam,Speech-Language Pathologists,-,-,-,12,0,12
2015,Hawaii,Special Education Paraprofessionals for Ages 3-5,216,0,216,-,-,-
2015,Hawaii,Special Education Paraprofessionals for Ages 6-21,1676,0,1676,-,-,-
2015,Hawaii,Total Special Education Paraprofessionals ,1892,0,1892,-,-,-
2015,Hawaii,Special Education Teachers for Ages 3-5,236,12,248,-,-,-
2015,Hawaii,Special Education Teachers for Ages 6-21,1586,220,1806,-,-,-
2015,Hawaii,Total Special Education Teachers,1822,232,2054,-,-,-
2015,Hawaii,Audiologists,-,-,-,1,0,1
2015,Hawaii,Counselors and Rehabilitation Counselors,-,-,-,273,0,273
2015,Hawaii,Interpreters,-,-,-,8,0,8
2015,Hawaii,Medical / Nursing Service Staff,-,-,-,46,0,46
2015,Hawaii,Occupational Therapists,-,-,-,35,0,35
2015,Hawaii,Orientation and Mobility Specialists,-,-,-,10,0,10
2015,Hawaii,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,110,23,133
2015,Hawaii,Physical Therapists,-,-,-,14,0,14
2015,Hawaii,Psychologists,-,-,-,146,0,146
2015,Hawaii,Social Workers,-,-,-,73,0,73
2015,Hawaii,Speech-Language Pathologists,-,-,-,231,0,231
2015,Idaho,Special Education Paraprofessionals for Ages 3-5,0,28.06,28.06,-,-,-
2015,Idaho,Special Education Paraprofessionals for Ages 6-21,0,1684.81,1684.81,-,-,-
2015,Idaho,Total Special Education Paraprofessionals ,0,1712.87,1712.87,-,-,-
2015,Idaho,Special Education Teachers for Ages 3-5,114.36,1.5,115.86,-,-,-
2015,Idaho,Special Education Teachers for Ages 6-21,726.25,1686.76,2413.01,-,-,-
2015,Idaho,Total Special Education Teachers,840.61,1688.26,2528.87,-,-,-
2015,Idaho,Audiologists,-,-,-,3.62,0,3.62
2015,Idaho,Counselors and Rehabilitation Counselors,-,-,-,-,-,-
2015,Idaho,Interpreters,-,-,-,0,29.2,29.2
2015,Idaho,Medical / Nursing Service Staff,-,-,-,121.38,0,121.38
2015,Idaho,Occupational Therapists,-,-,-,3.6,18.95,22.55
2015,Idaho,Orientation and Mobility Specialists,-,-,-,2.04,0,2.04
2015,Idaho,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,7.24,0,7.24
2015,Idaho,Physical Therapists,-,-,-,0.5,2,2.5
2015,Idaho,Psychologists,-,-,-,0,0,0
2015,Idaho,Social Workers,-,-,-,-,-,-
2015,Idaho,Speech-Language Pathologists,-,-,-,194.57,0,194.57
2015,Illinois,Special Education Paraprofessionals for Ages 3-5,5351.81,566.77,5918.58,-,-,-
2015,Illinois,Special Education Paraprofessionals for Ages 6-21,23986.3,3565.63,27551.93,-,-,-
2015,Illinois,Total Special Education Paraprofessionals ,29338.11,4132.4,33470.51,-,-,-
2015,Illinois,Special Education Teachers for Ages 3-5,1346.94,6.33,1353.27,-,-,-
2015,Illinois,Special Education Teachers for Ages 6-21,21629.99,344.67,21974.66,-,-,-
2015,Illinois,Total Special Education Teachers,22976.93,351,23327.93,-,-,-
2015,Illinois,Audiologists,-,-,-,2.05,28.71,30.76
2015,Illinois,Counselors and Rehabilitation Counselors,-,-,-,943.96,29.95,973.91
2015,Illinois,Interpreters,-,-,-,8,205.99,213.99
2015,Illinois,Medical / Nursing Service Staff,-,-,-,455.75,92.29,548.04
2015,Illinois,Occupational Therapists,-,-,-,24,931.55,955.55
2015,Illinois,Orientation and Mobility Specialists,-,-,-,8,12.71,20.71
2015,Illinois,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,202.06,13.49,215.55
2015,Illinois,Physical Therapists,-,-,-,3.92,327.13,331.05
2015,Illinois,Psychologists,-,-,-,2102.27,26.26,2128.53
2015,Illinois,Social Workers,-,-,-,3167.71,34.72,3202.43
2015,Illinois,Speech-Language Pathologists,-,-,-,3915.75,42.12,3957.87
2015,Indiana,Special Education Paraprofessionals for Ages 3-5,663,0,663,-,-,-
2015,Indiana,Special Education Paraprofessionals for Ages 6-21,8967.7,0,8967.7,-,-,-
2015,Indiana,Total Special Education Paraprofessionals ,9630.7,0,9630.7,-,-,-
2015,Indiana,Special Education Teachers for Ages 3-5,2.2,118.84,121.04,-,-,-
2015,Indiana,Special Education Teachers for Ages 6-21,1117.93,85.07,1203,-,-,-
2015,Indiana,Total Special Education Teachers,1120.13,203.91,1324.04,-,-,-
2015,Indiana,Audiologists,-,-,-,19.3,0,19.3
2015,Indiana,Counselors and Rehabilitation Counselors,-,-,-,247.5,0,247.5
2015,Indiana,Interpreters,-,-,-,350.3,0,350.3
2015,Indiana,Medical / Nursing Service Staff,-,-,-,272.1,0,272.1
2015,Indiana,Occupational Therapists,-,-,-,319.8,0,319.8
2015,Indiana,Orientation and Mobility Specialists,-,-,-,32.6,0,32.6
2015,Indiana,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,34.1,0,34.1
2015,Indiana,Physical Therapists,-,-,-,143.1,0,143.1
2015,Indiana,Psychologists,-,-,-,458.1,0,458.1
2015,Indiana,Social Workers,-,-,-,324.9,0,324.9
2015,Indiana,Speech-Language Pathologists,-,-,-,975.7,0,975.7
2015,Iowa,Special Education Paraprofessionals for Ages 3-5,935.17,0,935.17,-,-,-
2015,Iowa,Special Education Paraprofessionals for Ages 6-21,9152.56,0,9152.56,-,-,-
2015,Iowa,Total Special Education Paraprofessionals ,10087.73,0,10087.73,-,-,-
2015,Iowa,Special Education Teachers for Ages 3-5,546.58,0,546.58,-,-,-
2015,Iowa,Special Education Teachers for Ages 6-21,5341.7,0,5341.7,-,-,-
2015,Iowa,Total Special Education Teachers,5888.28,0,5888.28,-,-,-
2015,Iowa,Audiologists,-,-,-,43.11,0,43.11
2015,Iowa,Counselors and Rehabilitation Counselors,-,-,-,8.75,0,8.75
2015,Iowa,Interpreters,-,-,-,114.47,0,114.47
2015,Iowa,Medical / Nursing Service Staff,-,-,-,44.67,0,44.67
2015,Iowa,Occupational Therapists,-,-,-,77.76,0,77.76
2015,Iowa,Orientation and Mobility Specialists,-,-,-,10.93,0,10.93
2015,Iowa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,7.96,0,7.96
2015,Iowa,Physical Therapists,-,-,-,68.86,0,68.86
2015,Iowa,Psychologists,-,-,-,280.26,0,280.26
2015,Iowa,Social Workers,-,-,-,204.89,0,204.89
2015,Iowa,Speech-Language Pathologists,-,-,-,480.87,0,480.87
2015,Kansas,Special Education Paraprofessionals for Ages 3-5,997.6,0,997.6,-,-,-
2015,Kansas,Special Education Paraprofessionals for Ages 6-21,11218.52,0,11218.52,-,-,-
2015,Kansas,Total Special Education Paraprofessionals ,12216.12,0,12216.12,-,-,-
2015,Kansas,Special Education Teachers for Ages 3-5,520.18,0,520.18,-,-,-
2015,Kansas,Special Education Teachers for Ages 6-21,2892.5,1376.5,4269,-,-,-
2015,Kansas,Total Special Education Teachers,3412.68,1376.5,4789.18,-,-,-
2015,Kansas,Audiologists,-,-,-,23.35,0,23.35
2015,Kansas,Counselors and Rehabilitation Counselors,-,-,-,36.98,0,36.98
2015,Kansas,Interpreters,-,-,-,53.21,0,53.21
2015,Kansas,Medical / Nursing Service Staff,-,-,-,90.21,0.01,90.22
2015,Kansas,Occupational Therapists,-,-,-,210.19,0,210.19
2015,Kansas,Orientation and Mobility Specialists,-,-,-,4.36,0,4.36
2015,Kansas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,42.76,4.05,46.81
2015,Kansas,Physical Therapists,-,-,-,82.48,0,82.48
2015,Kansas,Psychologists,-,-,-,520.36,0.23,520.59
2015,Kansas,Social Workers,-,-,-,292.61,1,293.61
2015,Kansas,Speech-Language Pathologists,-,-,-,837.54,0.07,837.61
