Year,State,Personnel Type,EmployedN/VCertified,EmployedN/Vnot Certified,Total Employed,Nation_ID,State_ID,Region_ID,Division_ID
2005,Bur. of Indian Affairs   ,Rehabilitation counselors                    ,0,0,0,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Other professional staff                     ,20,2,22,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Non-professional staff                       ,15,11,26,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Total                                        ,927,107,"1,034.00",AI_Territory_National,,,
2005,California               ,Special ed teachers for 3-5                  ,"1,908.00",234,"2,142.00",,6,4,9
2005,California               ,Special ed teachers for 6-21                 ,"27,495.00","4,032.00","31,527.00",,6,4,9
2005,California               ,Vocational education teachers                ,342,53,395,,6,4,9
2005,California               ,Physical education teachers                  ,935,84,"1,019.00",,6,4,9
2005,California               ,Work-study coordinators                      ,58,8,66,,6,4,9
2005,California               ,Psychologists                                ,"3,884.00",85,"3,968.00",,6,4,9
2005,California               ,School social workers                        ,128,10,138,,6,4,9
2005,California               ,Occupational therapists                      ,833,47,880,,6,4,9
2005,California               ,Audiologists                                 ,160,6,166,,6,4,9
2005,California               ,Teacher aides                                ,"36,156.00","12,881.00","49,037.00",,6,4,9
2005,California               ,Recreation specialists                       ,5,3,8,,6,4,9
2005,California               ,Diagnostic & evaluation staff                ,139,1,140,,6,4,9
2005,California               ,Physical therapists                          ,111,3,114,,6,4,9
2005,California               ,Counselors                                   ,622,14,635,,6,4,9
2005,California               ,Speech pathologists                          ,"5,160.00",275,"5,435.00",,6,4,9
2005,California               ,Supervisors/administrators                   ,"1,833.00",18,"1,851.00",,6,4,9
2005,California               ,Supervisors/administrators (SEA)             ,122,0,122,,6,4,9
2005,California               ,Interpreters                                 ,686,129,815,,6,4,9
2005,California               ,Rehabilitation counselors                    ,8,2,10,,6,4,9
2005,California               ,Other professional staff                     ,"2,334.00",83,"2,417.00",,6,4,9
2005,California               ,Non-professional staff                       ,"2,216.00",727,"2,943.00",,6,4,9
2005,California               ,Total                                        ,"55,731.00","14,427.00","70,157.00",,6,4,9
2005,Colorado                 ,Special ed teachers for 3-5                  ,215,71,286,,8,4,8
2005,Colorado                 ,Special ed teachers for 6-21                 ,"3,767.00",808,"4,575.00",,8,4,8
2005,Colorado                 ,Vocational education teachers                ,22,8,30,,8,4,8
2005,Colorado                 ,Physical education teachers                  ,38,2,40,,8,4,8
2005,Colorado                 ,Work-study coordinators                      ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Psychologists                                ,537,33,570,,8,4,8
2005,Colorado                 ,School social workers                        ,294,17,311,,8,4,8
2005,Colorado                 ,Occupational therapists                      ,297,17,314,,8,4,8
2005,Colorado                 ,Audiologists                                 ,47,4,51,,8,4,8
2005,Colorado                 ,Teacher aides                                ,"5,911.00",          N/V,"5,911.00",,8,4,8
2005,Colorado                 ,Recreation specialists                       ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Physical therapists                          ,86,4,90,,8,4,8
2005,Colorado                 ,Counselors                                   ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Speech pathologists                          ,864,74,938,,8,4,8
2005,Colorado                 ,Supervisors/administrators                   ,215,35,250,,8,4,8
2005,Colorado                 ,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Interpreters                                 ,64,92,155,,8,4,8
2005,Colorado                 ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,8,4,8
2005,Colorado                 ,Other professional staff                     ,489,145,634,,8,4,8
2005,Colorado                 ,Non-professional staff                       ,713,          N/V,713,,8,4,8
2005,Colorado                 ,Total                                        ,"9,576.00",430,"10,006.00",,8,4,8
2005,Connecticut              ,Special ed teachers for 3-5                  ,24,0,24,,9,1,1
2005,Connecticut              ,Special ed teachers for 6-21                 ,"4,913.00",0,"4,913.00",,9,1,1
2005,Connecticut              ,Vocational education teachers                ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Physical education teachers                  ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Work-study coordinators                      ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Psychologists                                ,885,          N/V,885,,9,1,1
2005,Connecticut              ,School social workers                        ,723,          N/V,723,,9,1,1
2005,Connecticut              ,Occupational therapists                      ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Audiologists                                 ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Teacher aides                                ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Recreation specialists                       ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Physical therapists                          ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Counselors                                   ,"1,351.00",          N/V,"1,351.00",,9,1,1
2005,Connecticut              ,Speech pathologists                          ,947,          N/V,947,,9,1,1
2005,Connecticut              ,Supervisors/administrators                   ,110,          N/V,110,,9,1,1
2005,Connecticut              ,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Interpreters                                 ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Other professional staff                     ,          N/V,          N/V,          N/V,,9,1,1
2005,Connecticut              ,Non-professional staff                       ,"8,095.00",          N/V,"8,095.00",,9,1,1
2005,Connecticut              ,Total                                        ,"12,111.00",          N/V,"12,111.00",,9,1,1
2005,Delaware                 ,Special ed teachers for 3-5                  ,98,2,100,,10,3,5
2005,Delaware                 ,Special ed teachers for 6-21                 ,"1,294.00",141,"1,435.00",,10,3,5
2005,Delaware                 ,Vocational education teachers                ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Physical education teachers                  ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Work-study coordinators                      ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Psychologists                                ,108,2,110,,10,3,5
2005,Delaware                 ,School social workers                        ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Occupational therapists                      ,5,23,28,,10,3,5
2005,Delaware                 ,Audiologists                                 ,7,9,16,,10,3,5
2005,Delaware                 ,Teacher aides                                ,787,277,"1,064.00",,10,3,5
2005,Delaware                 ,Recreation specialists                       ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Diagnostic & evaluation staff                ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Physical therapists                          ,6,4,10,,10,3,5
2005,Delaware                 ,Counselors                                   ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Speech pathologists                          ,76,39,115,,10,3,5
2005,Delaware                 ,Supervisors/administrators                   ,5,3,8,,10,3,5
2005,Delaware                 ,Supervisors/administrators (SEA)             ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Interpreters                                 ,7,6,13,,10,3,5
2005,Delaware                 ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Other professional staff                     ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Non-professional staff                       ,          N/V,          N/V,          N/V,,10,3,5
2005,Delaware                 ,Total                                        ,"1,001.00",363,"1,364.00",,10,3,5
2005,District of Columbia     ,Special ed teachers for 3-5                  ,5,0,5,,11,3,5
2005,District of Columbia     ,Special ed teachers for 6-21                 ,483,188,671,,11,3,5
2005,District of Columbia     ,Vocational education teachers                ,2,6,8,,11,3,5
2005,District of Columbia     ,Physical education teachers                  ,5,6,11,,11,3,5
2005,District of Columbia     ,Work-study coordinators                      ,0,0,0,,11,3,5
2005,District of Columbia     ,Psychologists                                ,50,2,52,,11,3,5
2005,District of Columbia     ,School social workers                        ,92,6,98,,11,3,5
2005,District of Columbia     ,Occupational therapists                      ,3,0,3,,11,3,5
2005,District of Columbia     ,Audiologists                                 ,0,0,0,,11,3,5
2005,District of Columbia     ,Teacher aides                                ,20,74,94,,11,3,5
2005,District of Columbia     ,Recreation specialists                       ,25,7,32,,11,3,5
2005,District of Columbia     ,Diagnostic & evaluation staff                ,0,0,0,,11,3,5
2005,District of Columbia     ,Physical therapists                          ,1,0,1,,11,3,5
2005,District of Columbia     ,Counselors                                   ,134,7,141,,11,3,5
2005,District of Columbia     ,Speech pathologists                          ,44,4,48,,11,3,5
2005,District of Columbia     ,Supervisors/administrators                   ,0,0,0,,11,3,5
2005,District of Columbia     ,Supervisors/administrators (SEA)             ,0,0,0,,11,3,5
2005,District of Columbia     ,Interpreters                                 ,0,0,0,,11,3,5
2005,District of Columbia     ,Rehabilitation counselors                    ,0,0,0,,11,3,5
2005,District of Columbia     ,Other professional staff                     ,0,0,0,,11,3,5
2005,District of Columbia     ,Non-professional staff                       ,20,21,41,,11,3,5
2005,District of Columbia     ,Total                                        ,396,133,529,,11,3,5
2005,Florida                  ,Special ed teachers for 3-5                  ,"1,945.00",52,"1,996.00",,12,3,5
2005,Florida                  ,Special ed teachers for 6-21                 ,"21,078.00","1,175.00","22,254.00",,12,3,5
2005,Florida                  ,Vocational education teachers                ,233,1,234,,12,3,5
2005,Florida                  ,Physical education teachers                  ,218,1,219,,12,3,5
2005,Florida                  ,Work-study coordinators                      ,238,0,238,,12,3,5
2005,Florida                  ,Psychologists                                ,"1,340.00",1,"1,341.00",,12,3,5
2005,Florida                  ,School social workers                        ,826,1,827,,12,3,5
2005,Florida                  ,Occupational therapists                      ,551,0,551,,12,3,5
2005,Florida                  ,Audiologists                                 ,55,0,55,,12,3,5
2005,Florida                  ,Teacher aides                                ,"15,846.00",3,"15,849.00",,12,3,5
2005,Florida                  ,Recreation specialists                       ,32,0,32,,12,3,5
2005,Florida                  ,Diagnostic & evaluation staff                ,406,0,406,,12,3,5
2005,Florida                  ,Physical therapists                          ,232,0,232,,12,3,5
2005,Florida                  ,Counselors                                   ,"2,490.00",16,"2,506.00",,12,3,5
2005,Florida                  ,Speech pathologists                          ,          N/V,          N/V,          N/V,,12,3,5
2005,Florida                  ,Supervisors/administrators                   ,551,0,551,,12,3,5
2005,Florida                  ,Supervisors/administrators (SEA)             ,37,0,37,,12,3,5
2005,Florida                  ,Interpreters                                 ,455,6,461,,12,3,5
2005,Florida                  ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,12,3,5
2005,Florida                  ,Other professional staff                     ,"4,491.00",3,"4,494.00",,12,3,5
2005,Florida                  ,Non-professional staff                       ,"4,520.00",0,"4,520.00",,12,3,5
2005,Florida                  ,Total                                        ,"32,521.00",33,"32,553.00",,12,3,5
2005,Georgia                  ,Special ed teachers for 3-5                  ,605,109,714,,13,3,5
2005,Georgia                  ,Special ed teachers for 6-21                 ,"11,470.00","2,917.00","14,388.00",,13,3,5
2005,Georgia                  ,Vocational education teachers                ,159,8,166,,13,3,5
2005,Georgia                  ,Physical education teachers                  ,65,4,69,,13,3,5
2005,Georgia                  ,Work-study coordinators                      ,11,1,12,,13,3,5
2005,Georgia                  ,Psychologists                                ,696,10,706,,13,3,5
2005,Georgia                  ,School social workers                        ,92,21,113,,13,3,5
2005,Georgia                  ,Occupational therapists                      ,256,0,256,,13,3,5
2005,Georgia                  ,Audiologists                                 ,30,0,30,,13,3,5
2005,Georgia                  ,Teacher aides                                ,"11,199.00",0,"11,199.00",,13,3,5
2005,Georgia                  ,Recreation specialists                       ,18,0,18,,13,3,5
2005,Georgia                  ,Diagnostic & evaluation staff                ,502,0,502,,13,3,5
2005,Georgia                  ,Physical therapists                          ,102,0,102,,13,3,5
2005,Georgia                  ,Counselors                                   ,11,0,11,,13,3,5
2005,Georgia                  ,Speech pathologists                          ,"1,810.00",20,"1,830.00",,13,3,5
2005,Georgia                  ,Supervisors/administrators                   ,643,8,651,,13,3,5
2005,Georgia                  ,Supervisors/administrators (SEA)             ,28,0,28,,13,3,5
2005,Georgia                  ,Interpreters                                 ,51,183,234,,13,3,5
2005,Georgia                  ,Rehabilitation counselors                    ,8,0,8,,13,3,5
2005,Georgia                  ,Other professional staff                     ,81,0,81,,13,3,5
2005,Georgia                  ,Non-professional staff                       ,"1,804.00",0,"1,804.00",,13,3,5
2005,Georgia                  ,Total                                        ,"17,565.00",253,"17,818.00",,13,3,5
2005,Guam                     ,Special ed teachers for 3-5                  ,16,0,16,,66,,
2005,Guam                     ,Special ed teachers for 6-21                 ,193,0,193,,66,,
2005,Guam                     ,Vocational education teachers                ,0,0,0,,66,,
2005,Guam                     ,Physical education teachers                  ,0,0,0,,66,,
2005,Guam                     ,Work-study coordinators                      ,1,0,1,,66,,
2005,Guam                     ,Psychologists                                ,7,0,7,,66,,
2005,Guam                     ,School social workers                        ,8,0,8,,66,,
2005,Guam                     ,Occupational therapists                      ,3,0,3,,66,,
2005,Guam                     ,Audiologists                                 ,1,0,1,,66,,
2005,Guam                     ,Teacher aides                                ,303,0,303,,66,,
2005,Guam                     ,Recreation specialists                       ,4,0,4,,66,,
2005,Guam                     ,Diagnostic & evaluation staff                ,12,0,12,,66,,
2005,Guam                     ,Physical therapists                          ,3,0,3,,66,,
2005,Guam                     ,Counselors                                   ,0,0,0,,66,,
2005,Guam                     ,Speech pathologists                          ,18,0,18,,66,,
2005,Guam                     ,Supervisors/administrators                   ,0,0,0,,66,,
2005,Guam                     ,Supervisors/administrators (SEA)             ,1,0,1,,66,,
2005,Guam                     ,Interpreters                                 ,6,0,6,,66,,
2005,Guam                     ,Rehabilitation counselors                    ,0,0,0,,66,,
2005,Guam                     ,Other professional staff                     ,16,0,16,,66,,
2005,Guam                     ,Non-professional staff                       ,46,0,46,,66,,
2005,Guam                     ,Total                                        ,429,0,429,,66,,
2005,Hawaii                   ,Special ed teachers for 3-5                  ,238,15,253,,15,4,9
2005,Hawaii                   ,Special ed teachers for 6-21                 ,"1,469.00",567,"2,036.00",,15,4,9
2005,Hawaii                   ,Vocational education teachers                ,0,0,0,,15,4,9
2005,Hawaii                   ,Physical education teachers                  ,3,0,3,,15,4,9
2005,Hawaii                   ,Work-study coordinators                      ,18,0,18,,15,4,9
2005,Hawaii                   ,Psychologists                                ,62,0,62,,15,4,9
2005,Hawaii                   ,School social workers                        ,76,0,76,,15,4,9
2005,Hawaii                   ,Occupational therapists                      ,43,0,43,,15,4,9
2005,Hawaii                   ,Audiologists                                 ,1,0,1,,15,4,9
2005,Hawaii                   ,Teacher aides                                ,"2,187.00",8,"2,194.00",,15,4,9
2005,Hawaii                   ,Recreation specialists                       ,0,0,0,,15,4,9
2005,Hawaii                   ,Diagnostic & evaluation staff                ,368,7,375,,15,4,9
2005,Hawaii                   ,Physical therapists                          ,16,0,16,,15,4,9
2005,Hawaii                   ,Counselors                                   ,493,37,530,,15,4,9
2005,Hawaii                   ,Speech pathologists                          ,201,0,201,,15,4,9
2005,Hawaii                   ,Supervisors/administrators                   ,0,0,0,,15,4,9
2005,Hawaii                   ,Supervisors/administrators (SEA)             ,0,0,0,,15,4,9
2005,Hawaii                   ,Interpreters                                 ,0,0,0,,15,4,9
2005,Hawaii                   ,Rehabilitation counselors                    ,0,0,0,,15,4,9
2005,Hawaii                   ,Other professional staff                     ,579,447,"1,026.00",,15,4,9
2005,Hawaii                   ,Non-professional staff                       ,27,0,27,,15,4,9
2005,Hawaii                   ,Total                                        ,"4,072.00",499,"4,570.00",,15,4,9
2005,Idaho                    ,Special ed teachers for 3-5                  ,139,35,174,,16,4,8
2005,Idaho                    ,Special ed teachers for 6-21                 ,"1,166.00",117,"1,283.00",,16,4,8
2005,Idaho                    ,Vocational education teachers                ,0,0,0,,16,4,8
2005,Idaho                    ,Physical education teachers                  ,3,0,3,,16,4,8
2005,Idaho                    ,Work-study coordinators                      ,1,0,1,,16,4,8
2005,Idaho                    ,Psychologists                                ,143,10,153,,16,4,8
2005,Idaho                    ,School social workers                        ,0,0,0,,16,4,8
2005,Idaho                    ,Occupational therapists                      ,32,0,32,,16,4,8
2005,Idaho                    ,Audiologists                                 ,4,0,4,,16,4,8
2005,Idaho                    ,Teacher aides                                ,"1,694.00",0,"1,694.00",,16,4,8
2005,Idaho                    ,Recreation specialists                       ,0,0,0,,16,4,8
2005,Idaho                    ,Diagnostic & evaluation staff                ,7,0,7,,16,4,8
2005,Idaho                    ,Physical therapists                          ,4,0,4,,16,4,8
2005,Idaho                    ,Counselors                                   ,0,0,0,,16,4,8
2005,Idaho                    ,Speech pathologists                          ,195,14,209,,16,4,8
2005,Idaho                    ,Supervisors/administrators                   ,55,7,62,,16,4,8
2005,Idaho                    ,Supervisors/administrators (SEA)             ,6,0,6,,16,4,8
2005,Idaho                    ,Interpreters                                 ,62,0,62,,16,4,8
2005,Idaho                    ,Rehabilitation counselors                    ,0,0,0,,16,4,8
2005,Idaho                    ,Other professional staff                     ,7,0,7,,16,4,8
2005,Idaho                    ,Non-professional staff                       ,11,0,11,,16,4,8
2005,Idaho                    ,Total                                        ,"2,224.00",31,"2,255.00",,16,4,8
2005,Illinois                 ,Special ed teachers for 3-5                  ,"1,249.00",27,"1,276.00",,17,2,3
2005,Illinois                 ,Special ed teachers for 6-21                 ,"22,491.00",702,"23,193.00",,17,2,3
2005,Illinois                 ,Vocational education teachers                ,129,1,130,,17,2,3
2005,Illinois                 ,Physical education teachers                  ,202,0,202,,17,2,3
2005,Illinois                 ,Work-study coordinators                      ,          N/V,          N/V,          N/V,,17,2,3
2005,Illinois                 ,Psychologists                                ,"1,970.00",42,"2,012.00",,17,2,3
2005,Illinois                 ,School social workers                        ,"3,178.00",65,"3,243.00",,17,2,3
2005,Illinois                 ,Occupational therapists                      ,868,0,868,,17,2,3
