State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites 	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Idaho		16	4	8	9	0	0	0	0	DS	22.2	0	0	7	77.8	0	0	0	0	7	77.8	0	0	0	0	703
Illinois		17	2	3	223	0	0	4	1.8	20	9	110	49.3	87	39	0	0	DS	0.9	184	82.5	9	4	DS	0.9	"4,221"
Indiana		18	2	3	137	0	0	DS	1.5	4	2.9	22	16.1	105	76.6	0	0	4	2.9	66	48.2	0	0	DS	1.5	"1,875"
Iowa		19	2	4	21	0	0	DS	9.5	0	0	DS	9.5	15	71.4	0	0	DS	9.5	21	100	0	0	0	0	"1,458"
Kansas		20	2	4	35	0	0	0	0	DS	5.7	4	11.4	29	82.9	0	0	0	0	21	60	0	0	0	0	"1,389"
Kentucky		21	3	6	9	0	0	0	0	0	0	0	0	7	77.8	0	0	DS	22.2	7	77.8	0	0	0	0	"1,417"
Louisiana		22	3	7	188	DS	1.1	DS	1.1	7	3.7	112	59.6	63	33.5	0	0	DS	1.1	46	24.5	6	3.2	0	0	"1,394"
Maine		23	1	1	10	0	0	0	0	0	0	0	0	10	100	0	0	0	0	8	80	0	0	0	0	595
Maryland		24	3	5	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	4	100	0	0	0	0	"1,444"
Massachusetts		25	1	1	49	0	0	0	0	14	28.6	4	8.2	31	63.3	0	0	0	0	45	91.8	0	0	0	0	"1,834"
Michigan		26	2	3	422	4	0.9	DS	0.5	23	5.5	37	8.8	354	83.9	0	0	DS	0.5	172	40.8	4	0.9	DS	0.5	"3,626"
Minnesota		27	2	4	524	5	1	0	0	18	3.4	392	74.8	97	18.5	5	1	7	1.3	163	31.1	10	1.9	10	1.9	"2,077"
Mississippi		28	3	6	134	0	0	0	0	4	3	83	61.9	47	35.1	0	0	0	0	36	26.9	0	0	0	0	973
Missouri		29	2	4	99	DS	2	DS	2	DS	2	19	19.2	72	72.7	DS	2	0	0	32	32.3	DS	2	4	4	"2,312"
Montana		30	4	8	10	DS	20	0	0	DS	20	0	0	6	60	0	0	0	0	6	60	0	0	0	0	781
Nebraska		31	2	4	23	DS	8.7	0	0	DS	8.7	DS	8.7	17	73.9	0	0	0	0	21	91.3	0	0	0	0	"1,073"
Nevada		32	4	8	37	DS	5.4	0	0	11	29.7	10	27	10	27	0	0	4	10.8	17	45.9	0	0	DS	5.4	649
New Hampshire		33	1	1	25	0	0	0	0	0	0	0	0	25	100	0	0	0	0	14	56	0	0	0	0	478
New Jersey		34	1	2	279	0	0	DS	0.7	54	19.4	194	69.5	29	10.4	0	0	0	0	162	58.1	0	0	0	0	"2,538"
New Mexico		35	4	8	10	4	40	0	0	DS	20	0	0	4	40	0	0	0	0	4	40	0	0	0	0	853
New York		36	1	2	33	0	0	0	0	DS	6.1	10	30.3	21	63.6	0	0	0	0	31	93.9	0	0	0	0	"4,864"
North Carolina		37	3	5	25	0	0	0	0	DS	8	15	60	4	16	DS	8	DS	8	16	64	0	0	0	0	"2,535"
North Dakota		38	2	4	6	0	0	0	0	DS	33.3	DS	33.3	DS	33.3	0	0	0	0	6	100	0	0	DS	33.3	468
Ohio		39	2	3	254	0	0	0	0	4	1.6	72	28.3	169	66.5	0	0	9	3.5	109	42.9	DS	0.8	4	1.6	"3,702"
Oklahoma		40	3	7	193	14	7.3	DS	1	19	9.8	63	32.6	93	48.2	0	0	DS	1	94	48.7	DS	1	4	2.1	"1,774"
Oregon		41	9	4	34	DS	5.9	0	0	7	20.6	0	0	25	73.5	0	0	0	0	30	88.2	0	0	0	0	"1,312"
Pennsylvania		42	1	2	63	0	0	DS	3.2	0	0	18	28.6	39	61.9	0	0	4	6.3	35	55.6	0	0	DS	3.2	"3,220"
Rhode Island		44	1	1	6	0	0	0	0	0	0	0	0	6	100	0	0	0	0	6	100	0	0	0	0	291
South Carolina		45	3	5	146	0	0	0	0	7	4.8	104	71.2	33	22.6	0	0	DS	1.4	42	28.8	0	0	4	2.7	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	90	0	0	0	0	DS	2.2	31	34.4	55	61.1	0	0	DS	2.2	52	57.8	25	27.8	DS	2.2	"1,802"
Texas		48	3	7	853	4	0.5	DS	0.2	433	50.8	262	30.7	139	16.3	DS	0.2	11	1.3	180	21.1	9	1.1	59	6.9	"8,472"
Utah		49	4	8	54	4	7.4	0	0	4	7.4	DS	3.7	42	77.8	0	0	DS	3.7	43	79.6	0	0	DS	3.7	981
Vermont		50	1	1	20	0	0	DS	10	4	20	0	0	14	70	0	0	0	0	16	80	0	0	0	0	295
Virginia		51	3	5	57	DS	3.5	0	0	4	7	28	49.1	19	33.3	0	0	4	7	27	47.4	4	7	4	7	"1,984"
Washington		53	4	9	194	DS	1	0	0	47	24.2	DS	1	139	71.6	0	0	4	2.1	33	17	4	2.1	4	2.1	"2,256"
West Virginia		54	3	5	19	0	0	0	0	0	0	DS	10.5	15	78.9	0	0	DS	10.5	10	52.6	0	0	0	0	733
Wisconsin		55	2	3	293	4	1.4	DS	0.7	13	4.4	14	4.8	254	86.7	DS	0.7	4	1.4	87	29.7	0	0	DS	0.7	"2,242"
Wyoming		56	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	4	100	0	0	0	0	349
