,2000,2000,,2013,2013,,
Madison,196,15,7.70%,166 13,7.80%,2.30%,
Mahaska,283,22,7.80%,273 17,6.20%,-19.90%,
Marion,383,26,6.80%,390 23,5.90%,-13.10%,
Marshall,556,32,5.80%,548 33,6.00%,4.60%,
Mills,155,*,*,129 14,10.90%,*,
Mitchell,131,*,*,144 11,7.60%,*,
Monona,98,7,7.10%,73 *,*,*,
Monroe,102,*,*,90 6,6.70%,*,
Montgomery,139,7,5.00%,112 8,7.10%,41.80%,
Muscatine,638,27,4.20%,550 30,5.50%,28.90%,
O'Brien,187,7,3.70%,183 *,*,*,
Osceola,73,*,*,79 *,*,*,
Page,169,9,5.30%,171 9,5.30%,-1.20%,
Palo Alto,110,*,*,110 *,*,*,
Plymouth,309,14,4.50%,265 18,6.80%,49.90%,
Pocahontas,73,*,*,99 11,11.10%,*,
Polk,"6,216",387,6.20%,"6,767 476",7.00%,13.00%,
Pottawattamie,"1,184",76,6.40%,"1,203 81",6.70%,4.90%,
Poweshiek,212,13,6.10%,170 15,8.80%,43.90%,
Ringgold,69,*,*,52 0,0.00%,-100.00%,
Sac,135,12,8.90%,121 10,8.30%,-7.00%,
Scott,"2,348",166,7.10%,"2,269 156",6.90%,-2.80%,
Shelby,150,12,8.00%,121 *,*,*,
Sioux,457,16,3.50%,526 18,3.40%,-2.30%,
Story,940,47,5.00%,980 68,6.90%,38.80%,
Tama,251,19,7.60%,215 21,9.80%,29.00%,
Taylor,87,13,14.90%,82 *,*,*,
Union,127,7,5.50%,136 8,5.90%,6.70%,
Van Buren,97,*,*,85 *,*,*,
Wapello,424,36,8.50%,425 37,8.70%,2.50%,
Warren,513,28,5.50%,532 34,6.40%,17.10%,
Washington,290,16,5.50%,304 22,7.20%,31.20%,
Wayne,79,*,*,92 8,8.70%,*,
Webster,492,30,6.10%,442 30,6.80%,11.30%,
Winnebago,134,9,6.70%,132 6,4.50%,-32.30%,
Winneshiek,191,12,6.30%,172 11,6.40%,1.80%,
Woodbury,"1,692",128,7.60%,"1,540 104",6.80%,-10.70%,
Worth,84,11,13.10%,71 *,*,*,
Wright,168,14,4.0% 8.3%,150 13,8.70%,,
State,"38,250","2,346",6.10%,"39,013 2,561",6.60%,7.00%,
Rural,"5,454",338,6.20%,"5,281 327",6.20%,-0.10%,
Small Urban,"13,547",822,6.10%,"13,592 873",6.40%,5.90%,
Metropolitan,"19,249","1,186",9.7% 6.2%,"20,140 1,361",6.80%,,
United States,"4,055,507","308,219",7.60%,"3,952,841 315,709",8.00%,5.10%,
