State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Minnesota		27	2	4	442	DS	0.5	DS	0.5	12	2.7	332	75.1	81	18.3	5	1.1	8	1.8	10	2.3	10	2.3	"2,077"
Mississippi		28	3	6	125	0	0	DS	1.6	DS	1.6	81	64.8	40	32	0	0	0	0	0	0	DS	1.6	973
Missouri		29	2	4	637	DS	0.3	DS	0.3	12	1.9	141	22.1	470	73.8	DS	0.3	8	1.3	10	1.6	0	0	"2,312"
Montana		30	4	8	57	6	10.5	0	0	DS	3.5	DS	3.5	41	71.9	0	0	6	10.5	0	0	DS	3.5	781
Nebraska		31	2	4	63	5	7.9	DS	3.2	8	12.7	4	6.3	40	63.5	DS	3.2	DS	3.2	DS	3.2	0	0	"1,073"
Nevada		32	4	8	26	DS	7.7	0	0	8	30.8	8	30.8	8	30.8	0	0	0	0	DS	7.7	0	0	649
New Hampshire		33	1	1	64	0	0	DS	3.1	DS	3.1	4	6.3	54	84.4	0	0	DS	3.1	6	9.4	DS	3.1	478
New Jersey		34	1	2	134	0	0	DS	1.5	14	10.4	70	52.2	44	32.8	0	0	4	3	9	6.7	0	0	"2,538"
New Mexico		35	4	8	28	DS	7.1	0	0	11	39.3	DS	7.1	11	39.3	0	0	DS	7.1	DS	7.1	DS	7.1	853
New York		36	1	2	188	DS	1.1	0	0	18	9.6	56	29.8	103	54.8	0	0	9	4.8	9	4.8	DS	1.1	"4,864"
North Carolina		37	3	5	78	DS	2.6	DS	2.6	DS	2.6	32	41	35	44.9	0	0	5	6.4	4	5.1	DS	2.6	"2,535"
North Dakota		38	2	4	19	0	0	0	0	0	0	DS	10.5	17	89.5	0	0	0	0	DS	10.5	0	0	468
Ohio		39	2	3	211	0	0	DS	0.9	4	1.9	75	35.5	121	57.3	0	0	9	4.3	7	3.3	0	0	"3,702"
Oklahoma		40	3	7	240	20	8.3	DS	0.8	28	11.7	102	42.5	79	32.9	0	0	9	3.8	DS	0.8	10	4.2	"1,774"
Oregon		41	9	4	76	0	0	0	0	12	15.8	DS	2.6	55	72.4	0	0	7	9.2	DS	2.6	DS	2.6	"1,312"
Pennsylvania		42	1	2	274	0	0	DS	0.7	26	9.5	144	52.6	95	34.7	0	0	7	2.6	5	1.8	4	1.5	"3,220"
Rhode Island		44	1	1	70	DS	2.9	0	0	18	25.7	10	14.3	36	51.4	DS	2.9	DS	2.9	DS	2.9	0	0	291
South Carolina		45	3	5	176	0	0	0	0	DS	1.1	96	54.5	72	40.9	0	0	6	3.4	0	0	DS	1.1	"1,219"
South Dakota		46	2	4	75	21	28	DS	2.7	DS	2.7	6	8	42	56	0	0	DS	2.7	0	0	DS	2.7	668
Tennessee		47	3	6	182	0	0	0	0	DS	1.1	77	42.3	97	53.3	0	0	6	3.3	26	14.3	DS	1.1	"1,802"
Texas		48	3	7	"1,030"	4	0.4	DS	0.2	401	38.9	204	19.8	388	37.7	DS	0.2	29	2.8	45	4.4	67	6.5	"8,472"
Utah		49	4	8	32	DS	6.3	0	0	5	15.6	DS	6.3	23	71.9	0	0	0	0	0	0	0	0	981
Vermont		50	1	1	90	0	0	0	0	DS	2.2	4	4.4	82	91.1	0	0	DS	2.2	22	24.4	DS	2.2	295
Virginia		51	3	5	105	DS	1.9	0	0	DS	1.9	57	54.3	36	34.3	0	0	8	7.6	DS	1.9	DS	1.9	"1,984"
Washington		53	4	9	200	6	3	0	0	38	19	DS	1	152	76	0	0	DS	1	5	2.5	DS	1	"2,256"
West Virginia		54	3	5	102	0	0	0	0	DS	2	11	10.8	87	85.3	0	0	DS	2	DS	2	0	0	733
Wisconsin		55	2	3	437	17	3.9	DS	0.5	31	7.1	62	14.2	306	70	0	0	19	4.3	DS	0.5	7	1.6	"2,242"
Wyoming		56	4	8	9	0	0	0	0	DS	22.2	0	0	5	55.6	0	0	DS	22.2	0	0	0	0	349
