Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"2,540"	28.9	322	3.7	15	0.2	390	4.4	793	9	942	10.7	9	0.1	69	0.8	108	1.2	"1,774"	40	3	7
More than one out-of-school suspension total	"8,783"	100	"1,096"	12.5	56	0.6	"1,345"	15.3	"2,303"	26.2	"3,716"	42.3	34	0.4	233	2.7	486	5.5	"1,774"	40	3	7
One or more out-of-school suspensions on males	"20,181"	67.1	"2,555"	8.5	156	0.5	"3,518"	11.7	"4,565"	15.2	"8,819"	29.3	53	0.2	515	1.7	"1,478"	4.9	"1,774"	40	3	7
One or more out-of-school suspensions on females	"9,896"	32.9	"1,190"	4	60	0.2	"1,822"	6.1	"2,885"	9.6	"3,677"	12.2	26	0.1	236	0.8	580	1.9	"1,774"	40	3	7
One or more out-of-school suspensions total	"30,077"	100	"3,745"	12.5	216	0.7	"5,340"	17.8	"7,450"	24.8	"12,496"	41.5	79	0.3	751	2.5	"2,058"	6.8	"1,774"	40	3	7
Expulsions with educational services on males	"1,438"	69.9	214	10.4	9	0.4	165	8	344	16.7	643	31.2	DS	0.1	61	3	35	1.7	"1,774"	40	3	7
Expulsions with educational services on females	620	30.1	93	4.5	DS	0.1	53	2.6	222	10.8	222	10.8	DS	0.1	26	1.3	6	0.3	"1,774"	40	3	7
Expulsions with educational services total	"2,058"	100	307	14.9	11	0.5	218	10.6	566	27.5	865	42	4	0.2	87	4.2	41	2	"1,774"	40	3	7
Expulsions without educational services on males	"1,866"	61.8	184	6.1	16	0.5	334	11.1	755	25	463	15.3	DS	0.1	112	3.7	DS	0.1	"1,774"	40	3	7
Expulsions without educational services on females	"1,152"	38.2	116	3.8	0	0	118	3.9	607	20.1	221	7.3	5	0.2	85	2.8	DS	0.1	"1,774"	40	3	7
Expulsions without educational services total	"3,018"	100	300	9.9	16	0.5	452	15	"1,362"	45.1	684	22.7	7	0.2	197	6.5	4	0.1	"1,774"	40	3	7
Expulsions with or without educational services on males	"3,306"	65.2	397	7.8	27	0.5	499	9.8	"1,099"	21.7	"1,109"	21.9	DS	0	173	3.4	36	0.7	"1,774"	40	3	7
Expulsions with or without educational services on females	"1,768"	34.8	208	4.1	DS	0	170	3.4	828	16.3	441	8.7	7	0.1	112	2.2	8	0.2	"1,774"	40	3	7
Expulsions with or without educational services total	"5,074"	100	605	11.9	29	0.6	669	13.2	"1,927"	38	"1,550"	30.5	9	0.2	285	5.6	44	0.9	"1,774"	40	3	7
Expulsions under zero-tolerance policies on males	607	65.6	94	10.2	7	0.8	110	11.9	199	21.5	172	18.6	DS	0.2	23	2.5	17	1.8	"1,774"	40	3	7
Expulsions under zero-tolerance policies on females	319	34.4	34	3.7	0	0	37	4	159	17.2	75	8.1	DS	0.2	12	1.3	4	0.4	"1,774"	40	3	7
Expulsions under zero-tolerance policies total	926	100	128	13.8	7	0.8	147	15.9	358	38.7	247	26.7	4	0.4	35	3.8	21	2.3	"1,774"	40	3	7
Referral to law enforcement on males	"1,575"	68.5	210	9.1	11	0.5	269	11.7	386	16.8	655	28.5	DS	0.1	42	1.8	74	3.2	"1,774"	40	3	7
Referral to law enforcement on females	725	31.5	105	4.6	4	0.2	84	3.7	237	10.3	271	11.8	DS	0.1	22	1	20	0.9	"1,774"	40	3	7
Referral to law enforcement total	"2,300"	100	315	13.7	15	0.7	353	15.3	623	27.1	926	40.3	4	0.2	64	2.8	94	4.1	"1,774"	40	3	7
School-related arrests on males	511	70.8	66	9.1	4	0.6	78	10.8	135	18.7	209	28.9	DS	0.3	17	2.4	20	2.8	"1,774"	40	3	7
School-related arrests on females	211	29.2	32	4.4	DS	0.3	14	1.9	78	10.8	76	10.5	0	0	9	1.2	DS	0.3	"1,774"	40	3	7
School-related arrests total	722	100	98	13.6	6	0.8	92	12.7	213	29.5	285	39.5	DS	0.3	26	3.6	22	3	"1,774"	40	3	7
