Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander 	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services total	"3,228"	100	35	1.1	"3,193"	98.9	6	0.2	9	0.3	108	3.4	"1,607"	50.3	"1,443"	45.2	DS	0.1	18	0.6	28	0.9	"1,802"	47	3	6
Expulsions without educational services on males	"3,317"	70.7	0	0	"3,317"	70.7	4	0.1	11	0.2	57	1.2	"2,750"	58.6	490	10.4	0	0	5	0.1	66	1.4	"1,802"	47	3	6
Expulsions without educational services on females	"1,376"	29.3	DS	0	"1,374"	29.3	0	0	4	0.1	12	0.3	"1,211"	25.8	143	3	DS	0	DS	0	10	0.2	"1,802"	47	3	6
Expulsions without educational services total	"4,693"	100	DS	0	"4,691"	100	4	0.1	15	0.3	69	1.5	"3,961"	84.4	633	13.5	DS	0	7	0.1	76	1.6	"1,802"	47	3	6
Expulsions with or without educational services on males	"5,738"	72.5	28	0.4	"5,710"	72.2	10	0.1	20	0.3	140	1.8	"3,926"	49.9	"1,591"	20.2	DS	0	21	0.3	92	1.2	"1,802"	47	3	6
Expulsions with or without educational services on females	"2,173"	27.5	8	0.1	"2,165"	27.4	0	0	4	0.1	39	0.5	"1,633"	20.7	483	6.1	DS	0	4	0.1	12	0.2	"1,802"	47	3	6
Expulsions with or without educational services total	"7,911"	100	36	0.5	"7,875"	99.5	10	0.1	24	0.3	179	2.3	"5,559"	70.6	"2,074"	26.3	4	0.1	25	0.3	104	1.3	"1,802"	47	3	6
Expulsions under zero-tolerance policies on males	"1,858"	77.5	8	0.3	"1,850"	77.1	0	0	7	0.3	64	2.7	"1,063"	44.5	708	29.6	0	0	8	0.3	30	1.3	"1,802"	47	3	6
Expulsions under zero-tolerance policies on females	540	22.5	DS	0.1	538	22.4	0	0	DS	0.1	4	0.2	302	12.6	226	9.5	0	0	4	0.2	DS	0.1	"1,802"	47	3	6
Expulsions under zero-tolerance policies total	"2,398"	100	10	0.4	"2,388"	99.6	0	0	9	0.4	68	2.8	"1,365"	57.2	934	39.1	0	0	12	0.5	32	1.3	"1,802"	47	3	6
Referral to law enforcement on males	"2,682"	70	4	0.1	"2,678"	69.8	4	0.1	DS	0.1	86	2.2	613	16	"1,956"	51.1	0	0	17	0.4	12	0.3	"1,802"	47	3	6
Referral to law enforcement on females	"1,152"	30	0	0	"1,152"	30	DS	0.1	DS	0.1	23	0.6	305	8	816	21.3	0	0	4	0.1	DS	0.1	"1,802"	47	3	6
Referral to law enforcement total	"3,834"	100	4	0.1	"3,830"	99.9	6	0.2	4	0.1	109	2.8	918	24	"2,772"	72.4	0	0	21	0.5	14	0.4	"1,802"	47	3	6
School-related arrests on males	"1,063"	69.7	0	0	"1,063"	69.7	DS	0.1	0	0	48	3.1	323	21.2	686	45	0	0	4	0.3	6	0.4	"1,802"	47	3	6
School-related arrests on females	462	30.3	0	0	462	30.3	DS	0.1	0	0	13	0.9	175	11.5	270	17.7	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
School-related arrests total	"1,525"	100	0	0	"1,525"	100	4	0.3	0	0	61	4	498	32.7	956	62.7	0	0	6	0.4	8	0.5	"1,802"	47	3	6
