County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2009 Live Births,2009 Low Birthweight,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Clinton,591,39,6.60%,589,45,7.60%,15.80%,19_023,19,2,4,,
Crawford,189,13,6.90%,235,15,6.40%,-7.20%,19_024,19,2,4,,
Dallas,566,34,6.00%,"1,014",97,9.60%,59.20%,19_025,19,2,4,,
Davis,129,9,7.00%,142,6,4.20%,-39.40%,19_026,19,2,4,,
Decatur,101,3,3.00%,103,9,8.70%,194.20%,19_027,19,2,4,,
Delaware,227,20,8.80%,207,17,8.20%,-6.80%,19_028,19,2,4,,
Des Moines,555,44,7.90%,518,36,6.90%,-12.30%,19_029,19,2,4,,
Dickinson,159,10,6.30%,161,7,4.30%,-30.90%,19_030,19,2,4,,
Dubuque,"1,221",62,5.10%,"1,217",62,5.10%,0.30%,19_031,19,2,4,,
Emmet,126,8,6.30%,126,10,7.90%,25.00%,19_032,19,2,4,,
Fayette,233,13,5.60%,263,19,7.20%,29.50%,19_033,19,2,4,,
Floyd,199,8,4.00%,170,11,6.50%,61.00%,19_034,19,2,4,,
Franklin,113,9,8.00%,134,10,7.50%,-6.30%,19_035,19,2,4,,
Fremont,82,7,8.50%,95,12,12.60%,48.00%,19_036,19,2,4,,
Greene,92,10,10.90%,95,10,10.50%,-3.20%,19_037,19,2,4,,
Grundy,133,8,6.00%,156,13,8.30%,38.50%,19_038,19,2,4,,
Guthrie,134,6,4.50%,124,9,7.30%,62.10%,19_039,19,2,4,,
Hamilton,192,7,3.60%,185,15,8.10%,122.40%,19_040,19,2,4,,
Hancock,131,10,7.60%,105,4,3.80%,-50.10%,19_041,19,2,4,,
Hardin,208,20,9.60%,173,18,10.40%,8.20%,19_042,19,2,4,,
Harrison,193,16,8.30%,173,8,4.60%,-44.20%,19_043,19,2,4,,
Henry,264,14,5.30%,217,9,4.10%,-21.80%,19_044,19,2,4,,
Howard,110,6,5.50%,134,4,3.00%,-45.30%,19_045,19,2,4,,
Humboldt,99,6,6.10%,111,8,7.20%,18.90%,19_046,19,2,4,,
Ida,70,6,8.60%,106,9,8.50%,-0.90%,19_047,19,2,4,,
Iowa,183,11,6.00%,204,7,3.40%,-42.90%,19_048,19,2,4,,
Jackson,239,20,8.40%,219,13,5.90%,-29.10%,19_049,19,2,4,,
Jasper,458,27,5.90%,389,26,6.70%,13.40%,19_050,19,2,4,,
Jefferson,145,12,8.30%,150,6,4.00%,-51.70%,19_051,19,2,4,,
Johnson,"1,382",74,5.40%,"1,711",117,6.80%,27.70%,19_052,19,2,4,,
Jones,227,15,6.60%,200,12,6.00%,-9.20%,19_053,19,2,4,,
Keokuk,154,10,6.50%,118,7,5.90%,-8.60%,19_054,19,2,4,,
Kossuth,166,9,5.40%,156,7,4.50%,-17.20%,19_055,19,2,4,,
Lee,410,34,8.30%,439,32,7.30%,-12.10%,19_056,19,2,4,,
Linn,"2,715",150,5.50%,"2,900",191,6.60%,19.20%,19_057,19,2,4,,
Louisa,164,16,9.80%,114,6,5.30%,-46.10%,19_058,19,2,4,,
Lucas,119,6,5.00%,95,7,7.40%,46.10%,19_059,19,2,4,,
Lyon,159,3,1.90%,156,7,4.50%,137.80%,19_119,19,2,4,,
Madison,196,15,7.70%,200,11,5.50%,-28.10%,19_121,19,2,4,,
Mahaska,283,22,7.80%,301,14,4.70%,-40.20%,19_123,19,2,4,,
Marion,383,26,6.80%,420,24,5.70%,-15.80%,19_125,19,2,4,,
Marshall,556,32,5.80%,589,22,3.70%,-35.10%,19_127,19,2,4,,
Mills,155,5,3.20%,169,9,5.30%,65.10%,19_129,19,2,4,,
Mitchell,131,4,3.10%,112,6,5.40%,75.40%,19_131,19,2,4,,
Monona,98,7,7.10%,82,11,13.40%,87.80%,19_133,19,2,4,,
Monroe,102,1,1.00%,78,4,5.10%,423.10%,19_135,19,2,4,,
Montgomery,139,7,5.00%,117,7,6.00%,18.80%,19_137,19,2,4,,
Muscatine,638,27,4.20%,596,49,8.20%,94.30%,19_139,19,2,4,,
O'Brien,187,7,3.70%,169,15,8.90%,137.10%,19_141,19,2,4,,
Osceola,73,5,6.80%,66,5,7.60%,10.60%,19_143,19,2,4,,
Page,169,9,5.30%,200,9,4.50%,-15.50%,19_145,19,2,4,,
Palo Alto,110,3,2.70%,92,C,N/A,N/A,19_147,19,2,4,,
Plymouth,309,14,4.50%,310,21,6.80%,49.50%,19_149,19,2,4,,
Pocahontas,73,3,4.10%,69,4,5.80%,41.10%,19_151,19,2,4,,
Polk,"6,216",387,6.20%,"6,690",455,6.80%,9.20%,19_153,19,2,4,,
Pottawattamie,"1,184",76,6.40%,"1,303",98,7.50%,17.20%,19_155,19,2,4,,
Poweshiek,212,13,6.10%,191,10,5.20%,-14.60%,19_157,19,2,4,,
Ringgold,69,4,5.80%,64,C,N/A,N/A,19_159,19,2,4,,
Sac,135,12,8.90%,106,7,6.60%,-25.70%,19_161,19,2,4,,
Scott,"2,348",166,7.10%,"2,339",160,6.80%,-3.20%,19_163,19,2,4,,
Shelby,150,12,8.00%,120,8,6.70%,-16.70%,19_165,19,2,4,,
Sioux,457,16,3.50%,522,22,4.20%,20.40%,19_167,19,2,4,,
Story,940,47,5.00%,990,72,7.30%,45.50%,19_169,19,2,4,,
Tama,251,19,7.60%,205,12,5.90%,-22.70%,19_171,19,2,4,,
Taylor,87,13,14.90%,48,4,8.30%,-44.20%,19_173,19,2,4,,
Union,127,7,5.50%,138,9,6.50%,18.30%,19_175,19,2,4,,
Van Buren,97,2,2.10%,95,C,N/A,N/A,19_177,19,2,4,,
Wapello,424,36,8.50%,504,34,6.70%,-20.50%,19_179,19,2,4,,
Warren,513,28,5.50%,537,38,7.10%,29.60%,19_181,19,2,4,,
Washington,290,16,5.50%,243,14,5.80%,4.40%,19_183,19,2,4,,
Wayne,79,4,5.10%,81,8,9.90%,95.10%,19_185,19,2,4,,
Webster,492,30,6.10%,449,19,4.20%,-30.60%,19_187,19,2,4,,
Winnebago,134,9,6.70%,102,9,8.80%,31.40%,19_189,19,2,4,,
Winneshiek,191,12,6.30%,195,13,6.70%,6.10%,19_191,19,2,4,,
Woodbury,"1,692",128,7.60%,"1,600",122,7.60%,0.80%,19_193,19,2,4,,
Worth,84,11,13.10%,83,0,0.00%,-100.00%,19_195,19,2,4,,
Wright,168,14,8.30%,160,9,5.60%,-32.50%,19_197,19,2,4,,
State,"38,250","2,346",6.10%,"39,662","2,674",6.70%,9.90%,,19,2,4,,
Rural,"5,650",353,6.20%,"5,500",349,6.30%,1.60%,,,,,,IA_Rural_Counties
Small Urban,"13,351",807,6.00%,"13,666",892,6.50%,8.00%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,186",6.20%,"20,496","1,433",7.00%,13.50%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","308,219",7.60%,"4,317,119","354,004",8.20%,7.90%,,,,,US_National,
