,2000,2000,,2016,2016,,
Warren,513,28,5.50%,589,37,6.30%,15.10%
Washington,290,16,5.50%,297,20,6.70%,22.10%
Wayne,79,*,*,104,6,5.80%,*
Webster,492,30,6.10%,436,32,7.30%,20.40%
Winnebago,134,9,6.70%,112,6,5.40%,-20.20%
Winneshiek,191,12,6.30%,178,12,6.70%,7.30%
Woodbury,"1,692",128,7.60%,"1,536",115,7.50%,-1.00%
Worth,84,11,13.10%,83,7,8.40%,-35.60%
Wright,168,14,8.30%,168,8,4.80%,-42.90%
,,,,,,,
State,"38,250","2,346",6.10%,"39,223","2,646",6.70%,10.00%
Rural,"5,454",338,6.20%,"5,212",267,5.10%,-17.30%
Small Urban,"13,547",822,6.10%,"13,708",938,6.80%,12.80%
Metropolitan,"19,249","1,186",6.20%,"20,303","1,441",7.10%,15.20%
,,,,,,,
United States,"4,055,507","308,219",7.60%,"3,978,497","320,869",8.10%,6.10%
