,2000,2000,,2012-16,2012-16,,
Henry,413,187,45.30%,407,238,58.50%,29.10%
Howard,233,84,36.10%,243,91,37.40%,3.90%
Humboldt,250,143,57.20%,229,120,52.40%,-8.40%
Ida,171,69,40.40%,155,66,42.60%,5.50%
Iowa,412,152,36.90%,445,250,56.20%,52.30%
Jackson,520,222,42.70%,421,236,56.10%,31.30%
Jasper,"1,091",470,43.10%,850,444,52.20%,21.30%
Jefferson,335,123,36.70%,305,74,24.30%,-33.90%
Johnson,"2,412","1,382",57.30%,"3,285","2,004",61.00%,6.50%
Jones,500,183,36.60%,443,242,54.60%,49.30%
Keokuk,283,77,27.20%,270,103,38.10%,40.20%
,Age 3-4,,,Age 3-4,,,2000-2012-16
County,Population,Preschool,Percentage,Population,Preschool,Percentage,Change
Kossuth,377,153,40.60%,340,239,70.30%,73.20%
Lee,894,365,40.80%,885,379,42.80%,4.90%
Linn,"5,392","2,712",50.30%,"5,805","3,145",54.20%,7.70%
Louisa,356,129,36.20%,275,100,36.40%,0.40%
Lucas,246,106,43.10%,196,77,39.30%,-8.80%
Lyon,328,78,23.80%,311,105,33.80%,42.00%
Madison,370,146,39.50%,564,199,35.30%,-10.60%
Mahaska,594,206,34.70%,642,265,41.30%,19.00%
Marion,778,356,45.80%,880,354,40.20%,-12.10%
Marshall,958,376,39.20%,"1,166",372,31.90%,-18.70%
Mills,376,236,62.80%,472,232,49.20%,-21.70%
Mitchell,289,64,22.10%,251,104,41.40%,87.10%
Monona,213,109,51.20%,160,110,68.80%,34.30%
Monroe,277,111,40.10%,178,69,38.80%,-3.30%
Montgomery,312,148,47.40%,244,121,49.60%,4.50%
Muscatine,"1,098",457,41.60%,"1,286",660,51.30%,23.30%
O'Brien,328,133,40.50%,280,124,44.30%,9.20%
Osceola,228,53,23.20%,169,111,65.70%,182.50%
Page,411,171,41.60%,472,308,65.30%,56.80%
Palo Alto,243,112,46.10%,222,100,45.00%,-2.30%
Plymouth,692,271,39.20%,773,358,46.30%,18.30%
Pocahontas,180,78,43.30%,145,51,35.20%,-18.80%
Polk,"11,301","5,327",47.10%,"13,700","6,122",44.70%,-5.20%
Pottawattamie,"2,258",855,37.90%,"2,447","1,085",44.30%,17.10%
Poweshiek,410,177,43.20%,298,175,58.70%,36.00%
Ringgold,133,53,39.80%,101,63,62.40%,56.50%
Sac,265,109,41.10%,211,105,49.80%,21.00%
Scott,"4,222","1,887",44.70%,"4,670","1,978",42.40%,-5.20%
Shelby,281,81,28.80%,325,184,56.60%,96.40%
Sioux,879,295,33.60%,"1,215",544,44.80%,33.40%
Story,"1,699",877,51.60%,"1,627",755,46.40%,-10.10%
Tama,506,192,37.90%,471,238,50.50%,33.20%
Taylor,156,45,28.80%,145,83,57.20%,98.40%
Union,312,160,51.30%,299,114,38.10%,-25.70%
Van Buren,186,84,45.20%,205,67,32.70%,-27.60%
Wapello,840,436,51.90%,760,310,40.80%,-21.40%
Warren,"1,217",444,36.50%,"1,120",566,50.50%,38.50%
Washington,590,182,30.80%,533,274,51.40%,66.60%
Wayne,165,60,36.40%,187,58,31.00%,-14.70%
Webster,"1,042",358,34.40%,798,445,55.80%,62.30%
Winnebago,301,97,32.20%,257,142,55.30%,71.50%
Winneshiek,450,235,52.20%,376,249,66.20%,26.80%
Woodbury,"2,967","1,345",45.30%,"2,944","1,331",45.20%,-0.30%
Worth,182,74,40.70%,184,93,50.50%,24.30%
Wright,366,134,36.60%,229,102,44.50%,21.70%
,,,,,,,
State,"75,948","33,828",44.50%,"80,631","38,778",48.10%,8.00%
,,,,,,,
Rural,"11,814","4,492",38.00%,"10,853","5,172",47.70%,25.30%
Small Urban,"28,247","12,214",43.20%,"29,480","14,280",48.40%,12.00%
Metropolitan,"35,887","17,122",47.70%,"40,298","19,326",48.00%,0.50%
,,,,,,,
United States,"7,701,024","3,795,049",49.30%,"8,232,937","3,909,307",47.50%,-3.60%
