State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Nebraska		31	2	4	60	DS	3.3	0	0	5	8.3	6	10	43	71.7	DS	3.3	DS	3.3	13	21.7	DS	3.3	DS	3.3	319
Nevada		32	4	8	"2,550"	15	0.6	95	3.7	"1,305"	51.2	418	16.4	565	22.2	38	1.5	114	4.5	238	9.3	25	1	345	13.5	148
New Hampshire		33	1	1	200	0	0	6	3	16	8	9	4.5	167	83.5	0	0	DS	1	39	19.5	19	9.5	11	5.5	89
New Jersey		34	1	2	497	DS	0.4	15	3	183	36.8	190	38.2	101	20.3	DS	0.4	4	0.8	71	14.3	8	1.6	28	5.6	512
New Mexico		35	4	8	551	76	13.8	4	0.7	362	65.7	7	1.3	94	17.1	0	0	8	1.5	60	10.9	4	0.7	99	18	208
New York		36	1	2	937	9	1	31	3.3	234	25	292	31.2	362	38.6	DS	0.2	7	0.7	193	20.6	13	1.4	112	12	"1,370"
North Carolina		37	3	5	"2,036"	44	2.2	26	1.3	268	13.2	901	44.3	714	35.1	6	0.3	77	3.8	258	12.7	41	2	105	5.2	614
North Dakota		38	2	4	61	34	55.7	0	0	DS	3.3	4	6.6	21	34.4	0	0	0	0	12	19.7	DS	3.3	15	24.6	167
Ohio		39	2	3	"1,628"	DS	0.1	14	0.9	66	4.1	711	43.7	766	47.1	DS	0.1	67	4.1	322	19.8	19	1.2	42	2.6	989
Oklahoma		40	3	7	419	66	15.8	DS	0.5	70	16.7	83	19.8	182	43.4	DS	0.5	14	3.3	54	12.9	DS	0.5	21	5	506
Oregon		41	9	4	218	10	4.6	10	4.6	36	16.5	8	3.7	139	63.8	DS	0.9	13	6	22	10.1	4	1.8	18	8.3	361
Pennsylvania		42	1	2	"1,086"	DS	0.2	18	1.7	145	13.4	399	36.7	498	45.9	DS	0.2	22	2	232	21.4	7	0.6	32	2.9	801
Rhode Island		44	1	1	119	DS	1.7	0	0	34	28.6	23	19.3	56	47.1	DS	1.7	DS	1.7	18	15.1	4	3.4	8	6.7	57
South Carolina		45	3	5	"1,350"	6	0.4	8	0.6	69	5.1	644	47.7	585	43.3	DS	0.1	36	2.7	164	12.1	23	1.7	38	2.8	265
South Dakota		46	2	4	145	26	17.9	DS	1.4	9	6.2	6	4.1	98	67.6	DS	1.4	DS	1.4	13	9	0	0	0	0	185
Tennessee		47	3	6	752	0	0	8	1.1	34	4.5	358	47.6	343	45.6	0	0	9	1.2	114	15.2	4	0.5	22	2.9	406
Texas		48	3	7	"8,172"	25	0.3	193	2.4	"4,590"	56.2	"1,247"	15.3	"1,965"	24	13	0.2	139	1.7	"1,011"	12.4	205	2.5	667	8.2	"2,163"
Utah		49	4	8	199	5	2.5	DS	1	29	14.6	8	4	153	76.9	DS	1	0	0	35	17.6	4	2	9	4.5	205
Vermont		50	1	1	57	0	0	0	0	0	0	DS	3.5	55	96.5	0	0	0	0	13	22.8	6	10.5	DS	3.5	65
Virginia		51	3	5	"1,035"	0	0	118	11.4	282	27.2	343	33.1	261	25.2	DS	0.2	29	2.8	145	14	16	1.5	360	34.8	431
Washington		53	4	9	"1,361"	21	1.5	87	6.4	370	27.2	132	9.7	649	47.7	40	2.9	62	4.6	153	11.2	20	1.5	148	10.9	636
West Virginia		54	3	5	171	0	0	0	0	5	2.9	23	13.5	141	82.5	0	0	DS	1.2	19	11.1	DS	1.2	DS	1.2	159
Wisconsin		55	2	3	919	9	1	38	4.1	147	16	353	38.4	355	38.6	0	0	17	1.8	233	25.4	8	0.9	81	8.8	606
Wyoming		56	4	8	47	DS	4.3	DS	4.3	10	21.3	DS	4.3	29	61.7	0	0	DS	4.3	5	10.6	0	0	0	0	88
