Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools 	State_ID	Region_ID	Division_ID
Referral to law enforcement total	"25,389"	100	377	1.5	"1,130"	4.5	"15,335"	60.4	"3,243"	12.8	"4,715"	18.6	196	0.8	393	1.5	"5,326"	21	"9,866"	6	4	9
School-related arrests on males	"3,399"	70	34	0.7	159	3.3	"2,052"	42.2	490	10.1	549	11.3	33	0.7	82	1.7	699	14.4	"9,866"	6	4	9
School-related arrests on females	"1,459"	30	19	0.4	48	1	868	17.9	248	5.1	207	4.3	12	0.2	57	1.2	228	4.7	"9,866"	6	4	9
School-related arrests total	"4,858"	100	53	1.1	207	4.3	"2,920"	60.1	738	15.2	756	15.6	45	0.9	139	2.9	927	19.1	"9,866"	6	4	9
																						
																						
																						
																						
																						
																						
																						
																						
	"1,288"		4		47		612		174													
