Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on males	297	81.4	0	0	297	81.4	4	1.1	0	0	23	6.3	114	31.2	154	42.2	0	0	DS	0.5	10	2.7	"2,242"	55	2	3
Expulsions with educational services on females	68	18.6	0	0	68	18.6	DS	0.5	0	0	DS	0.5	24	6.6	36	9.9	DS	0.5	DS	0.5	DS	0.5	"2,242"	55	2	3
Expulsions with educational services total	365	100	0	0	365	100	6	1.6	0	0	25	6.8	138	37.8	190	52.1	DS	0.5	4	1.1	12	3.3	"2,242"	55	2	3
Expulsions without educational services on males	97	78.9	DS	1.6	95	77.2	DS	1.7	0	0	8	6.6	10	8.3	73	60.3	0	0	DS	1.7	DS	1.6	"2,242"	55	2	3
Expulsions without educational services on females	26	21.1	0	0	26	21.1	DS	1.7	0	0	0	0	DS	1.7	22	18.2	0	0	0	0	0	0	"2,242"	55	2	3
Expulsions without educational services total	123	100	DS	1.6	121	98.4	4	3.3	0	0	8	6.6	12	9.9	95	78.5	0	0	DS	1.7	DS	1.6	"2,242"	55	2	3
Expulsions with or without educational serviceson males	395	80.9	DS	0.4	393	80.5	7	1.4	0	0	31	6.4	124	25.5	227	46.7	0	0	4	0.8	11	2.3	"2,242"	55	2	3
Expulsions with or without educational services on females	93	19.1	0	0	93	19.1	DS	0.4	0	0	DS	0.4	27	5.6	58	11.9	DS	0.4	DS	0.4	DS	0.4	"2,242"	55	2	3
Expulsions with or without educational services total	488	100	DS	0.4	486	99.6	9	1.9	0	0	33	6.8	151	31.1	285	58.6	DS	0.4	6	1.2	13	2.7	"2,242"	55	2	3
Expulsions under zero-tolerance policies on males	124	77	0	0	124	77	DS	1.2	0	0	5	3.1	14	8.7	101	62.7	0	0	DS	1.2	0	0	"2,242"	55	2	3
Expulsions under zero-tolerance policies on females	37	23	0	0	37	23	DS	1.2	0	0	0	0	6	3.7	29	18	0	0	0	0	0	0	"2,242"	55	2	3
Expulsions under zero-tolerance policies total	161	100	0	0	161	100	4	2.5	0	0	5	3.1	20	12.4	130	80.7	0	0	DS	1.2	0	0	"2,242"	55	2	3
Referral to law enforcement on males	"1,977"	77	16	0.6	"1,961"	76.4	64	2.5	12	0.5	150	5.9	328	12.9	"1,352"	53.2	DS	0.1	53	2.1	32	1.2	"2,242"	55	2	3
Referral to law enforcement on females	590	23	10	0.4	580	22.6	31	1.2	DS	0.1	42	1.7	105	4.1	375	14.8	DS	0.1	23	0.9	7	0.3	"2,242"	55	2	3
Referral to law enforcement total	"2,567"	100	26	1	"2,541"	99	95	3.7	14	0.6	192	7.6	433	17	"1,727"	68	4	0.2	76	3	39	1.5	"2,242"	55	2	3
School-related arrests on males	565	81.3	DS	0.3	563	81	8	1.2	5	0.7	49	7.1	97	14	391	56.6	DS	0.3	11	1.6	13	1.9	"2,242"	55	2	3
School-related arrests on females	130	18.7	DS	0.3	128	18.4	9	1.3	DS	0.3	14	2	19	2.7	84	12.2	0	0	0	0	0	0	"2,242"	55	2	3
School-related arrests total	695	100	4	0.6	691	99.4	17	2.5	7	1	63	9.1	116	16.8	475	68.7	DS	0.3	11	1.6	13	1.9	"2,242"	55	2	3
