Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension total	"6,849"	100	446	6.5	249	3.6	661	9.7	"2,676"	39.1	"2,668"	39	4	0.1	145	2.1	511	7.5	"2,077"	27	2	4
One or more out-of-school suspensions on males	"13,716"	67.4	606	3	521	2.6	"1,375"	6.8	"4,475"	22	"6,462"	31.8	10	0	267	1.3	"1,121"	5.5	"2,077"	27	2	4
One or more out-of-school suspensions on females	"6,626"	32.6	460	2.3	194	1	682	3.4	"2,664"	13.1	"2,431"	12	4	0	191	0.9	425	2.1	"2,077"	27	2	4
One or more out-of-school suspensions total	"20,342"	100	"1,066"	5.2	715	3.5	"2,057"	10.1	"7,139"	35.1	"8,893"	43.7	14	0.1	458	2.3	"1,546"	7.6	"2,077"	27	2	4
Expulsions with educational services on males	589	56.3	17	1.6	DS	0.2	35	3.3	369	35.3	164	15.7	0	0	DS	0.2	18	1.7	"2,077"	27	2	4
Expulsions with educational services on females	457	43.7	19	1.8	DS	0.2	27	2.6	337	32.2	65	6.2	0	0	7	0.7	6	0.6	"2,077"	27	2	4
Expulsions with educational services total	"1,046"	100	36	3.4	4	0.4	62	5.9	706	67.5	229	21.9	0	0	9	0.9	24	2.3	"2,077"	27	2	4
Expulsions without educational services on males	139	73.2	5	2.6	DS	1.1	24	12.6	22	11.6	84	44.2	0	0	DS	1.1	11	5.8	"2,077"	27	2	4
Expulsions without educational services on females	51	26.8	DS	1.1	DS	1.1	11	5.8	8	4.2	26	13.7	0	0	DS	1.1	7	3.7	"2,077"	27	2	4
Expulsions without educational services total	190	100	7	3.7	4	2.1	35	18.4	30	15.8	110	57.9	0	0	4	2.1	18	9.5	"2,077"	27	2	4
Expulsions with or without educational services on males	725	59	21	1.7	5	0.4	59	4.8	390	31.7	246	20	0	0	4	0.3	29	2.4	"2,077"	27	2	4
Expulsions with or without educational services on females	504	41	20	1.6	DS	0.2	38	3.1	345	28.1	92	7.5	0	0	7	0.6	13	1.1	"2,077"	27	2	4
Expulsions with or without educational services total	"1,229"	100	41	3.3	7	0.6	97	7.9	735	59.8	338	27.5	0	0	11	0.9	42	3.4	"2,077"	27	2	4
Expulsions under zero-tolerance policies on males	68	81	6	7.1	0	0	8	9.5	14	16.7	40	47.6	0	0	0	0	0	0	"2,077"	27	2	4
Expulsions under zero-tolerance policies on females	16	19	DS	2.4	0	0	DS	2.4	DS	2.4	8	9.5	0	0	DS	2.4	0	0	"2,077"	27	2	4
Expulsions under zero-tolerance policies total	84	100	8	9.5	0	0	10	11.9	16	19	48	57.1	0	0	DS	2.4	0	0	"2,077"	27	2	4
Referral to law enforcement on males	"2,446"	66.4	78	2.1	99	2.7	264	7.2	530	14.4	"1,457"	39.6	DS	0.1	16	0.4	161	4.4	"2,077"	27	2	4
Referral to law enforcement on females	"1,235"	33.6	57	1.5	33	0.9	124	3.4	353	9.6	649	17.6	DS	0.1	17	0.5	42	1.1	"2,077"	27	2	4
Referral to law enforcement total	"3,681"	100	135	3.7	132	3.6	388	10.5	883	24	"2,106"	57.2	4	0.1	33	0.9	203	5.5	"2,077"	27	2	4
School-related arrests on males	464	71.4	10	1.5	9	1.4	38	5.8	85	13.1	320	49.2	0	0	DS	0.3	8	1.2	"2,077"	27	2	4
School-related arrests on females	186	28.6	DS	0.3	DS	0.3	7	1.1	37	5.7	136	20.9	0	0	DS	0.3	0	0	"2,077"	27	2	4
School-related arrests total	650	100	12	1.8	11	1.7	45	6.9	122	18.8	456	70.2	0	0	4	0.6	8	1.2	"2,077"	27	2	4
