County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2000 Live Births,2008 Teen Unmarried Births,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Ida,70,5,7.10%,83,6,7.20%,1.20%,19_047,19,2,4,,
Iowa,183,17,9.30%,203,14,6.90%,-25.80%,19_048,19,2,4,,
Jackson,239,22,9.20%,191,15,7.90%,-14.70%,19_049,19,2,4,,
Jasper,458,33,7.20%,441,35,7.90%,10.10%,19_050,19,2,4,,
Jefferson,145,10,6.90%,157,12,7.60%,10.80%,19_051,19,2,4,,
Johnson,"1,382",55,4.00%,"1,719",72,4.20%,5.20%,19_052,19,2,4,,
Jones,227,14,6.20%,238,29,12.20%,97.60%,19_053,19,2,4,,
Keokuk,154,14,9.10%,120,7,5.80%,-35.80%,19_054,19,2,4,,
Kossuth,166,10,6.00%,154,10,6.50%,7.80%,19_055,19,2,4,,
Lee,410,42,10.20%,376,54,14.40%,40.20%,19_056,19,2,4,,
Linn,"2,715",180,6.60%,"2,847",211,7.40%,11.80%,19_057,19,2,4,,
Louisa,164,7,4.30%,132,19,14.40%,237.20%,19_058,19,2,4,,
Lucas,119,10,8.40%,106,9,8.50%,1.00%,19_059,19,2,4,,
Lyon,159,6,3.80%,170,6,3.50%,-6.50%,19_119,19,2,4,,
Madison,196,10,5.10%,218,11,5.00%,-1.10%,19_121,19,2,4,,
Mahaska,283,31,11.00%,280,14,5.00%,-54.40%,19_123,19,2,4,,
Marion,383,23,6.00%,401,19,4.70%,-21.10%,19_125,19,2,4,,
Marshall,556,73,13.10%,626,64,10.20%,-22.10%,19_127,19,2,4,,
Mills,155,15,9.70%,182,18,9.90%,2.20%,19_129,19,2,4,,
Mitchell,131,4,3.10%,129,4,3.10%,1.60%,19_131,19,2,4,,
Monona,98,13,13.30%,96,7,7.30%,-45.00%,19_133,19,2,4,,
Monroe,102,8,7.80%,101,18,17.80%,127.20%,19_135,19,2,4,,
Montgomery,139,7,5.00%,121,12,9.90%,96.90%,19_137,19,2,4,,
Muscatine,638,80,12.50%,644,77,12.00%,-4.60%,19_139,19,2,4,,
O'Brien,187,16,8.60%,173,13,7.50%,-12.20%,19_141,19,2,4,,
Osceola,73,5,6.80%,76,C,N/A,N/A,19_143,19,2,4,,
Page,169,17,10.10%,170,17,10.00%,-0.60%,19_145,19,2,4,,
Palo Alto,110,13,11.80%,121,9,7.40%,-37.10%,19_147,19,2,4,,
Plymouth,309,26,8.40%,318,16,5.00%,-40.20%,19_149,19,2,4,,
Pocahontas,73,4,5.50%,88,8,9.10%,65.90%,19_151,19,2,4,,
Polk,"6,216",517,8.30%,"6,723",514,7.60%,-8.10%,19_153,19,2,4,,
Pottawattamie,"1,184",140,11.80%,"1,243",117,9.40%,-20.40%,19_155,19,2,4,,
Poweshiek,212,19,9.00%,184,15,8.20%,-9.00%,19_157,19,2,4,,
Ringgold,69,5,7.20%,63,4,6.30%,-12.40%,19_159,19,2,4,,
Sac,135,6,4.40%,105,C,N/A,N/A,19_161,19,2,4,,
Scott,"2,348",258,11.00%,"2,229",228,10.20%,-6.90%,19_163,19,2,4,,
Shelby,150,12,8.00%,117,12,10.30%,28.20%,19_165,19,2,4,,
Sioux,457,22,4.80%,526,28,5.30%,10.60%,19_167,19,2,4,,
Story,940,32,3.40%,"1,002",45,4.50%,31.90%,19_169,19,2,4,,
Tama,251,24,9.60%,234,22,9.40%,-1.70%,19_171,19,2,4,,
Taylor,87,8,9.20%,75,4,5.30%,-42.00%,19_173,19,2,4,,
Union,127,8,6.30%,162,17,10.50%,66.60%,19_175,19,2,4,,
Van Buren,97,11,11.30%,91,C,N/A,N/A,19_177,19,2,4,,
Wapello,424,56,13.20%,475,59,12.40%,-6.00%,19_179,19,2,4,,
Warren,513,37,7.20%,544,30,5.50%,-23.50%,19_181,19,2,4,,
Washington,290,13,4.50%,295,22,7.50%,66.40%,19_183,19,2,4,,
Wayne,79,5,6.30%,80,10,12.50%,97.50%,19_185,19,2,4,,
Webster,492,51,10.40%,491,65,13.20%,27.70%,19_187,19,2,4,,
Winnebago,134,13,9.70%,137,16,11.70%,20.40%,19_189,19,2,4,,
Winneshiek,191,13,6.80%,193,8,4.10%,-39.10%,19_191,19,2,4,,
Woodbury,"1,692",181,10.70%,"1,672",177,10.60%,-1.00%,19_193,19,2,4,,
Worth,84,6,7.10%,91,5,5.50%,-23.10%,19_195,19,2,4,,
Wright,168,12,7.10%,173,24,13.90%,94.20%,19_197,19,2,4,,
State,"38,250","3,201",8.40%,"40,221","3,243",8.10%,-3.70%,,19,2,4,,
Rural,"5,650",429,7.60%,"5,794",425,7.30%,-3.40%,,,,,,IA_Rural_Counties
Small Urban,"13,351","1,151",8.60%,"13,994","1,221",8.70%,1.20%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,621",8.40%,"20,433","1,597",7.80%,-7.20%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","377,675",9.30%,"4,317,119","386,702",9.00%,-3.80%,,,,,US_National,
