Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females with disabilities	"2,819"	18.9	49	0.3	"2,770"	18.6	36	0.2	4	0	106	0.7	"1,438"	9.8	"1,127"	7.7	DS	0	57	0.4	44	0.3	"3,626"	26	2	3
More than one out-of-school suspension total	"14,904"	100	304	2	"14,600"	98	160	1.1	43	0.3	661	4.5	"6,200"	42.5	"7,209"	49.4	6	0	321	2.2	306	2.1	"3,626"	26	2	3
One or more out-of-school suspensions on males with disabilities	"22,413"	78.7	484	1.7	"21,929"	77	224	0.8	95	0.3	"1,093"	3.9	"8,234"	29.5	"11,789"	42.3	7	0	487	1.7	556	2	"3,626"	26	2	3
One or more out-of-school suspensions on females with disabilities	"6,066"	21.3	117	0.4	"5,949"	20.9	74	0.3	22	0.1	289	1	"2,794"	10	"2,634"	9.4	4	0	132	0.5	121	0.4	"3,626"	26	2	3
One or more out-of-school suspensions total	"28,479"	100	601	2.1	"27,878"	97.9	298	1.1	117	0.4	"1,382"	5	"11,028"	39.6	"14,423"	51.7	11	0	619	2.2	677	2.4	"3,626"	26	2	3
Expulsions with educational services on males with disabilities	464	80.3	8	1.4	456	78.9	5	0.9	DS	0.4	19	3.3	150	26.4	270	47.5	0	0	10	1.8	5	0.9	"3,626"	26	2	3
Expulsions with educational services on females with disabilities	114	19.7	DS	0.3	112	19.4	DS	0.4	0	0	7	1.2	45	7.9	56	9.9	0	0	DS	0.4	DS	0.3	"3,626"	26	2	3
Expulsions with educational services total	578	100	10	1.7	568	98.3	7	1.2	DS	0.4	26	4.6	195	34.3	326	57.4	0	0	12	2.1	7	1.2	"3,626"	26	2	3
Expulsions without educational services on males with disabilities	167	83.5	7	3.5	160	80	4	2.1	0	0	9	4.7	17	8.9	130	68.1	0	0	0	0	DS	1	"3,626"	26	2	3
Expulsions without educational services on females with disabilities	33	16.5	DS	1	31	15.5	0	0	0	0	DS	1	4	2.1	23	12	0	0	DS	1	0	0	"3,626"	26	2	3
Expulsions without educational services total	200	100	9	4.5	191	95.5	4	2.1	0	0	11	5.8	21	11	153	80.1	0	0	DS	1	DS	1	"3,626"	26	2	3
Expulsions with or without educational services on males with disabilities	633	81.3	15	1.9	618	79.3	9	1.2	DS	0.3	29	3.8	168	22	400	52.5	0	0	10	1.3	6	0.8	"3,626"	26	2	3
Expulsions with or without educational services on females with disabilities	146	18.7	DS	0.3	144	18.5	DS	0.3	0	0	9	1.2	48	6.3	81	10.6	0	0	4	0.5	DS	0.3	"3,626"	26	2	3
Expulsions with or without educational services total	779	100	17	2.2	762	97.8	11	1.4	DS	0.3	38	5	216	28.3	481	63.1	0	0	14	1.8	8	1	"3,626"	26	2	3
Expulsions under zero-tolerance policies on males with disabilities	222	82.8	6	2.2	216	80.6	DS	0.8	DS	0.8	13	5	51	19.6	143	55	0	0	5	1.9	DS	0.7	"3,626"	26	2	3
Expulsions under zero-tolerance policies on females with disabilities	46	17.2	DS	0.7	44	16.4	DS	0.8	0	0	6	2.3	11	4.2	25	9.6	0	0	0	0	DS	0.7	"3,626"	26	2	3
Expulsions under zero-tolerance policies total	268	100	8	3	260	97	4	1.5	DS	0.8	19	7.3	62	23.8	168	64.6	0	0	5	1.9	4	1.5	"3,626"	26	2	3
Referral to law enforcement on males with disabilities	"1,046"	83	21	1.7	"1,025"	81.3	15	1.2	DS	0.2	61	4.9	213	17.2	713	57.6	0	0	21	1.7	12	1	"3,626"	26	2	3
Referral to law enforcement on females with disabilities	215	17	DS	0.2	213	16.9	5	0.4	DS	0.2	13	1.1	57	4.6	132	10.7	0	0	4	0.3	4	0.3	"3,626"	26	2	3
Referral to law enforcement total	"1,261"	100	23	1.8	"1,238"	98.2	20	1.6	4	0.3	74	6	270	21.8	845	68.3	0	0	25	2	16	1.3	"3,626"	26	2	3
School-related arrests on males with disabilities 	272	81.7	8	2.4	264	79.3	DS	0.6	0	0	14	4.3	90	27.9	156	48.3	0	0	DS	0.6	DS	0.6	"3,626"	26	2	3
School-related arrests on females with disabilities 	61	18.3	DS	0.6	59	17.7	0	0	0	0	7	2.2	17	5.3	35	10.8	0	0	0	0	DS	0.6	"3,626"	26	2	3
School-related arrests total	333	100	10	3	323	97	DS	0.6	0	0	21	6.5	107	33.1	191	59.1	0	0	DS	0.6	4	1.2	"3,626"	26	2	3
