Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"1,558"	27.3	DS	0	"1,556"	27.3	63	1.1	13	0.2	214	3.8	622	10.9	571	10	4	0.1	69	1.2	46	0.8	"1,073"	31	2	4
More than one out-of-school suspension total	"5,707"	100	7	0.1	"5,700"	99.9	210	3.7	48	0.8	912	16	"1,843"	32.3	"2,444"	42.9	8	0.1	235	4.1	221	3.9	"1,073"	31	2	4
One or more out-of-school suspensions on males	"9,949"	71.1	29	0.2	"9,920"	70.8	318	2.3	102	0.7	"1,750"	12.5	"2,389"	17.1	"5,015"	35.9	8	0.1	338	2.4	447	3.2	"1,073"	31	2	4
One or more out-of-school suspensions on females	"4,053"	28.9	7	0	"4,046"	28.9	158	1.1	39	0.3	651	4.7	"1,322"	9.5	"1,718"	12.3	6	0	152	1.1	147	1	"1,073"	31	2	4
One or more out-of-school suspensions total	"14,002"	100	36	0.3	"13,966"	99.7	476	3.4	141	1	"2,401"	17.2	"3,711"	26.6	"6,733"	48.2	14	0.1	490	3.5	594	4.2	"1,073"	31	2	4
Expulsions with educational services on males	437	71.4	DS	0.3	435	71.1	10	1.6	6	1	71	11.6	106	17.4	228	37.4	DS	0.3	12	2	11	1.8	"1,073"	31	2	4
Expulsions with educational services on females	175	28.6	0	0	175	28.6	7	1.1	DS	0.3	23	3.8	68	11.1	59	9.7	0	0	16	2.6	DS	0.3	"1,073"	31	2	4
Expulsions with educational services total	612	100	DS	0.3	610	99.7	17	2.8	8	1.3	94	15.4	174	28.5	287	47	DS	0.3	28	4.6	13	2.1	"1,073"	31	2	4
Expulsions without educational services on males	37	80.4	0	0	37	80.4	0	0	0	0	6	13	DS	4.3	27	58.7	0	0	DS	4.3	0	0	"1,073"	31	2	4
Expulsions without educational services on females	9	19.6	0	0	9	19.6	0	0	0	0	5	10.9	0	0	4	8.7	0	0	0	0	DS	4.3	"1,073"	31	2	4
Expulsions without educational services total	46	100	0	0	46	100	0	0	0	0	11	23.9	DS	4.3	31	67.4	0	0	DS	4.3	DS	4.3	"1,073"	31	2	4
Expulsions with or without educational services on males	475	72.1	DS	0.3	473	71.8	10	1.5	6	0.9	78	11.9	108	16.4	256	39	DS	0.3	13	2	11	1.7	"1,073"	31	2	4
Expulsions with or without educational services on females	184	27.9	0	0	184	27.9	7	1.1	DS	0.3	28	4.3	67	10.2	64	9.7	0	0	16	2.4	4	0.6	"1,073"	31	2	4
Expulsions with or without educational services total	659	100	DS	0.3	657	99.7	17	2.6	8	1.2	106	16.1	175	26.6	320	48.7	DS	0.3	29	4.4	15	2.3	"1,073"	31	2	4
Expulsions under zero-tolerance policies on males	69	87.3	0	0	69	87.3	0	0	DS	2.5	16	20.3	6	7.6	43	54.4	0	0	DS	2.5	0	0	"1,073"	31	2	4
Expulsions under zero-tolerance policies on females	10	12.7	0	0	10	12.7	0	0	0	0	DS	2.5	0	0	8	10.1	0	0	0	0	0	0	"1,073"	31	2	4
Expulsions under zero-tolerance policies total	79	100	0	0	79	100	0	0	DS	2.5	18	22.8	6	7.6	51	64.6	0	0	DS	2.5	0	0	"1,073"	31	2	4
Referral to law enforcement on males	"1,169"	73.3	DS	0.1	"1,167"	73.2	33	2.1	21	1.3	189	11.9	94	5.9	799	50.2	DS	0.1	29	1.8	43	2.7	"1,073"	31	2	4
Referral to law enforcement on females	426	26.7	DS	0.1	424	26.6	10	0.6	7	0.4	84	5.3	29	1.8	271	17	DS	0.1	21	1.3	14	0.9	"1,073"	31	2	4
Referral to law enforcement total	"1,595"	100	4	0.3	"1,591"	99.7	43	2.7	28	1.8	273	17.2	123	7.7	"1,070"	67.3	4	0.3	50	3.1	57	3.6	"1,073"	31	2	4
School-related arrests on males	145	74	0	0	145	74	6	3.1	DS	1	21	10.7	7	3.6	107	54.6	0	0	DS	1	4	2	"1,073"	31	2	4
School-related arrests on females	51	26	0	0	51	26	0	0	DS	1	8	4.1	DS	1	34	17.3	0	0	5	2.6	DS	1	"1,073"	31	2	4
School-related arrests total	196	100	0	0	196	100	6	3.1	4	2	29	14.8	9	4.6	141	71.9	0	0	7	3.6	6	3.1	"1,073"	31	2	4
