State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
New Mexico		35	4	8	11	0	0	0	0	7	63.6	0	0	4	36.4	0	0	0	0	7	63.6	0	0	DS	18.2	853
New York		36	1	2	94	0	0	0	0	11	11.7	20	21.3	59	62.8	DS	2.1	DS	2.1	58	61.7	DS	2.1	DS	2.1	"4,864"
North Carolina		37	3	5	47	0	0	0	0	DS	4.3	31	66	12	25.5	0	0	DS	4.3	34	72.3	0	0	DS	4.3	"2,535"
North Dakota		38	2	4	17	DS	11.8	0	0	0	0	4	23.5	11	64.7	0	0	0	0	4	23.5	0	0	0	0	468
Ohio		39	2	3	165	0	0	DS	1.2	4	2.4	39	23.6	114	69.1	0	0	6	3.6	96	58.2	0	0	DS	1.2	"3,702"
Oklahoma		40	3	7	96	13	13.5	0	0	10	10.4	26	27.1	32	33.3	DS	2.1	13	13.5	33	34.4	0	0	DS	2.1	"1,774"
Oregon		41	9	4	60	0	0	DS	3.3	6	10	4	6.7	44	73.3	0	0	4	6.7	52	86.7	0	0	DS	3.3	"1,312"
Pennsylvania		42	1	2	136	4	2.9	0	0	6	4.4	40	29.4	84	61.8	0	0	DS	1.5	48	35.3	0	0	0	0	"3,220"
Rhode Island		44	1	1	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	4	100	0	0	0	0	291
South Carolina		45	3	5	52	0	0	0	0	0	0	25	48.1	23	44.2	DS	3.8	DS	3.8	33	63.5	0	0	0	0	"1,219"
South Dakota		46	2	4	17	4	23.5	0	0	0	0	0	0	13	76.5	0	0	0	0	10	58.8	0	0	0	0	668
Tennessee		47	3	6	106	0	0	0	0	DS	1.9	44	41.5	56	52.8	0	0	4	3.8	56	52.8	0	0	0	0	"1,802"
Texas		48	3	7	724	DS	0.3	8	1.1	276	38.1	155	21.4	254	35.1	0	0	29	4	141	19.5	21	2.9	13	1.8	"8,472"
Utah		49	4	8	634	8	1.3	8	1.3	162	25.6	7	1.1	421	66.4	13	2.1	15	2.4	115	18.1	DS	0.3	60	9.5	981
Vermont		50	1	1	21	0	0	0	0	0	0	0	0	19	90.5	0	0	DS	9.5	15	71.4	DS	9.5	0	0	295
Virginia		51	3	5	100	0	0	DS	DS	DS	DS	69	69	23	23	0	0	4	4	69	69	DS	DS	0	0	"1,984"
Washington		53	4	9	344	14	4.1	4	1.2	51	14.8	7	2	249	72.4	DS	0.6	17	4.9	103	29.9	0	0	4	1.2	"2,256"
West Virginia		54	3	5	33	0	0	0	0	0	0	4	12.1	29	87.9	0	0	0	0	18	54.5	0	0	0	0	733
Wisconsin		55	2	3	404	9	2.2	DS	0.5	13	3.2	54	13.4	316	78.2	0	0	10	2.5	217	53.7	0	0	4	1	"2,242"
Wyoming		56	4	8	42	DS	4.8	DS	4.8	4	9.5	0	0	32	76.2	0	0	DS	4.8	36	85.7	0	0	0	0	349
