Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,Number of American Indian or Alaska Native,"Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions without educational services for males,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,DS,50,781,30,4,8
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,30,4,8
Expulsions without educational services total,4,100,0,0,4,100,DS,50,0,0,0,0,0,0,DS,50,0,0,0,0,DS,50,781,30,4,8
Expulsions with or without educational services for males,12,75,0,0,12,75,4,25,0,0,DS,12.5,0,0,6,37.5,0,0,0,0,DS,12.5,781,30,4,8
Expulsions with or without educational services for females,4,25,0,0,4,25,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,30,4,8
Expulsions with or without educational services total,16,100,0,0,16,100,8,50,0,0,DS,12.5,0,0,6,37.5,0,0,0,0,DS,12.5,781,30,4,8
Expulsions under zero-tolerance policies for males,6,75,0,0,6,75,DS,25,0,0,DS,25,0,0,DS,25,0,0,0,0,0,0,781,30,4,8
Expulsions under zero-tolerance policies for females,DS,25,0,0,DS,25,DS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,30,4,8
Expulsions under zero-tolerance policies total,8,100,0,0,8,100,4,50,0,0,DS,25,0,0,DS,25,0,0,0,0,0,0,781,30,4,8
Referral to law enforcement for males,257,81.6,DS,0.6,255,81,50,16.1,DS,0.6,7,2.3,6,1.9,188,60.5,0,0,DS,0.6,4,1.3,781,30,4,8
Referral to law enforcement for females,58,18.4,DS,0.6,56,17.8,15,4.8,0,0,DS,0.6,0,0,37,11.9,0,0,DS,0.6,DS,0.6,781,30,4,8
Referral to law enforcement total,315,100,4,1.3,311,98.7,65,20.9,DS,0.6,9,2.9,6,1.9,225,72.3,0,0,4,1.3,6,1.9,781,30,4,8
School-related arrests for males,57,83.8,0,0,57,83.8,11,16.2,DS,2.9,DS,2.9,4,5.9,36,52.9,0,0,DS,2.9,0,0,781,30,4,8
School-related arrests for females,11,16.2,0,0,11,16.2,7,10.3,0,0,0,0,0,0,4,5.9,0,0,0,0,0,0,781,30,4,8
School-related arrests total,68,100,0,0,68,100,18,26.5,DS,2.9,DS,2.9,4,5.9,40,58.8,0,0,DS,2.9,0,0,781,30,4,8
