County,2003 Students Tested,2003 Proficient,2003 Percentage,2011 Students Tested,2011 Proficient,2011 Percentage,2003-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Mahaska,220,176,80.00%,217,162,74.70%,-6.70%,19_123,19,2,4,,
Marion,443,360,81.30%,377,337,89.40%,10.00%,19_125,19,2,4,,
Marshall,461,341,74.00%,420,299,71.20%,-3.80%,19_127,19,2,4,,
Mills,169,125,74.00%,182,150,82.40%,11.40%,19_129,19,2,4,,
Mitchell,110,93,84.50%,105,89,84.80%,0.30%,19_131,19,2,4,,
Monona,95,77,81.10%,69,54,78.30%,-3.40%,19_133,19,2,4,,
Monroe,90,67,74.40%,78,64,82.10%,10.20%,19_135,19,2,4,,
Montgomery,136,106,77.90%,117,82,70.10%,-10.10%,19_137,19,2,4,,
Muscatine,504,417,82.70%,490,417,85.10%,2.90%,19_139,19,2,4,,
O'Brien,166,143,86.10%,153,134,87.60%,1.70%,19_141,19,2,4,,
Osceola,74,62,83.80%,48,39,81.30%,-3.00%,19_143,19,2,4,,
Page,170,132,77.60%,149,128,85.90%,10.60%,19_145,19,2,4,,
Palo Alto,103,80,77.70%,109,93,85.30%,9.90%,19_147,19,2,4,,
Plymouth,325,265,81.50%,272,231,84.90%,4.20%,19_149,19,2,4,,
Pocahontas,65,52,80.00%,51,43,84.30%,5.40%,19_151,19,2,4,,
Polk,"4,376","3,303",75.50%,"4,805","3,873",80.60%,6.80%,19_153,19,2,4,,
Pottawattamie,"1,113",777,69.80%,983,779,79.20%,13.50%,19_155,19,2,4,,
Poweshiek,203,166,81.80%,198,172,86.90%,6.20%,19_157,19,2,4,,
Ringgold,58,52,89.70%,55,48,87.30%,-2.70%,19_159,19,2,4,,
Sac,117,95,81.20%,106,86,81.10%,-0.10%,19_161,19,2,4,,
Scott,"1,781","1,275",71.60%,"1,842","1,495",81.20%,13.40%,19_163,19,2,4,,
Shelby,130,107,82.30%,111,100,90.10%,9.50%,19_165,19,2,4,,
Sioux,293,255,87.00%,284,253,89.10%,2.40%,19_167,19,2,4,,
Story,720,637,88.50%,705,632,89.60%,1.30%,19_169,19,2,4,,
Tama,181,135,74.60%,164,136,82.90%,11.20%,19_171,19,2,4,,
Taylor,83,69,83.10%,66,60,90.90%,9.40%,19_173,19,2,4,,
Union,128,99,77.30%,111,78,70.30%,-9.10%,19_175,19,2,4,,
Van Buren,79,56,70.90%,68,55,80.90%,14.10%,19_177,19,2,4,,
Wapello,420,285,67.90%,421,314,74.60%,9.90%,19_179,19,2,4,,
Warren,523,421,80.50%,636,560,88.10%,9.40%,19_181,19,2,4,,
Washington,237,166,70.00%,257,199,77.40%,10.60%,19_183,19,2,4,,
Wayne,68,59,86.80%,64,56,87.50%,0.80%,19_185,19,2,4,,
Webster,392,280,71.40%,305,230,75.40%,5.60%,19_187,19,2,4,,
Winnebago,193,165,85.50%,142,122,85.90%,0.50%,19_189,19,2,4,,
Winneshiek,199,154,77.40%,158,137,86.70%,12.00%,19_191,19,2,4,,
Woodbury,"1,260",921,73.10%,"1,166",909,78.00%,6.70%,19_193,19,2,4,,
Worth,79,56,70.90%,61,56,91.80%,29.50%,19_195,19,2,4,,
Wright,192,157,81.80%,155,130,83.90%,2.60%,19_197,19,2,4,,
State,"32,622","24,948",76.50%,"31,842","26,225",82.40%,7.70%,,19,2,4,,
Rural,"5,489","4,394",80.10%,"4,754","4,054",85.30%,6.50%,,,,,,IA_Rural_Counties
Small Urban,"12,717","9,881",77.70%,"12,038","10,025",83.30%,7.20%,,,,,,IA_Urban_Counties
Metropolitan,"14,416","10,673",74.00%,"15,050","12,146",80.70%,9.00%,,,,,,IA_Metropolitan_Counties
United States*,NA,NA,60.00%,NA,NA,60.00%,0.00%,,,,,US_National,
