County,2003 4th Gr. Reading Proficiency,2008 4th Gr. Reading Proficiency,2003-2008 4th Gr. Reading Proficiency,2003 8th Gr. Math Proficiency,2008 8th Gr. Math Proficiency,2003-2008 8th Gr. Math Proficiency,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Shelby,82.70%,87.40%,5.70%,82.00%,84.30%,2.80%,19_165,19,2,4,,
Sioux,85.60%,84.50%,-1.30%,79.50%,82.60%,3.90%,19_167,19,2,4,,
Story,84.10%,86.10%,2.40%,81.10%,85.30%,5.20%,19_169,19,2,4,,
Tama,72.00%,72.90%,1.30%,72.10%,77.50%,7.50%,19_171,19,2,4,,
Taylor,79.50%,83.50%,5.00%,68.20%,77.20%,13.20%,19_173,19,2,4,,
Union,75.30%,76.30%,1.30%,71.90%,72.60%,1.00%,19_175,19,2,4,,
Van Buren,76.60%,87.10%,13.70%,62.60%,73.30%,17.10%,19_177,19,2,4,,
Wapello,68.70%,72.20%,5.10%,56.80%,70.40%,23.90%,19_179,19,2,4,,
Warren,80.30%,84.30%,5.00%,77.40%,84.30%,8.90%,19_181,19,2,4,,
Washington,73.10%,74.50%,1.90%,77.20%,75.00%,-2.80%,19_183,19,2,4,,
Wayne,80.80%,75.40%,-6.70%,68.60%,76.70%,11.80%,19_185,19,2,4,,
Webster,71.90%,72.90%,1.40%,64.00%,69.20%,8.10%,19_187,19,2,4,,
Winnebago,84.90%,78.00%,-8.10%,72.20%,76.20%,5.50%,19_189,19,2,4,,
Winneshiek,79.80%,87.90%,10.20%,83.40%,85.80%,2.90%,19_191,19,2,4,,
Woodbury,70.40%,72.60%,3.10%,65.30%,66.80%,2.30%,19_193,19,2,4,,
Worth,66.30%,79.10%,19.30%,76.70%,87.00%,13.40%,19_195,19,2,4,,
Wright,79.50%,82.10%,3.30%,70.50%,73.70%,4.50%,19_197,19,2,4,,
State,75.90%,78.90%,4.00%,71.60%,76.10%,6.30%,,19,2,4,,
Rural,77.70%,79.90%,2.90%,73.10%,78.80%,7.80%,,,,,,IA_Rural_Counties
Small Urban,76.90%,80.50%,4.60%,73.40%,77.10%,5.10%,,,,,,IA_Urban_Counties
Metropolitan,73.50%,77.40%,5.30%,70.00%,74.80%,6.80%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
