State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504v	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Florida		12	3	5	"11,064"	42	0.4	141	1.3	"2,830"	25.6	"3,335"	30.1	"4,397"	39.7	12	0.1	307	2.8	"1,706"	15.4	218	2	778	7	"1,098"
Georgia		13	3	5	"5,745"	24	0.4	123	2.1	575	10	"3,149"	54.8	"1,722"	30	4	0.1	148	2.6	754	13.1	32	0.6	144	2.5	570
Hawaii		15	4	9	63	DS	3.2	10	15.9	DS	3.2	4	6.3	13	20.6	30	47.6	DS	3.2	11	17.5	4	6.3	4	6.3	64
Idaho		16	4	8	272	4	1.5	DS	0.7	34	12.5	4	1.5	224	82.4	DS	0.7	DS	0.7	24	8.8	8	2.9	4	1.5	218
Illinois		17	2	3	"5,134"	24	0.5	116	2.3	"1,495"	29.1	"1,722"	33.5	"1,665"	32.4	4	0.1	108	2.1	"1,046"	20.4	67	1.3	206	4	884
Indiana		18	2	3	693	4	0.6	8	1.2	43	6.2	169	24.4	451	65.1	0	0	18	2.6	218	31.5	7	1	24	3.5	422
Iowa		19	2	4	668	10	1.5	6	0.9	90	13.5	80	12	464	69.5	4	0.6	14	2.1	81	12.1	9	1.3	27	4	407
Kansas		20	2	4	336	9	2.7	9	2.7	88	26.2	55	16.4	160	47.6	0	0	15	4.5	74	22	7	2.1	27	8	382
Kentucky		21	3	6	"1,383"	4	0.3	11	0.8	45	3.3	311	22.5	993	71.8	DS	0.1	17	1.2	172	12.4	20	1.4	30	2.2	398
Louisiana		22	3	7	"1,418"	16	1.1	26	1.8	56	3.9	815	57.5	497	35	4	0.3	4	0.3	150	10.6	54	3.8	39	2.8	378
Maine		23	1	1	142	6	4.2	4	2.8	0	0	DS	1.4	128	90.1	0	0	DS	1.4	28	19.7	4	2.8	4	2.8	129
Maryland		24	3	5	"4,216"	14	0.3	160	3.8	670	15.9	"2,303"	54.6	970	23	17	0.4	82	1.9	824	19.5	155	3.7	245	5.8	284
Massachusetts		25	1	1	"1,813"	4	0.2	76	4.2	516	28.5	330	18.2	814	44.9	6	0.3	67	3.7	465	25.6	62	3.4	212	11.7	381
Michigan		26	2	3	"3,771"	43	1.1	43	1.1	275	7.3	"1,113"	29.5	"2,192"	58.1	DS	0.1	103	2.7	660	17.5	49	1.3	139	3.7	"1,073"
Minnesota		27	2	4	934	28	3	27	2.9	89	9.5	83	8.9	692	74.1	0	0	15	1.6	157	16.8	15	1.6	26	2.8	764
Mississippi		28	3	6	"1,293"	DS	0.2	8	0.6	30	2.3	831	64.3	422	32.6	0	0	0	0	87	6.7	4	0.3	7	0.5	320
Missouri		29	2	4	"1,084"	6	0.6	19	1.8	70	6.5	347	32	630	58.1	0	0	12	1.1	215	19.8	14	1.3	31	2.9	683
Montana		30	4	8	110	67	60.9	0	0	DS	1.8	DS	1.8	37	33.6	0	0	DS	1.8	21	19.1	4	3.6	9	8.2	169
Nebraska		31	2	4	211	10	4.7	DS	0.9	30	14.2	18	8.5	140	66.4	4	1.9	7	3.3	48	22.7	4	1.9	7	3.3	319
Nevada		32	4	8	"6,275"	48	0.8	241	3.8	"3,121"	49.7	"1,030"	16.4	"1,482"	23.6	87	1.4	266	4.2	814	13	71	1.1	880	14	148
New Hampshire		33	1	1	585	4	0.7	18	3.1	43	7.4	25	4.3	491	83.9	0	0	4	0.7	121	20.7	38	6.5	21	3.6	89
New Jersey		34	1	2	"1,350"	4	0.3	37	2.7	450	33.3	524	38.8	322	23.9	4	0.3	9	0.7	249	18.4	28	2.1	75	5.6	512
New Mexico		35	4	8	"1,318"	163	12.4	12	0.9	860	65.3	26	2	235	17.8	DS	0.2	20	1.5	182	13.8	8	0.6	217	16.5	208
New York		36	1	2	"2,406"	18	0.7	88	3.7	570	23.7	719	29.9	991	41.2	DS	0.1	18	0.7	592	24.6	58	2.4	249	10.3	"1,370"
North Carolina		37	3	5	"5,540"	131	2.4	72	1.3	727	13.1	"2,314"	41.8	"2,113"	38.1	10	0.2	173	3.1	917	16.6	146	2.6	285	5.1	614
North Dakota		38	2	4	146	72	49.3	0	0	4	2.7	6	4.1	64	43.8	0	0	0	0	35	24	4	2.7	38	26	167
Ohio		39	2	3	"3,921"	6	0.2	34	0.9	172	4.4	"1,679"	42.8	"1,870"	47.7	4	0.1	156	4	922	23.5	36	0.9	106	2.7	989
Oklahoma		40	3	7	"1,013"	146	14.4	6	0.6	173	17.1	199	19.6	453	44.7	7	0.7	29	2.9	186	18.4	7	0.7	54	5.3	506
Oregon		41	9	4	527	18	3.4	18	3.4	82	15.6	23	4.4	354	67.2	6	1.1	26	4.9	93	17.6	17	3.2	34	6.5	361
Pennsylvania		42	1	2	"2,677"	4	0.1	43	1.6	345	12.9	921	34.4	"1,310"	48.9	4	0.1	50	1.9	605	22.6	18	0.7	73	2.7	801
Rhode Island		44	1	1	330	4	1.2	5	1.5	77	23.3	56	17	178	53.9	DS	0.6	8	2.4	72	21.8	9	2.7	20	6.1	57
South Carolina		45	3	5	"3,320"	14	0.4	21	0.6	194	5.8	"1,583"	47.7	"1,440"	43.4	4	0.1	64	1.9	552	16.6	67	2	114	3.4	265
South Dakota		46	2	4	351	65	18.5	4	1.1	25	7.1	18	5.1	235	67	DS	0.6	DS	0.6	46	13.1	0	0	4	1.1	185
Tennessee		47	3	6	"2,151"	DS	0.1	20	0.9	88	4.1	"1,016"	47.2	998	46.4	0	0	27	1.3	377	17.5	11	0.5	58	2.7	406
Texas		48	3	7	"20,085"	88	0.4	432	2.2	"11,246"	56	"3,226"	16.1	"4,744"	23.6	35	0.2	314	1.6	"3,069"	15.3	559	2.8	"1,690"	8.4	"2,163"
Utah		49	4	8	433	16	3.7	7	1.6	72	16.6	13	3	321	74.1	4	0.9	0	0	88	20.3	6	1.4	23	5.3	205
Vermont		50	1	1	132	0	0	DS	1.5	0	0	DS	1.5	128	97	0	0	0	0	32	24.2	16	12.1	DS	1.5	65
Virginia		51	3	5	"2,667"	8	0.3	273	10.2	682	25.6	846	31.7	800	30	4	0.1	54	2	510	19.1	34	1.3	839	31.5	431
Washington		53	4	9	"3,348"	59	1.8	229	6.8	855	25.5	362	10.8	"1,603"	47.9	77	2.3	163	4.9	516	15.4	83	2.5	341	10.2	636
West Virginia		54	3	5	431	0	0	0	0	13	3	52	12.1	362	84	0	0	4	0.9	50	11.6	4	0.9	DS	0.5	159
Wisconsin		55	2	3	"2,334"	32	1.4	91	3.9	412	17.7	839	35.9	925	39.6	DS	0.1	33	1.4	740	31.7	21	0.9	230	9.9	606
Wyoming		56	4	8	119	6	5	4	3.4	17	14.3	4	3.4	84	70.6	0	0	4	3.4	16	13.4	DS	1.7	0	0	88
