State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
New Mexico		35	4	8	95	8	8.4	0	0	52	54.7	5	5.3	28	29.5	0	0	DS	2.1	12	12.6	853
New York		36	1	2	"1,617"	10	0.6	8	0.5	135	8.3	456	28.2	978	60.5	0	0	30	1.9	7	0.4	"4,864"
North Carolina		37	3	5	350	DS	0.6	DS	0.6	10	2.9	122	34.9	197	56.3	0	0	17	4.9	DS	0.6	"2,535"
North Dakota		38	2	4	66	4	6.1	0	0	DS	3	DS	3	58	87.9	0	0	0	0	0	0	468
Ohio		39	2	3	901	0	0	DS	0.2	22	2.4	178	19.8	618	68.6	0	0	81	9	6	0.7	"3,702"
Oklahoma		40	3	7	266	23	8.6	DS	0.8	21	7.9	70	26.3	145	54.5	0	0	5	1.9	10	3.8	"1,774"
Oregon		41	9	4	568	15	2.6	8	1.4	76	13.4	32	5.6	412	72.5	0	0	25	4.4	18	3.2	"1,312"
Pennsylvania		42	1	2	938	DS	0.2	4	0.4	57	6.1	162	17.3	686	73.1	0	0	27	2.9	DS	0.2	"3,220"
Rhode Island		44	1	1	298	5	1.7	4	1.3	47	15.8	61	20.5	177	59.4	DS	0.7	DS	0.7	4	1.3	291
South Carolina		45	3	5	362	0	0	DS	0.6	10	2.8	175	48.3	166	45.9	0	0	9	2.5	4	1.1	"1,219"
South Dakota		46	2	4	124	22	17.7	DS	1.6	5	4	9	7.3	84	67.7	0	0	DS	1.6	DS	1.6	668
Tennessee		47	3	6	619	DS	0.3	DS	0.3	7	1.1	132	21.3	474	76.6	0	0	DS	0.3	DS	0.3	"1,802"
Texas		48	3	7	"3,580"	22	0.6	32	0.9	"1,062"	29.7	898	25.1	"1,485"	41.5	DS	0.1	79	2.2	163	4.6	"8,472"
Utah		49	4	8	255	5	2	5	2	23	9	12	4.7	206	80.8	DS	0.8	DS	0.8	6	2.4	981
Vermont		50	1	1	237	DS	0.8	DS	0.8	4	1.7	8	3.4	217	91.6	0	0	4	1.7	DS	0.8	295
Virginia		51	3	5	474	DS	0.4	DS	0.4	16	3.4	230	48.5	201	42.4	DS	0.4	21	4.4	DS	0.4	"1,984"
Washington		53	4	9	453	13	2.9	10	2.2	47	10.4	31	6.8	318	70.2	5	1.1	29	6.4	9	2	"2,256"
West Virginia		54	3	5	215	0	0	0	0	DS	0.9	20	9.3	187	87	0	0	6	2.8	0	0	733
Wisconsin		55	2	3	"1,130"	28	2.5	18	1.6	44	3.9	149	13.2	854	75.6	0	0	37	3.3	11	1	"2,242"
Wyoming		56	4	8	114	10	8.8	0	0	11	9.6	DS	1.8	89	78.1	0	0	DS	1.8	DS	1.8	349
