Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with or without educational services on females	477	31.2	13	0.8	DS	0.1	33	2.2	102	6.7	316	20.6	0	0	11	0.7	9	0.6	"2,242"	55	2	3
Expulsions with or without educational services total	"1,531"	100	32	2.1	13	0.8	140	9.1	312	20.4	"1,005"	65.6	DS	0.1	27	1.8	53	3.5	"2,242"	55	2	3
Expulsions under zero-tolerance policies on males	402	65.8	9	1.5	DS	0.3	33	5.4	24	3.9	330	54	0	0	4	0.7	14	2.3	"2,242"	55	2	3
Expulsions under zero-tolerance policies on females	209	34.2	7	1.1	DS	0.3	9	1.5	6	1	183	30	0	0	DS	0.3	DS	0.3	"2,242"	55	2	3
Expulsions under zero-tolerance policies total	611	100	16	2.6	4	0.7	42	6.9	30	4.9	513	84	0	0	6	1	16	2.6	"2,242"	55	2	3
Referral to law enforcement on males	"3,344"	63.2	78	1.5	61	1.2	302	5.7	331	6.3	"2,488"	47	DS	0	82	1.6	86	1.6	"2,242"	55	2	3
Referral to law enforcement on females	"1,946"	36.8	58	1.1	35	0.7	164	3.1	224	4.2	"1,409"	26.6	DS	0	54	1	38	0.7	"2,242"	55	2	3
Referral to law enforcement total	"5,290"	100	136	2.6	96	1.8	466	8.8	555	10.5	"3,897"	73.7	4	0.1	136	2.6	124	2.3	"2,242"	55	2	3
School-related arrests on males	999	66.8	17	1.1	25	1.7	83	5.5	93	6.2	763	51	0	0	18	1.2	25	1.7	"2,242"	55	2	3
School-related arrests on females	497	33.2	7	0.5	5	0.3	45	3	39	2.6	389	26	0	0	12	0.8	16	1.1	"2,242"	55	2	3
School-related arrests total	"1,496"	100	24	1.6	30	2	128	8.6	132	8.8	"1,152"	77	0	0	30	2	41	2.7	"2,242"	55	2	3
