Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on females	DS	33.3	0	0	DS	33.3	DS	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions with educational services total	6	100	0	0	6	100	4	66.7	0	0	0	0	0	0	DS	33.3	0	0	0	0	0	0	468	38	2	4
Expulsions without educational services on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions without educational services total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions with or without educational services on males	4	66.7	0	0	4	66.7	DS	33.3	0	0	0	0	0	0	DS	33.3	0	0	0	0	0	0	468	38	2	4
Expulsions with or without educational services on females	DS	33.3	0	0	DS	33.3	DS	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions with or without educational services total	6	100	0	0	6	100	4	66.7	0	0	0	0	0	0	DS	33.3	0	0	0	0	0	0	468	38	2	4
Expulsions under zero-tolerance policies on males	4	100	0	0	4	100	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	468	38	2	4
Expulsions under zero-tolerance policies on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions under zero-tolerance policies total	4	100	0	0	4	100	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	468	38	2	4
Referral to law enforcement on males	96	79.3	DS	1.7	94	77.7	20	16.8	0	0	DS	1.7	5	4.2	67	56.3	0	0	0	0	8	6.6	468	38	2	4
Referral to law enforcement on females	25	20.7	0	0	25	20.7	10	8.4	0	0	0	0	DS	1.7	11	9.2	DS	1.7	0	0	DS	1.7	468	38	2	4
Referral to law enforcement total	121	100	DS	1.7	119	98.3	30	25.2	0	0	DS	1.7	7	5.9	78	65.5	DS	1.7	0	0	10	8.3	468	38	2	4
School-related arrests on males	33	71.7	DS	4.3	31	67.4	4	9.5	DS	4.8	DS	4.8	DS	4.8	19	45.2	0	0	DS	4.8	DS	4.3	468	38	2	4
School-related arrests on females	13	28.3	DS	4.3	11	23.9	DS	4.8	0	0	0	0	DS	4.8	7	16.7	0	0	0	0	0	0	468	38	2	4
School-related arrests total	46	100	4	8.7	42	91.3	6	14.3	DS	4.8	DS	4.8	4	9.5	26	61.9	0	0	DS	4.8	DS	4.3	468	38	2	4
