"Number and percentage of public school male students retained in grade 7, by race/ethnicity, disability status, and English proficiency, by state: School Year 2011-12"																							
																							
State	Total Students	Race/Ethnicity														Students With Disabilities Served Under IDEA		Students With Disabilities Served Only Under Section 504		English Language Learners		Number of Schools	Percent of Schools Reporting 
Kansas	35	0	0	3-Jan	5.7	12	34.3	7	20	12	34.3	0	0	3-Jan	5.7	5	14.3	0	0	11	31.4	421	99.8
Kentucky	306	0	0	3-Jan	0.7	12	3.9	32	10.5	251	82	0	0	9	2.9	31	10.1	7	2.3	3-Jan	0.7	441	100
Louisiana	"1,363"	7	0.5	3-Jan	0.1	57	4.2	715	52.5	570	41.8	3-Jan	0.1	10	0.7	188	13.8	101	7.4	22	1.6	520	100
Maine	27	3-Jan	7.4	0	0	0	0	0	0	25	92.6	0	0	0	0	5	18.5	3-Jan	7.4	0	0	206	99.5
Maryland	590	0	0	4	0.7	57	9.7	402	68.1	114	19.3	5	0.8	8	1.4	157	26.6	39	6.6	13	2.2	392	100
Massachusetts	480	3-Jan	0.4	21	4.4	147	30.6	139	29	148	30.8	3-Jan	0.4	21	4.4	120	25	21	4.4	77	16	489	100
Michigan	750	8	1.1	3-Jan	0.3	35	4.7	349	46.5	346	46.1	0	0	10	1.3	105	14	3-Jan	0.3	18	2.4	"1,058"	100
Minnesota	117	8	6.8	3-Jan	1.7	4	3.4	15	12.8	82	70.1	0	0	6	5.1	31	26.5	0	0	10	8.5	707	99
Mississippi	958	3-Jan	0.2	6	0.6	21	2.2	556	58	371	38.7	3-Jan	0.2	0	0	41	4.3	3-Jan	0.2	6	0.6	320	100
Missouri	249	0	0	3-Jan	0.8	38	15.3	98	39.4	109	43.8	0	0	3-Jan	0.8	28	11.2	3-Jan	0.8	5	2	765	100
Montana	16	11	68.8	0	0	0	0	0	0	5	31.3	0	0	0	0	3-Jan	12.5	0	0	6	37.5	315	99
Nebraska	41	3-Jan	4.9	0	0	3-Jan	4.9	3-Jan	4.9	33	80.5	0	0	3-Jan	4.9	6	14.6	3-Jan	4.9	0	0	333	100
Nevada	324	4	1.2	3-Jan	0.6	159	49.1	63	19.4	78	24.1	4	1.2	14	4.3	39	12	9	2.8	63	19.4	166	100
New Hampshire	70	0	0	0	0	7	10	3-Jan	2.9	59	84.3	0	0	3-Jan	2.9	11	15.7	5	7.1	0	0	143	99.3
New Jersey	719	3-Jan	0.3	16	2.2	267	37.1	258	35.9	167	23.2	0	0	9	1.3	62	8.6	19	2.6	46	6.4	774	100
New Mexico	116	32	27.6	0	0	60	51.7	3-Jan	1.7	20	17.2	0	0	3-Jan	1.7	12	10.3	3-Jan	1.7	24	20.7	225	99.1
New York	"1,801"	18	1	55	3.1	497	27.6	793	44	418	23.2	4	0.2	16	0.9	328	18.2	43	2.4	219	12.2	"1,525"	99.9
North Carolina	901	13	1.4	17	1.9	92	10.2	408	45.3	336	37.3	0	0	35	3.9	139	15.4	43	4.8	44	4.9	713	99.9
North Dakota	21	13	61.9	0	0	3-Jan	9.5	3-Jan	9.5	4	19	0	0	0	0	3-Jan	9.5	0	0	3-Jan	9.5	188	99.5
Ohio	547	0	0	3-Jan	0.4	27	4.9	234	42.8	252	46.1	0	0	32	5.9	57	10.4	11	2	14	2.6	"1,141"	99.7
Oklahoma	216	38	17.6	3-Jan	0.9	30	13.9	20	9.3	119	55.1	0	0	7	3.2	38	17.6	0	0	5	2.3	589	99.7
Oregon	67	4	6	3-Jan	3	11	16.4	3-Jan	3	43	64.2	0	0	5	7.5	18	26.9	3-Jan	3	3-Jan	3	457	100
Pennsylvania	789	3-Jan	0.3	5	0.6	72	9.1	224	28.4	471	59.7	0	0	15	1.9	139	17.6	13	1.6	13	1.6	965	99.6
Rhode Island	99	3-Jan	2	3-Jan	2	19	19.2	17	17.2	54	54.5	0	0	5	5.1	23	23.2	3-Jan	2	3-Jan	2	59	100
South Carolina	625	3-Jan	0.3	3-Jan	0.3	27	4.3	340	54.4	239	38.2	3-Jan	0.3	13	2.1	91	14.6	13	2.1	9	1.4	334	100
South Dakota	22	16	72.7	0	0	0	0	0	0	6	27.3	0	0	0	0	3-Jan	9.1	3-Jan	9.1	3-Jan	9.1	262	100
Tennessee	752	3-Jan	0.3	6	0.8	33	4.4	445	59.2	258	34.3	3-Jan	0.3	6	0.8	100	13.3	13	1.7	26	3.5	605	100
Texas	"5,178"	15	0.3	85	1.6	"3,019"	58.3	639	12.3	"1,329"	25.7	8	0.2	83	1.6	917	17.7	220	4.2	670	12.9	"2,414"	100
Utah	189	6	3.2	3-Jan	1.1	26	13.8	6	3.2	145	76.7	3-Jan	1.1	3-Jan	1.1	55	29.1	3-Jan	1.1	7	3.7	260	100
Vermont	10	0	0	0	0	0	0	0	0	10	100	0	0	0	0	3-Jan	20	3-Jan	20	0	0	120	100
Virginia	778	3-Jan	0.3	10	1.3	65	8.4	390	50.1	286	36.8	0	0	25	3.2	218	28	23	3	41	5.3	477	100
Washington	91	8	8.8	3-Jan	2.2	26	28.6	4	4.4	45	49.5	3-Jan	2.2	4	4.4	11	12.1	5	5.5	8	8.8	650	100
West Virginia	216	3-Jan	0.9	0	0	3-Jan	0.9	14	6.5	194	89.8	3-Jan	0.9	3-Jan	0.9	18	8.3	3-Jan	0.9	3-Jan	0.9	207	100
Wisconsin	119	0	0	4	3.4	14	11.8	60	50.4	41	34.5	0	0	0	0	30	25.2	0	0	5	4.2	693	99.9
Wyoming	15	0	0	0	0	6	40	0	0	9	60	0	0	0	0	3-Jan	13.3	0	0	3-Jan	13.3	97	100
																							
"NOTE: Table reads (for US Totals):  Of all 28,392 public school male students retained in grade 7, 333 (1.2%) were American Indian or Alaska Native, 4,510 (15.9%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 960 (3.4%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973."																							
"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total."																							
"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx"																							
