County,2000 Age 1-14 Population,2000 Age 1-14 Deaths,Rate,2006 Age 1-14 Population,2006 Age 1-14 Deaths,Rate,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Mahaska,"4,381",3,68,"4,381",*,NA,NA,19_123,19,2,4,,
Marion,"6,248",1,16,"6,248",0,0,-100.00%,19_125,19,2,4,,
Marshall,"7,591",1,13,"7,591",*,NA,NA,19_127,19,2,4,,
Mills,"3,015",1,33,"3,015",0,0,-100.00%,19_129,19,2,4,,
Mitchell,"2,231",0,0,"2,231",0,0,0.00%,19_131,19,2,4,,
Monona,"1,754",0,0,"1,754",*,NA,NA,19_133,19,2,4,,
Monroe,"1,557",0,0,"1,557",0,0,0.00%,19_135,19,2,4,,
Montgomery,"2,267",0,0,"2,267",0,0,0.00%,19_137,19,2,4,,
Muscatine,"8,665",0,0,"8,665",*,NA,NA,19_139,19,2,4,,
O'Brien,"2,815",1,36,"2,815",0,0,-100.00%,19_141,19,2,4,,
Osceola,"1,404",1,71,"1,404",0,0,-100.00%,19_143,19,2,4,,
Page,"2,902",0,0,"2,902",*,NA,NA,19_145,19,2,4,,
Palo Alto,"1,807",0,0,"1,807",0,0,0.00%,19_147,19,2,4,,
Plymouth,"5,303",2,38,"5,303",0,0,-100.00%,19_149,19,2,4,,
Pocahontas,"1,660",0,0,"1,660",0,0,0.00%,19_151,19,2,4,,
Polk,"75,462",15,20,"75,462",17,23,13.30%,19_153,19,2,4,,
Pottawattamie,"17,497",3,17,"17,497",*,NA,NA,19_155,19,2,4,,
Poweshiek,"3,279",0,0,"3,279",*,NA,NA,19_157,19,2,4,,
Ringgold,957,3,313,957,*,NA,NA,19_159,19,2,4,,
Sac,"2,099",2,95,"2,099",0,0,-100.00%,19_161,19,2,4,,
Scott,"32,491",9,28,"32,491",*,NA,NA,19_163,19,2,4,,
Shelby,"2,625",0,0,"2,625",0,0,0.00%,19_165,19,2,4,,
Sioux,"6,499",1,15,"6,499",0,0,-100.00%,19_167,19,2,4,,
Story,"11,613",0,0,"11,613",*,NA,NA,19_169,19,2,4,,
Tama,"3,636",1,28,"3,636",*,NA,NA,19_171,19,2,4,,
Taylor,"1,265",0,0,"1,265",0,0,0.00%,19_173,19,2,4,,
Union,"2,191",1,46,"2,191",0,0,-100.00%,19_175,19,2,4,,
Van Buren,"1,507",1,66,"1,507",*,NA,NA,19_177,19,2,4,,
Wapello,"6,515",0,0,"6,515",*,NA,NA,19_179,19,2,4,,
Warren,"8,501",0,0,"8,501",6,71,NA,19_181,19,2,4,,
Washington,"4,163",0,0,"4,163",*,NA,NA,19_183,19,2,4,,
Wayne,"1,216",1,82,"1,216",0,0,-100.00%,19_185,19,2,4,,
Webster,"7,554",1,13,"7,554",*,NA,NA,19_187,19,2,4,,
Winnebago,"2,149",3,140,"2,149",0,0,-100.00%,19_189,19,2,4,,
Winneshiek,"3,714",2,54,"3,714",*,NA,NA,19_191,19,2,4,,
Woodbury,"22,203",3,14,"22,203",*,NA,NA,19_193,19,2,4,,
Worth,"1,446",0,0,"1,446",0,0,0.00%,19_195,19,2,4,,
Wright,"2,674",0,0,"2,674",0,0,0.00%,19_197,19,2,4,,
State,"564,225",121,21,"564,225",86,15,-28.90%,,19,2,4,,
Rural,"95,357",26,27,"95,357",15,16,-42.30%,,,,,,IA_Rural_Counties
Small Urban,"214,183",42,20,"214,183",31,14,-26.20%,,,,,,IA_Urban_Counties
Metropolitan,"254,685",53,21,"254,685",40,16,-24.50%,,,,,,IA_Metropolitan_Counties
United States,"56,447,727","12,350",22,"56,649,262","11,353",20,-8.40%,,,,,US_National,
