Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions with educational services for males,670,79.6,13,1.5,657,78,0,0,DS,0.2,8,1,400,48.5,225,27.3,0,0,22,2.7,DS,0.2,"3,702",39,2,3
Expulsions with educational services for females,172,20.4,4,0.5,168,20,0,0,0,0,5,0.6,121,14.7,38,4.6,0,0,4,0.5,DS,0.2,"3,702",39,2,3
Expulsions with educational services total,842,100,17,2,825,98,0,0,DS,0.2,13,1.6,521,63.2,263,31.9,0,0,26,3.2,4,0.5,"3,702",39,2,3
Expulsions without educational services for males,280,87.8,26,8.2,254,79.6,0,0,0,0,6,2.1,86,29.9,142,49.3,DS,0.7,18,6.3,DS,0.6,"3,702",39,2,3
Expulsions without educational services for females,39,12.2,5,1.6,34,10.7,0,0,0,0,DS,0.7,15,5.2,13,4.5,0,0,4,1.4,0,0,"3,702",39,2,3
Expulsions without educational services total,319,100,31,9.7,288,90.3,0,0,0,0,8,2.8,101,35.1,155,53.8,DS,0.7,22,7.6,DS,0.6,"3,702",39,2,3
Expulsions with or without educational services for males,958,81.9,40,3.4,918,78.5,0,0,DS,0.2,14,1.2,487,43.4,373,33.3,DS,0.2,40,3.6,5,0.4,"3,702",39,2,3
Expulsions with or without educational services for females,212,18.1,9,0.8,203,17.4,0,0,0,0,6,0.5,138,12.3,51,4.5,0,0,8,0.7,DS,0.2,"3,702",39,2,3
Expulsions with or without educational services total,"1,170",100,49,4.2,"1,121",95.8,0,0,DS,0.2,20,1.8,625,55.8,424,37.8,DS,0.2,48,4.3,7,0.6,"3,702",39,2,3
Expulsions under zero-tolerance policies for males,92,84.4,DS,1.8,90,82.6,0,0,DS,1.9,DS,1.9,25,23.4,57,53.3,0,0,4,3.7,0,0,"3,702",39,2,3
Expulsions under zero-tolerance policies for females,17,15.6,0,0,17,15.6,0,0,0,0,DS,1.9,4,3.7,9,8.4,0,0,DS,1.9,0,0,"3,702",39,2,3
Expulsions under zero-tolerance policies total,109,100,DS,1.8,107,98.2,0,0,DS,1.9,4,3.7,29,27.1,66,61.7,0,0,6,5.6,0,0,"3,702",39,2,3
Referral to law enforcement for males,618,80.4,11,1.4,607,78.9,0,0,DS,0.3,19,2.5,143,18.9,408,54,0,0,35,4.6,8,1,"3,702",39,2,3
Referral to law enforcement for females,151,19.6,DS,0.3,149,19.4,0,0,0,0,DS,0.3,34,4.5,106,14,0,0,7,0.9,0,0,"3,702",39,2,3
Referral to law enforcement total,769,100,13,1.7,756,98.3,0,0,DS,0.3,21,2.8,177,23.4,514,68,0,0,42,5.6,8,1,"3,702",39,2,3
School-related arrests for males,295,80.8,6,1.6,289,79.2,0,0,0,0,17,4.8,100,28,149,41.7,0,0,23,6.4,9,2.5,"3,702",39,2,3
School-related arrests for females,70,19.2,DS,0.5,68,18.6,0,0,0,0,DS,0.6,29,8.1,33,9.2,0,0,4,1.1,0,0,"3,702",39,2,3
School-related arrests total,365,100,8,2.2,357,97.8,0,0,0,0,19,5.3,129,36.1,182,51,0,0,27,7.6,9,2.5,"3,702",39,2,3
