Retained in grade 9,California,"13,716 ",68 ,0.5 ,373 ,2.7 ,"10,645 ",77.6 ,"1,119 ",8.2 ,"1,278 ",9.3 ,97 ,0.7 ,136 ,1.0 ,"1,756 ",12.8 ,128 ,0.9 ,"3,954 ",28.8 ,406 ,100.0 
Retained in grade 9,Colorado,"1,460 ",20 ,1.4 ,15 ,1.0 ,894 ,61.2 ,200 ,13.7 ,280 ,19.2 ,1 to 3,0.1 ,49 ,3.4 ,248 ,17.0 ,14 ,1.0 ,375 ,25.7 ,128 ,100.0 
Retained in grade 9,Connecticut,"3,162 ",7 ,0.2 ,38 ,1.2 ,"1,367 ",43.2 ,813 ,25.7 ,889 ,28.1 ,1 to 3,0.0 ,47 ,1.5 ,648 ,20.5 ,130 ,4.1 ,488 ,15.4 ,139 ,100.0 
Retained in grade 9,Delaware,"1,259 ",7 ,0.6 ,9 ,0.7 ,211 ,16.8 ,637 ,50.6 ,381 ,30.3 ,0 ,0.0 ,14 ,1.1 ,344 ,27.3 ,39 ,3.1 ,77 ,6.1 ,34 ,100.0 
Retained in grade 9,District of Columbia,821 ,1 to 3,0.2 ,5 ,0.6 ,126 ,15.3 ,671 ,81.7 ,12 ,1.5 ,1 to 3,0.1 ,4 ,0.5 ,241 ,29.4 ,7 ,0.9 ,89 ,10.8 ,31 ,100.0 
Retained in grade 9,Florida,"8,902 ",55 ,0.6 ,74 ,0.8 ,"2,362 ",26.5 ,"2,736 ",30.7 ,"3,372 ",37.9 ,10 ,0.1 ,293 ,3.3 ,"2,155 ",24.2 ,389 ,4.4 ,774 ,8.7 ,345 ,100.0 
Retained in grade 9,Georgia,"19,976 ",37 ,0.2 ,374 ,1.9 ,"3,260 ",16.3 ,"11,198 ",56.1 ,"4,603 ",23.0 ,13 ,0.1 ,491 ,2.5 ,"3,246 ",16.2 ,695 ,3.5 ,"1,664 ",8.3 ,452 ,100.0 
Retained in grade 9,Hawaii,"1,387 ",13 ,0.9 ,255 ,18.4 ,110 ,7.9 ,18 ,1.3 ,128 ,9.2 ,767 ,55.3 ,96 ,6.9 ,274 ,19.8 ,48 ,3.5 ,254 ,18.3 ,53 ,100.0 
Retained in grade 9,Idaho,518 ,6 ,1.2 ,5 ,1.0 ,128 ,24.7 ,16 ,3.1 ,352 ,68.0 ,0 ,0.0 ,11 ,2.1 ,46 ,8.9 ,24 ,4.6 ,71 ,13.7 ,37 ,100.0 
Retained in grade 9,Illinois,"7,426 ",31 ,0.4 ,87 ,1.2 ,"2,145 ",28.9 ,"2,785 ",37.5 ,"2,131 ",28.7 ,1 to 3,0.0 ,244 ,3.3 ,"1,311 ",17.7 ,215 ,2.9 ,647 ,8.7 ,358 ,99.4 
Retained in grade 9,Indiana,535 ,5 ,0.9 ,0 ,0.0 ,28 ,5.2 ,97 ,18.1 ,368 ,68.8 ,0 ,0.0 ,37 ,6.9 ,133 ,24.9 ,9 ,1.7 ,9 ,1.7 ,44 ,100.0 
Retained in grade 9,Iowa,213 ,1 to 3,0.9 ,1 to 3,0.9 ,24 ,11.3 ,31 ,14.6 ,149 ,70.0 ,0 ,0.0 ,5 ,2.3 ,33 ,15.5 ,7 ,3.3 ,7 ,3.3 ,34 ,100.0 
Retained in grade 9,Kansas,"1,002 ",14 ,1.4 ,10 ,1.0 ,330 ,32.9 ,231 ,23.1 ,369 ,36.8 ,1 to 3,0.1 ,47 ,4.7 ,144 ,14.4 ,1 to 3,0.2 ,191 ,19.1 ,62 ,100.0 
Retained in grade 9,Kentucky,"2,261 ",10 ,0.4 ,14 ,0.6 ,166 ,7.3 ,611 ,27.0 ,"1,384 ",61.2 ,1 to 3,0.1 ,74 ,3.3 ,299 ,13.2 ,21 ,0.9 ,64 ,2.8 ,188 ,100.0 
Retained in grade 9,Louisiana,"4,134 ",26 ,0.6 ,21 ,0.5 ,207 ,5.0 ,"2,530 ",61.2 ,"1,316 ",31.8 ,1 to 3,0.0 ,33 ,0.8 ,685 ,16.6 ,378 ,9.1 ,150 ,3.6 ,225 ,100.0 
Retained in grade 9,Maine,217 ,1 to 3,1.4 ,1 to 3,0.5 ,6 ,2.8 ,4 ,1.8 ,197 ,90.8 ,1 to 3,0.5 ,5 ,2.3 ,54 ,24.9 ,14 ,6.5 ,7 ,3.2 ,23 ,100.0 
Retained in grade 9,Maryland,"8,345 ",29 ,0.3 ,137 ,1.6 ,"2,277 ",27.3 ,"4,571 ",54.8 ,"1,147 ",13.7 ,7 ,0.1 ,177 ,2.1 ,"1,658 ",19.9 ,314 ,3.8 ,943 ,11.3 ,215 ,100.0 
Retained in grade 9,Massachusetts,"3,425 ",15 ,0.4 ,83 ,2.4 ,"1,346 ",39.3 ,609 ,17.8 ,"1,262 ",36.8 ,1 to 3,0.0 ,109 ,3.2 ,910 ,26.6 ,153 ,4.5 ,584 ,17.1 ,223 ,100.0 
Retained in grade 9,Michigan,"5,207 ",61 ,1.2 ,42 ,0.8 ,531 ,10.2 ,"2,063 ",39.6 ,"2,325 ",44.7 ,4 ,0.1 ,181 ,3.5 ,977 ,18.8 ,85 ,1.6 ,303 ,5.8 ,327 ,100.0 
Retained in grade 9,Minnesota,868 ,22 ,2.5 ,26 ,3.0 ,123 ,14.2 ,234 ,27.0 ,443 ,51.0 ,1 to 3,0.2 ,18 ,2.1 ,121 ,13.9 ,6 ,0.7 ,79 ,9.1 ,67 ,100.0 
Retained in grade 9,Mississippi,"3,669 ",5 ,0.1 ,14 ,0.4 ,97 ,2.6 ,"2,716 ",74.0 ,831 ,22.6 ,0 ,0.0 ,6 ,0.2 ,291 ,7.9 ,7 ,0.2 ,35 ,1.0 ,221 ,100.0 
Retained in grade 9,Missouri,"1,696 ",11 ,0.6 ,16 ,0.9 ,113 ,6.7 ,646 ,38.1 ,873 ,51.5 ,1 to 3,0.1 ,36 ,2.1 ,267 ,15.7 ,32 ,1.9 ,65 ,3.8 ,135 ,100.0 
Retained in grade 9,Montana,201 ,120 ,59.7 ,0 ,0.0 ,4 ,2.0 ,1 to 3,1.5 ,69 ,34.3 ,0 ,0.0 ,5 ,2.5 ,22 ,10.9 ,5 ,2.5 ,23 ,11.4 ,24 ,100.0 
Retained in grade 9,Nebraska,146 ,9 ,6.2 ,1 to 3,1.4 ,17 ,11.6 ,7 ,4.8 ,105 ,71.9 ,1 to 3,0.7 ,5 ,3.4 ,33 ,22.6 ,5 ,3.4 ,5 ,3.4 ,17 ,100.0 
Retained in grade 9,Nevada,210 ,8 ,3.8 ,1 to 3,1.0 ,51 ,24.3 ,12 ,5.7 ,124 ,59.0 ,1 to 3,0.5 ,12 ,5.7 ,36 ,17.1 ,4 ,1.9 ,11 ,5.2 ,20 ,100.0 
Retained in grade 9,New Hampshire,"1,140 ",6 ,0.5 ,10 ,0.9 ,123 ,10.8 ,43 ,3.8 ,938 ,82.3 ,0 ,0.0 ,20 ,1.8 ,303 ,26.6 ,78 ,6.8 ,62 ,5.4 ,52 ,100.0 
Retained in grade 9,New Jersey,"3,676 ",10 ,0.3 ,70 ,1.9 ,"1,721 ",46.8 ,"1,244 ",33.8 ,588 ,16.0 ,1 to 3,0.0 ,42 ,1.1 ,802 ,21.8 ,57 ,1.6 ,395 ,10.7 ,179 ,100.0 
Retained in grade 9,New Mexico,"1,276 ",202 ,15.8 ,6 ,0.5 ,807 ,63.2 ,23 ,1.8 ,209 ,16.4 ,1 to 3,0.1 ,28 ,2.2 ,149 ,11.7 ,25 ,2.0 ,261 ,20.5 ,73 ,100.0 
Retained in grade 9,New York,"16,969 ",106 ,0.6 ,786 ,4.6 ,"6,813 ",40.1 ,"6,491 ",38.3 ,"2,650 ",15.6 ,36 ,0.2 ,87 ,0.5 ,"5,238 ",30.9 ,188 ,1.1 ,"2,397 ",14.1 ,766 ,100.0 
Retained in grade 9,North Carolina,"11,448 ",204 ,1.8 ,89 ,0.8 ,"2,084 ",18.2 ,"4,932 ",43.1 ,"3,713 ",32.4 ,11 ,0.1 ,415 ,3.6 ,"2,920 ",25.5 ,307 ,2.7 ,"1,247 ",10.9 ,503 ,100.0 
Retained in grade 9,North Dakota,65 ,21 ,32.3 ,7 ,10.8 ,4 ,6.2 ,5 ,7.7 ,28 ,43.1 ,0 ,0.0 ,0 ,0.0 ,14 ,21.5 ,4 ,6.2 ,10 ,15.4 ,15 ,100.0 
Retained in grade 9,Ohio,"6,859 ",15 ,0.2 ,124 ,1.8 ,431 ,6.3 ,"3,705 ",54.0 ,"2,262 ",33.0 ,5 ,0.1 ,317 ,4.6 ,"1,524 ",22.2 ,123 ,1.8 ,456 ,6.6 ,269 ,100.0 
Retained in grade 9,Oklahoma,"1,858 ",284 ,15.3 ,18 ,1.0 ,299 ,16.1 ,403 ,21.7 ,749 ,40.3 ,10 ,0.5 ,95 ,5.1 ,395 ,21.3 ,26 ,1.4 ,109 ,5.9 ,154 ,100.0 
Retained in grade 9,Oregon,"1,648 ",28 ,1.7 ,14 ,0.8 ,611 ,37.1 ,24 ,1.5 ,868 ,52.7 ,34 ,2.1 ,69 ,4.2 ,305 ,18.5 ,57 ,3.5 ,106 ,6.4 ,46 ,100.0 
Retained in grade 9,Pennsylvania,"6,392 ",16 ,0.3 ,107 ,1.7 ,"1,314 ",20.6 ,"1,967 ",30.8 ,"2,782 ",43.5 ,6 ,0.1 ,200 ,3.1 ,"1,343 ",21.0 ,149 ,2.3 ,421 ,6.6 ,429 ,100.0 
Retained in grade 9,Rhode Island,631 ,8 ,1.3 ,16 ,2.5 ,227 ,36.0 ,66 ,10.5 ,300 ,47.5 ,0 ,0.0 ,14 ,2.2 ,174 ,27.6 ,29 ,4.6 ,87 ,13.8 ,34 ,100.0 
Retained in grade 9,South Carolina,"5,430 ",30 ,0.6 ,16 ,0.3 ,457 ,8.4 ,"2,384 ",43.9 ,"2,383 ",43.9 ,11 ,0.2 ,149 ,2.7 ,995 ,18.3 ,132 ,2.4 ,306 ,5.6 ,204 ,100.0 
Retained in grade 9,South Dakota,545 ,192 ,35.2 ,4 ,0.7 ,45 ,8.3 ,32 ,5.9 ,250 ,45.9 ,0 ,0.0 ,22 ,4.0 ,82 ,15.0 ,10 ,1.8 ,25 ,4.6 ,33 ,100.0 
Retained in grade 9,Tennessee,"4,379 ",8 ,0.2 ,44 ,1.0 ,586 ,13.4 ,"2,235 ",51.0 ,"1,455 ",33.2 ,4 ,0.1 ,47 ,1.1 ,799 ,18.2 ,51 ,1.2 ,296 ,6.8 ,163 ,100.0 
Retained in grade 9,Texas,"29,360 ",127 ,0.4 ,322 ,1.1 ,"18,371 ",62.6 ,"5,068 ",17.3 ,"5,114 ",17.4 ,33 ,0.1 ,325 ,1.1 ,"4,431 ",15.1 ,"1,739 ",5.9 ,"4,844 ",16.5 ,"1,205 ",100.0 
Retained in grade 9,Utah,433 ,5 ,1.2 ,11 ,2.5 ,78 ,18.0 ,11 ,2.5 ,316 ,73.0 ,4 ,0.9 ,8 ,1.8 ,95 ,21.9 ,27 ,6.2 ,12 ,2.8 ,25 ,100.0 
Retained in grade 9,Vermont,223 ,5 ,2.2 ,1 to 3,0.9 ,1 to 3,1.3 ,14 ,6.3 ,197 ,88.3 ,0 ,0.0 ,1 to 3,0.9 ,51 ,22.9 ,17 ,7.6 ,6 ,2.7 ,28 ,100.0 
Retained in grade 9,Virginia,"6,748 ",33 ,0.5 ,123 ,1.8 ,"1,271 ",18.8 ,"3,010 ",44.6 ,"2,098 ",31.1 ,6 ,0.1 ,207 ,3.1 ,"1,686 ",25.0 ,218 ,3.2 ,966 ,14.3 ,301 ,100.0 
Retained in grade 9,Washington,"2,037 ",70 ,3.4 ,85 ,4.2 ,545 ,26.8 ,184 ,9.0 ,912 ,44.8 ,59 ,2.9 ,182 ,8.9 ,423 ,20.8 ,83 ,4.1 ,168 ,8.2 ,112 ,100.0 
Retained in grade 9,West Virginia,"1,233 ",5 ,0.4 ,1 to 3,0.2 ,18 ,1.5 ,100 ,8.1 ,"1,090 ",88.4 ,0 ,0.0 ,18 ,1.5 ,149 ,12.1 ,42 ,3.4 ,9 ,0.7 ,71 ,100.0 
Retained in grade 9,Wisconsin,"1,975 ",31 ,1.6 ,23 ,1.2 ,339 ,17.2 ,"1,183 ",59.9 ,385 ,19.5 ,0 ,0.0 ,14 ,0.7 ,668 ,33.8 ,24 ,1.2 ,132 ,6.7 ,116 ,100.0 
Retained in grade 9,Wyoming,95 ,38 ,40.0 ,0 ,0.0 ,10 ,10.5 ,4 ,4.2 ,40 ,42.1 ,0 ,0.0 ,1 to 3,3.2 ,14 ,14.7 ,6 ,6.3 ,6 ,6.3 ,16 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads (for US Totals):  Of all 204,860 public school students retained in grade 9, 2,411 (1.2%) were American Indian or Alaska Native, 39,618 (19.3%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 6,240 (3.0%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1 to 3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that a midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,            Data reported in this table represent 100.0% of responding schools.,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2013-14, available at http://ocrdata.ed.gov. Data notes are available on the Data Notes page, under Additional Resources at http://ocrdata.ed.gov/DataNotes. ",,,,,,,,,,,,,,,,,,,,,,,
