Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"14,456"	31.1	36	0.1	"14,420"	31.1	24	0.1	60	0.1	"1,704"	3.7	"8,076"	17.5	"4,143"	9	DS	0	411	0.9	270	0.6	"3,220"	42	1	2
More than one out-of-school suspension total	"46,412"	100	203	0.4	"46,209"	99.6	58	0.1	267	0.6	"5,897"	12.8	"22,088"	47.8	"16,656"	36	12	0	"1,231"	2.7	"1,183"	2.5	"3,220"	42	1	2
One or more out-of-school suspensions on males	"73,220"	68.5	462	0.4	"72,758"	68.1	76	0.1	626	0.6	"9,654"	9.1	"28,850"	27.1	"31,783"	29.9	25	0	"1,744"	1.6	"1,654"	1.5	"3,220"	42	1	2
One or more out-of-school suspensions on females	"33,639"	31.5	120	0.1	"33,519"	31.4	53	0	196	0.2	"4,512"	4.2	"16,670"	15.7	"11,309"	10.6	14	0	765	0.7	713	0.7	"3,220"	42	1	2
One or more out-of-school suspensions total	"106,859"	100	582	0.5	"106,277"	99.5	129	0.1	822	0.8	"14,166"	13.3	"45,520"	42.8	"43,092"	40.5	39	0	"2,509"	2.4	"2,367"	2.2	"3,220"	42	1	2
Expulsions with educational services on males	"1,983"	75.5	32	1.2	"1,951"	74.3	DS	0.1	7	0.3	321	12.4	515	19.9	"1,079"	41.6	DS	0.1	25	1	44	1.7	"3,220"	42	1	2
Expulsions with educational services on females	642	24.5	DS	0.1	640	24.4	DS	0.1	DS	0.1	128	4.9	202	7.8	291	11.2	DS	0.1	13	0.5	13	0.5	"3,220"	42	1	2
Expulsions with educational services total	"2,625"	100	34	1.3	"2,591"	98.7	4	0.2	9	0.3	449	17.3	717	27.7	"1,370"	52.9	4	0.2	38	1.5	57	2.2	"3,220"	42	1	2
Expulsions without educational services on males	"1,087"	66.7	21	1.3	"1,066"	65.4	0	0	7	0.4	162	10.1	513	31.9	375	23.3	DS	0.1	7	0.4	22	1.4	"3,220"	42	1	2
Expulsions without educational services on females	542	33.3	DS	0.1	540	33.1	DS	0.1	DS	0.1	88	5.5	331	20.6	111	6.9	DS	0.1	4	0.2	7	0.4	"3,220"	42	1	2
Expulsions without educational services total	"1,629"	100	23	1.4	"1,606"	98.6	DS	0.1	9	0.6	250	15.6	844	52.6	486	30.3	4	0.2	11	0.7	29	1.8	"3,220"	42	1	2
Expulsions with or without educational services on males	"3,070"	72.2	53	1.2	"3,017"	70.9	DS	0	14	0.3	485	11.6	"1,025"	24.4	"1,457"	34.7	DS	0	32	0.8	65	1.5	"3,220"	42	1	2
Expulsions with or without educational services on females	"1,183"	27.8	6	0.1	"1,177"	27.7	DS	0	5	0.1	216	5.2	532	12.7	403	9.6	DS	0	17	0.4	20	0.5	"3,220"	42	1	2
Expulsions with or without educational services total	"4,253"	100	59	1.4	"4,194"	98.6	4	0.1	19	0.5	701	16.7	"1,557"	37.1	"1,860"	44.3	4	0.1	49	1.2	85	2	"3,220"	42	1	2
Expulsions under zero-tolerance policies on males	"1,137"	74.5	24	1.6	"1,113"	72.9	DS	0.1	6	0.4	201	13.4	305	20.3	588	39.2	DS	0.1	9	0.6	20	1.3	"3,220"	42	1	2
Expulsions under zero-tolerance policies on females	389	25.5	DS	0.1	387	25.4	DS	0.1	DS	0.1	89	5.9	123	8.2	165	11	DS	0.1	4	0.3	9	0.6	"3,220"	42	1	2
Expulsions under zero-tolerance policies total	"1,526"	100	26	1.7	"1,500"	98.3	4	0.3	8	0.5	290	19.3	428	28.5	753	50.2	4	0.3	13	0.9	29	1.9	"3,220"	42	1	2
Referral to law enforcement on males	"9,306"	68.4	80	0.6	"9,226"	67.8	16	0.1	75	0.6	"1,098"	8.1	"2,318"	17.1	"5,564"	41.2	DS	0	153	1.1	217	1.6	"3,220"	42	1	2
Referral to law enforcement on females	"4,308"	31.6	15	0.1	"4,293"	31.5	9	0.1	18	0.1	598	4.4	"1,518"	11.2	"2,057"	15.2	DS	0	91	0.7	105	0.8	"3,220"	42	1	2
Referral to law enforcement total	"13,614"	100	95	0.7	"13,519"	99.3	25	0.2	93	0.7	"1,696"	12.5	"3,836"	28.4	"7,621"	56.4	4	0	244	1.8	322	2.4	"3,220"	42	1	2
School-related arrests on males	"3,880"	67.7	32	0.6	"3,848"	67.1	8	0.1	23	0.4	554	9.7	"1,191"	20.9	"2,022"	35.5	DS	0	48	0.8	110	1.9	"3,220"	42	1	2
School-related arrests on females	"1,853"	32.3	4	0.1	"1,849"	32.3	DS	0	9	0.2	234	4.1	796	14	763	13.4	0	0	45	0.8	38	0.7	"3,220"	42	1	2
School-related arrests total	"5,733"	100	36	0.6	"5,697"	99.4	10	0.2	32	0.6	788	13.8	"1,987"	34.9	"2,785"	48.9	DS	0	93	1.6	148	2.6	"3,220"	42	1	2
