Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on males	17	77.3	DS	9.1	15	68.2	0	0	0	0	0	0	15	75	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with educational services on females	5	22.7	0	0	5	22.7	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with educational services total	22	100	DS	9.1	20	90.9	0	0	0	0	0	0	20	100	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services on males	9	69.2	0	0	9	69.2	0	0	0	0	DS	15.4	7	53.8	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services on females	4	30.8	0	0	4	30.8	0	0	0	0	0	0	4	30.8	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions without educational services total	13	100	0	0	13	100	0	0	0	0	DS	15.4	11	84.6	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services on males	27	75	DS	5.6	25	69.4	0	0	0	0	DS	5.9	23	67.6	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services on females	9	25	0	0	9	25	0	0	0	0	0	0	9	26.5	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions with or without educational services total	36	100	DS	5.6	34	94.4	0	0	0	0	DS	5.9	32	94.1	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies on males	7	63.6	DS	18.2	5	45.5	0	0	0	0	0	0	5	55.6	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies on females	4	36.4	0	0	4	36.4	0	0	0	0	0	0	4	44.4	0	0	0	0	0	0	0	0	211	11	3	5
Expulsions under zero-tolerance policies total	11	100	DS	18.2	9	81.8	0	0	0	0	0	0	9	100	0	0	0	0	0	0	0	0	211	11	3	5
Referral to law enforcement on males	14	70	0	0	14	70	0	0	0	0	0	0	14	70	0	0	0	0	0	0	0	0	211	11	3	5
Referral to law enforcement on females	6	30	0	0	6	30	0	0	0	0	0	0	6	30	0	0	0	0	0	0	0	0	211	11	3	5
Referral to law enforcement total	20	100	0	0	20	100	0	0	0	0	0	0	20	100	0	0	0	0	0	0	0	0	211	11	3	5
School-related arrests on males	4	100	DS	50	DS	50	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	211	11	3	5
School-related arrests on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	11	3	5
School-related arrests total	4	100	DS	50	DS	50	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	211	11	3	5
