Jefferson,145,12,8.30%,140,17,12.10%,46.70%
Johnson,"1,382",74,5.40%,"1,830",117,6.40%,19.40%
Jones,227,15,6.60%,209,14,6.70%,1.40%
Keokuk,154,10,6.50%,128,8,6.30%,-3.70%
,Live,Low,,Live Low,,2000-2012,
County,Births,Birthweight,Percentage,Births Birthweight,Percentage,Change,
Kossuth,166,9,5.40%,151 8,5.30%,-2.30%,
Lee,410,34,8.30%,431 37,8.60%,3.50%,
Linn,"2,715",150,5.50%,"2,722 170",6.20%,13.00%,
Louisa,164,16,9.80%,137 17,12.40%,27.20%,
Lucas,119,6,5.00%,82 5,6.10%,20.90%,
Lyon,159,*,NA,169 14,8.30%,NA,
Madison,196,15,7.70%,166 12,7.20%,-5.50%,
Mahaska,283,22,7.80%,267 7,2.60%,-66.30%,
Marion,383,26,6.80%,368 32,8.70%,28.10%,
Marshall,556,32,5.80%,583 32,5.50%,-4.60%,
Mills,155,5,3.20%,179 12,6.70%,107.80%,
Mitchell,131,4,3.10%,106 *,NA,NA,
Monona,98,7,7.10%,95 4,4.20%,-41.10%,
Monroe,102,*,NA,82 9,11.00%,NA,
Montgomery,139,7,5.00%,114 7,6.10%,21.90%,
Muscatine,638,27,4.20%,557 48,8.60%,103.60%,
O'Brien,187,7,3.70%,153 10,6.50%,74.60%,
Osceola,73,5,6.80%,80 *,NA,NA,
Page,169,9,5.30%,183 4,2.20%,-59.00%,
Palo Alto,110,*,NA,88 4,4.50%,NA,
Plymouth,309,14,4.50%,293 18,6.10%,35.60%,
Pocahontas,73,*,NA,69 7,10.10%,NA,
Polk,"6,216",387,6.20%,"6,729 469",7.00%,11.90%,
Pottawattamie,"1,184",76,6.40%,"1,180 89",7.50%,17.50%,
Poweshiek,212,13,6.10%,178 11,6.20%,0.80%,
Ringgold,69,4,5.80%,56 *,NA,NA,
Sac,135,12,8.90%,101 14,13.90%,55.90%,
Scott,"2,348",166,7.10%,"2,200 140",6.40%,-10.00%,
Shelby,150,12,8.00%,135 7,5.20%,-35.20%,
Sioux,457,16,3.50%,510 26,5.10%,45.60%,
Story,940,47,5.00%,919 48,5.20%,4.50%,
Tama,251,19,7.60%,219 20,9.10%,20.60%,
Taylor,87,13,14.90%,77 *,NA,NA,
Union,127,7,5.50%,130 9,6.90%,25.60%,
Van Buren,97,*,NA,107 *,NA,NA,
Wapello,424,36,8.50%,432 36,8.30%,-1.90%,
Warren,513,28,5.50%,542 35,6.50%,18.30%,
Washington,290,16,5.50%,278 22,7.90%,43.40%,
Wayne,79,4,5.10%,92 5,5.40%,7.30%,
Webster,492,30,6.10%,449 30,6.70%,9.60%,
Winnebago,134,9,6.70%,105 9,8.60%,27.60%,
Winneshiek,191,12,6.30%,163 13,8.00%,26.90%,
Woodbury,"1,692",128,7.60%,"1,504 126",8.40%,10.70%,
Worth,84,11,13.10%,86 8,9.30%,-29.00%,
Wright,168,14,-6.3% 8.3%,128 10,7.80%,,
State,"38,250","2,346",6.10%,"38,686 2,578",6.70%,8.70%,
Rural,"5,454",338,6.20%,"5,130 352",6.90%,10.70%,
Small Urban,"13,547",822,6.10%,"13,567 895",6.60%,8.70%,
Metropolitan,"19,249","1,186",8.1% 6.2%,"19,989 1,331",6.70%,,
United States,"4,055,507","308,219",7.60%,"3,953,590 319,711",8.10%,6.40%,
