Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"8,625"	29.7	28	0.1	"8,597"	29.6	11	0	77	0.3	"2,334"	8.1	"4,272"	14.8	"1,829"	6.3	8	0	66	0.2	122	0.4	"2,538"	34	1	2
More than one out-of-school suspension total	"29,046"	100	131	0.5	"28,915"	99.5	30	0.1	390	1.3	"7,965"	27.5	"12,716"	44	"7,542"	26.1	27	0.1	245	0.8	532	1.8	"2,538"	34	1	2
One or more out-of-school suspensions on males	"44,090"	69.1	271	0.4	"43,819"	68.7	46	0.1	957	1.5	"11,598"	18.3	"16,493"	26	"14,323"	22.6	50	0.1	352	0.6	946	1.5	"2,538"	34	1	2
One or more out-of-school suspensions on females	"19,690"	30.9	72	0.1	"19,618"	30.8	25	0	264	0.4	"5,139"	8.1	"8,988"	14.2	"5,019"	7.9	18	0	165	0.3	315	0.5	"2,538"	34	1	2
One or more out-of-school suspensions total	"63,780"	100	343	0.5	"63,437"	99.5	71	0.1	"1,221"	1.9	"16,737"	26.4	"25,481"	40.2	"19,342"	30.5	68	0.1	517	0.8	"1,261"	2	"2,538"	34	1	2
Expulsions with educational services on males	195	65.2	DS	0.7	193	64.5	0	0	0	0	49	16.5	118	39.7	22	7.4	0	0	4	1.3	4	1.3	"2,538"	34	1	2
Expulsions with educational services on females	104	34.8	0	0	104	34.8	0	0	0	0	17	5.7	83	27.9	DS	0.7	0	0	DS	0.7	0	0	"2,538"	34	1	2
Expulsions with educational services total	299	100	DS	0.7	297	99.3	0	0	0	0	66	22.2	201	67.7	24	8.1	0	0	6	2	4	1.3	"2,538"	34	1	2
Expulsions without educational services on males	152	72	0	0	152	72	0	0	0	0	47	22.3	51	24.2	52	24.6	0	0	DS	0.9	0	0	"2,538"	34	1	2
Expulsions without educational services on females	59	28	0	0	59	28	0	0	0	0	15	7.1	28	13.3	14	6.6	0	0	DS	0.9	0	0	"2,538"	34	1	2
Expulsions without educational services total	211	100	0	0	211	100	0	0	0	0	62	29.4	79	37.4	66	31.3	0	0	4	1.9	0	0	"2,538"	34	1	2
Expulsions with or without educational services on males	345	68.3	DS	0.4	343	67.9	0	0	0	0	96	19.1	169	33.6	74	14.7	0	0	4	0.8	4	0.8	"2,538"	34	1	2
Expulsions with or without educational services on females	160	31.7	0	0	160	31.7	0	0	0	0	32	6.4	110	21.9	16	3.2	0	0	DS	0.4	0	0	"2,538"	34	1	2
Expulsions with or without educational services total	505	100	DS	0.4	503	99.6	0	0	0	0	128	25.4	279	55.5	90	17.9	0	0	6	1.2	4	0.8	"2,538"	34	1	2
Expulsions under zero-tolerance policies on males	78	69	DS	1.8	76	67.3	0	0	0	0	20	18	38	34.2	16	14.4	0	0	DS	1.8	0	0	"2,538"	34	1	2
Expulsions under zero-tolerance policies on females	35	31	0	0	35	31	0	0	0	0	7	6.3	22	19.8	4	3.6	0	0	DS	1.8	0	0	"2,538"	34	1	2
Expulsions under zero-tolerance policies total	113	100	DS	1.8	111	98.2	0	0	0	0	27	24.3	60	54.1	20	18	0	0	4	3.6	0	0	"2,538"	34	1	2
Referral to law enforcement on males	"2,243"	71	17	0.5	"2,226"	70.4	6	0.2	42	1.3	410	13	667	21.2	"1,069"	34	6	0.2	26	0.8	19	0.6	"2,538"	34	1	2
Referral to law enforcement on females	918	29	DS	0.1	916	29	DS	0.1	16	0.5	144	4.6	316	10.1	420	13.4	0	0	18	0.6	4	0.1	"2,538"	34	1	2
Referral to law enforcement total	"3,161"	100	19	0.6	"3,142"	99.4	8	0.3	58	1.8	554	17.6	983	31.3	"1,489"	47.4	6	0.2	44	1.4	23	0.7	"2,538"	34	1	2
School-related arrests on males	669	70.5	4	0.4	665	70.1	DS	0.2	9	1	133	14.1	233	24.7	276	29.3	DS	0.2	10	1.1	15	1.6	"2,538"	34	1	2
School-related arrests on females	280	29.5	DS	0.2	278	29.3	0	0	4	0.4	38	4	110	11.7	119	12.6	0	0	7	0.7	DS	0.2	"2,538"	34	1	2
School-related arrests total	949	100	6	0.6	943	99.4	DS	0.2	13	1.4	171	18.1	343	36.4	395	41.9	DS	0.2	17	1.8	17	1.8	"2,538"	34	1	2
