County,2000 Total Population,2000 Family Investment,2000 Percentage,2010 Total Population,2010 Family Investment,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Greene,"10,366",148,1.40%,"9,336",105,1.10%,-21.20%,19_037,19,2,4,,
Grundy,"12,369",66,0.50%,"12,453",76,0.60%,14.40%,19_038,19,2,4,,
Guthrie,"11,353",134,1.20%,"10,954",76,0.70%,-41.20%,19_039,19,2,4,,
Hamilton,"16,438",183,1.10%,"15,673",191,1.20%,9.50%,19_040,19,2,4,,
Hancock,"12,100",88,0.70%,"11,341",62,0.50%,-24.80%,19_041,19,2,4,,
Hardin,"18,812",239,1.30%,"17,534",225,1.30%,1.00%,19_042,19,2,4,,
Harrison,"15,666",181,1.20%,"14,928",169,1.10%,-2.00%,19_043,19,2,4,,
Henry,"20,336",219,1.10%,"20,145",354,1.80%,63.20%,19_044,19,2,4,,
Howard,"9,932",101,1.00%,"9,566",108,1.10%,11.00%,19_045,19,2,4,,
Humboldt,"10,381",123,1.20%,"9,815",101,1.00%,-13.20%,19_046,19,2,4,,
Ida,"7,837",65,0.80%,"7,089",37,0.50%,-37.10%,19_047,19,2,4,,
Iowa,"15,671",108,0.70%,"16,355",116,0.70%,2.90%,19_048,19,2,4,,
Jackson,"20,296",274,1.40%,"19,848",270,1.40%,0.80%,19_049,19,2,4,,
Jasper,"37,213",459,1.20%,"36,842",548,1.50%,20.60%,19_050,19,2,4,,
Jefferson,"16,181",287,1.80%,"16,843",287,1.70%,-3.90%,19_051,19,2,4,,
Johnson,"111,006","1,057",1.00%,"130,882","1,223",0.90%,-1.90%,19_052,19,2,4,,
Jones,"20,221",225,1.10%,"20,638",215,1.00%,-6.40%,19_053,19,2,4,,
Kossuth,"17,163",145,0.80%,"15,543",170,1.10%,29.50%,19_054,19,2,4,,
Lee,"38,052","1,164",3.10%,"35,862",854,2.40%,-22.20%,19_055,19,2,4,,
Linn,"191,701","3,162",1.60%,"211,226","2,740",1.30%,-21.40%,19_056,19,2,4,,
Louisa,"12,183",277,2.30%,"11,387",133,1.20%,-48.60%,19_057,19,2,4,,
Lucas,"9,422",219,2.30%,"8,898",204,2.30%,-1.40%,19_058,19,2,4,,
Lyon,"11,763",91,0.80%,"11,581",61,0.50%,-31.90%,19_059,19,2,4,,
Madison,"14,019",98,0.70%,"15,679",126,0.80%,15.00%,19_119,19,2,4,,
Mahaska,"22,335",435,1.90%,"22,381",497,2.20%,14.00%,19_121,19,2,4,,
Marion,"32,052",332,1.00%,"33,309",359,1.10%,4.10%,19_123,19,2,4,,
Marshall,"39,311",899,2.30%,"40,648",788,1.90%,-15.20%,19_125,19,2,4,,
Mills,"14,547",270,1.90%,"15,059",135,0.90%,-51.70%,19_127,19,2,4,,
Mitchell,"10,874",52,0.50%,"10,776",31,0.30%,-39.80%,19_129,19,2,4,,
Monona,"10,020",96,1.00%,"9,243",65,0.70%,-26.60%,19_131,19,2,4,,
Monroe,"8,016",141,1.80%,"7,970",111,1.40%,-20.80%,19_133,19,2,4,,
Montgomery,"11,771",238,2.00%,"10,740",248,2.30%,14.20%,19_135,19,2,4,,
Muscatine,"41,722","1,104",2.60%,"42,745",816,1.90%,-27.90%,19_137,19,2,4,,
O'Brien,"15,102",110,0.70%,"14,398",171,1.20%,63.10%,19_139,19,2,4,,
Osceola,"7,003",46,0.70%,"6,462",44,0.70%,3.70%,19_141,19,2,4,,
Page,"16,976",432,2.50%,"15,932",228,1.40%,-43.80%,19_143,19,2,4,,
Palo Alto,"10,147",68,0.70%,"9,421",85,0.90%,34.60%,19_145,19,2,4,,
Plymouth,"24,849",186,0.70%,"24,986",119,0.50%,-36.40%,19_147,19,2,4,,
Pocahontas,"8,662",127,1.50%,"7,310",122,1.70%,13.80%,19_149,19,2,4,,
Polk,"374,601","7,873",2.10%,"430,640","7,542",1.80%,-16.70%,19_151,19,2,4,,
Pottawattamie,"87,704","2,225",2.50%,"93,158","2,027",2.20%,-14.20%,19_153,19,2,4,,
Poweshiek,"18,815",192,1.00%,"18,914",288 ,1.50%,49.20%,19_155,19,2,4,,
Ringgold,"5,469",71,1.30%,"5,131",52 ,1.00%,-21.90%,19_157,19,2,4,,
Sac,"11,529",101,0.90%,"10,350",79,0.80%,-12.90%,19_159,19,2,4,,
Scott,"158,668","5,632",3.50%,"165,224","4,053",2.50%,-30.90%,19_161,19,2,4,,
Shelby,"13,173",122,0.90%,"12,167",72,0.60%,-36.10%,19_163,19,2,4,,
Sioux,"31,589",177,0.60%,"33,704",190,0.60%,0.60%,19_165,19,2,4,,
Story,"79,981",597,0.70%,"89,542",680,0.80%,1.70%,19_167,19,2,4,,
Tama,"18,103",211,1.20%,"17,767",176,1.00%,-15.00%,19_169,19,2,4,,
Taylor,"6,958",88,1.30%,"6,317",64,1.00%,-19.90%,19_171,19,2,4,,
Union,"12,309",176,1.40%,"12,534",220,1.80%,22.80%,19_173,19,2,4,,
Van Buren,"7,809",131,1.70%,"7,570",122,1.60%,-3.90%,19_175,19,2,4,,
Wapello,"36,051","1,237",3.40%,"35,625","1,022",2.90%,-16.40%,19_177,19,2,4,,
Warren,"40,671",357,0.90%,"46,225",380,0.80%,-6.30%,19_179,19,2,4,,
Washington,"20,670",259,1.30%,"21,704",290,1.30%,6.60%,19_181,19,2,4,,
Wayne,"6,730",164,2.40%,"6,403",107,1.70%,-31.40%,19_183,19,2,4,,
Webster,"40,235","1,053",2.60%,"38,013",742,2.00%,-25.40%,19_185,19,2,4,,
Winnebago,"11,723",88,0.80%,"10,866",98,0.90%,20.10%,19_187,19,2,4,,
Winneshiek,"21,310",116,0.50%,"21,056",172,0.80%,50.10%,19_189,19,2,4,,
Woodbury,"103,877","2,318",2.20%,"102,172","1,748",1.70%,-23.30%,19_191,19,2,4,,
Worth,"7,909",28,0.40%,"7,598",59,0.80%,119.30%,19_193,19,2,4,,
Wright,"14,334",144,1.00%,"13,229",228,1.70%,71.60%,19_195,19,2,4,,
State,"2,926,324","51,844",1.80%,"3,046,355","45,431 1.5",1.50%,-15.80%,19_197,19,2,4,,
Rural,"482,942","5,276",1.10%,"462,073","4,805 1.0",1.00%,-4.80%,,19,2,4,,
Small Urban,"1,118,689","18,176",1.60%,"1,136,695","16,212 1.4",1.40%,-12.20%,,,,,,IA_Rural_Counties
Metropolitan,"1,324,693","28,392",2.10%,"1,447,587","24,414 1.7",1.70%,-21.30%,,,,,,IA_Urban_Counties
United States,"281,421,906","5,778,034",2.10%,"308,745,538","4,370,844 1.4",1.40%,-31.00%,,,,,,IA_Metropolitan_Counties
,,,,,,,,,,,,US_National,
