Fremont,"1,631",539,33.00%,"1,326",612,46.20%,39.70%
Greene,"2,095",658,31.40%,"1,561",772,49.50%,57.50%
Grundy,"2,527",555,22.00%,"2,787",779,28.00%,27.30%
Guthrie,"2,228",638,28.60%,"2,568",951,37.00%,29.30%
Hamilton,"2,987",679,22.70%,"2,787","1,187",42.60%,87.40%
Hancock,"2,078",479,23.10%,"1,674",585,34.90%,51.60%
Hardin,"3,406",935,27.50%,"3,058","1,303",42.60%,55.20%
Harrison,"3,413","1,021",29.90%,"2,875","1,018",35.40%,18.40%
Henry,"3,818",933,24.40%,"3,558","1,550",43.60%,78.30%
Howard,"2,039",525,25.70%,"1,654",728,44.00%,70.90%
Humboldt,"1,890",410,21.70%,"1,570",617,39.30%,81.20%
Ida,"1,437",449,31.20%,"1,185",395,33.30%,6.70%
Iowa,"2,870",527,18.40%,"2,666",775,29.10%,58.30%
Jackson,"3,589","1,040",29.00%,"2,990","1,186",39.70%,36.90%
Jasper,"6,431","1,189",18.50%,"5,884","2,229",37.90%,104.90%
Jefferson,"2,137",462,21.60%,"1,709",758,44.40%,105.20%
Johnson,"13,443","2,210",16.40%,"16,607","4,556",27.40%,66.90%
Jones,"3,428",896,26.10%,"3,074","1,093",35.60%,36.00%
Keokuk,"2,402",644,26.80%,"1,882",616,32.70%,22.10%
,,Free/Red.,,,Free/Red.,2000-2013,
County,Enrollment,Eligible,Percentage,Enrollment,Eligible Percentage,Change,
Kossuth,"2,539",730,28.80%,"2,123",831 39.1%,36.10%,
Lee,"6,144","2,080",33.90%,"5,135","2,510 48.9%",44.40%,
Linn,"32,737","6,880",21.00%,"36,579","12,095 33.1%",57.30%,
Louisa,"3,001","1,049",35.00%,"2,559","1,343 52.5%",50.10%,
Lucas,"1,546",473,30.60%,"1,408",745 52.9%,72.90%,
Lyon,"2,058",462,22.40%,"2,036",578 28.4%,26.50%,
Madison,"2,920",524,17.90%,"3,386",944 27.9%,55.40%,
Mahaska,"3,341",940,28.10%,"3,057","1,369 44.8%",59.20%,
Marion,"5,938","1,111",18.70%,"5,648","1,758 31.1%",66.40%,
Marshall,"6,685","2,517",37.70%,"6,948","4,167 60.0%",59.30%,
Mills,"2,773",826,29.80%,"2,643",992 37.5%,26.00%,
Mitchell,"1,847",417,22.60%,"1,656",547 33.0%,46.30%,
Monona,"1,631",490,30.00%,"1,626",835 51.4%,70.90%,
Monroe,"1,283",449,35.00%,"1,203",524 43.6%,24.50%,
Montgomery,"2,107",642,30.50%,"1,798",939 52.2%,71.40%,
Muscatine,"7,537","2,210",29.30%,"7,576","3,745 49.4%",68.60%,
O'Brien,"2,758",709,25.70%,"2,351",807 34.3%,33.50%,
Osceola,"1,004",214,21.30%,813,331 40.7%,91.00%,
Page,"2,921",686,23.50%,"2,543","1,111 43.7%",86.00%,
Palo Alto,"1,889",576,30.50%,"1,724",660 38.3%,25.50%,
Plymouth,"4,495",803,17.90%,"4,251","1,169 27.5%",53.90%,
Pocahontas,"1,342",402,30.00%,"1,041",483 46.4%,54.90%,
Polk,"60,934","16,121",26.50%,"73,879","32,941 44.6%",68.50%,
Pottawattamie,"17,275","5,277",30.50%,"15,823","7,777 49.1%",60.90%,
Poweshiek,"3,099",673,21.70%,"2,899","1,011 34.9%",60.60%,
Ringgold,916,362,39.50%,791,384 48.5%,22.80%,
Sac,"2,246",698,31.10%,"1,714",727 42.4%,36.50%,
Scott,"27,854","8,044",28.90%,"28,538","11,835 41.5%",43.60%,
Shelby,"2,618",713,27.20%,"1,819",606 33.3%,22.30%,
Sioux,"4,271",973,22.80%,"4,726","1,663 35.2%",54.50%,
Story,"11,093","1,654",14.90%,"11,281","2,830 25.1%",68.20%,
Tama,"3,491",987,28.30%,"2,462","1,065 43.3%",53.00%,
Taylor,"1,316",491,37.30%,"1,011",533 52.7%,41.30%,
Union,"2,092",774,37.00%,"2,093",975 46.6%,25.90%,
Van Buren,"1,358",466,34.30%,925,459 49.6%,44.60%,
Wapello,"6,560","2,377",36.20%,"6,256","3,573 57.1%",57.60%,
Warren,"7,703","1,031",13.40%,"9,375","2,379 25.4%",89.60%,
Washington,"3,550",792,22.30%,"3,913","1,380 35.3%",58.10%,
Wayne,"1,137",489,43.00%,"1,060",566 53.4%,24.20%,
Webster,"5,819","1,935",33.30%,"5,080","2,792 55.0%",65.30%,
Winnebago,"2,866",641,22.40%,"2,389",877 36.7%,64.10%,
Winneshiek,"2,795",543,19.40%,"2,956",764 25.8%,33.00%,
Woodbury,"18,604","5,834",31.40%,"18,246","9,397 51.5%",64.20%,
Worth,"1,150",291,25.30%,"1,374",506 36.8%,45.50%,
Wright,"2,966",830,78.1% 28.0%,"2,621","1,306 49.8%",,
State,"494,962","130,931",52.3% 26.5%,"500,601","201,687 40.3%",,
Rural,"89,915","24,937",27.70%,"76,602","30,583 39.9%",44.00%,
Small Urban,"193,031","50,337",26.10%,"189,846","75,570 39.8%",52.60%,
Metropolitan,"212,016","55,657",55.4% 26.3%,"234,153","95,534 40.8%",,
United States,"46,857,149","15,900,376",33.90%,"48,995,812","24,291,646 49.6%",46.10%,
