State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Louisiana		22	3	7	142	0	0	DS	1.4	7	4.9	80	56.3	51	35.9	0	0	DS	1.4	6	4.2	0	0	"1,394"
Maine		23	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	595
Maryland		24	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	250	DS	0.8	DS	0.8	18	7.2	14	5.6	214	85.6	0	0	0	0	4	1.6	DS	0.8	"3,626"
Minnesota		27	2	4	361	0	0	0	0	6	1.7	304	84.2	41	11.4	5	1.4	5	1.4	10	2.8	5	1.4	"2,077"
Mississippi		28	3	6	98	0	0	0	0	4	4.1	62	63.3	32	32.7	0	0	0	0	0	0	0	0	973
Missouri		29	2	4	67	DS	3	0	0	DS	3	8	11.9	53	79.1	DS	3	0	0	DS	3	DS	3	"2,312"
Montana		30	4	8	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	781
Nebraska		31	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	20	DS	10	0	0	6	30	5	25	5	25	0	0	DS	10	0	0	0	0	649
New Hampshire		33	1	1	11	0	0	0	0	0	0	0	0	11	100	0	0	0	0	0	0	0	0	478
New Jersey		34	1	2	117	0	0	0	0	29	24.8	81	69.2	7	6	0	0	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	6	DS	33.3	0	0	DS	33.3	0	0	DS	33.3	0	0	0	0	0	0	0	0	853
New York		36	1	2	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	9	0	0	0	0	0	0	5	55.6	DS	22.2	DS	22.2	0	0	0	0	0	0	"2,535"
North Dakota		38	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	145	0	0	0	0	DS	1.4	49	33.8	89	61.4	0	0	5	3.4	DS	1.4	DS	1.4	"3,702"
Oklahoma		40	3	7	99	5	5.1	DS	2	14	14.1	26	26.3	50	50.5	0	0	DS	2	DS	2	DS	2	"1,774"
Oregon		41	9	4	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	"1,312"
Pennsylvania		42	1	2	28	0	0	0	0	0	0	11	39.3	15	53.6	0	0	DS	7.1	0	0	0	0	"3,220"
Rhode Island		44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291
South Carolina		45	3	5	104	0	0	0	0	5	4.8	73	70.2	24	23.1	0	0	DS	1.9	0	0	DS	1.9	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	38	0	0	0	0	DS	5.3	21	55.3	13	34.2	0	0	DS	5.3	25	65.8	0	0	"1,802"
Texas		48	3	7	673	4	0.6	DS	0.3	369	54.8	193	28.7	97	14.4	DS	0.3	6	0.9	9	1.3	57	8.5	"8,472"
Utah		49	4	8	11	DS	18.2	0	0	DS	18.2	0	0	7	63.6	0	0	0	0	0	0	0	0	981
Vermont		50	1	1	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	295
Virginia		51	3	5	30	DS	6.7	0	0	DS	6.7	18	60	6	20	0	0	DS	6.7	4	13.3	DS	6.7	"1,984"
Washington		53	4	9	161	DS	1.2	0	0	35	21.7	DS	1.2	120	74.5	0	0	DS	1.2	4	2.5	DS	1.2	"2,256"
West Virginia		54	3	5	9	0	0	0	0	0	0	DS	22.2	7	77.8	0	0	0	0	0	0	0	0	733
Wisconsin		55	2	3	206	DS	1	DS	1	8	3.9	7	3.4	185	89.8	0	0	DS	1	0	0	DS	1	"2,242"
Wyoming		56	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
