Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2006,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 3-5                                 ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Special Education Paraprofessionals for Ages 6-21                                ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Total Special Education Paraprofessionals                                        ,"1,279.00",53,"1,331.00",          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Audiologists                                                                     ,          N/V,          N/V,          N/V,3,0,3
2006,Alaska                                       ,,2,4,9,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,150,7,157
2006,Alaska                                       ,,2,4,9,Interpreters                                                                     ,          N/V,          N/V,          N/V,23,1,23
2006,Alaska                                       ,,2,4,9,Psychologists                                                                    ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,45,2,47
2006,Alaska                                       ,,2,4,9,Physical Therapists                                                              ,          N/V,          N/V,          N/V,16,0,16
2006,Alaska                                       ,,2,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,12,3,15
2006,Alaska                                       ,,2,4,9,Social Workers                                                                   ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Alaska                                       ,,2,4,9,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,0,0
2006,Alaska                                       ,,2,4,9,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,0,0,0
2006,Alaska                                       ,,2,4,9,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,7,0,7
2006,American Samoa                               ,,60,,,Special Education Teachers for Ages 3-5                                          ,2,12,14,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Special Education Teachers for Ages 6-21                                         ,53,111,164,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Total Special Education Teachers                                                 ,55,123,178,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Special Education Paraprofessionals for Ages 3-5                                 ,0,0,0,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Special Education Paraprofessionals for Ages 6-21                                ,3,10,13,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Total Special Education Paraprofessionals                                        ,3,10,13,          N/V,          N/V,          N/V
2006,American Samoa                               ,,60,,,Audiologists                                                                     ,          N/V,          N/V,          N/V,0,0,0
2006,American Samoa                               ,,60,,,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,0,0,0
2006,American Samoa                               ,,60,,,Interpreters                                                                     ,          N/V,          N/V,          N/V,0,0,0
2006,American Samoa                               ,,60,,,Psychologists                                                                    ,          N/V,          N/V,          N/V,5,2,7
2006,American Samoa                               ,,60,,,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,0,0,0
2006,American Samoa                               ,,60,,,Physical Therapists                                                              ,          N/V,          N/V,          N/V,1,0,1
2006,American Samoa                               ,,60,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,0,0,0
2006,American Samoa                               ,,60,,,Social Workers                                                                   ,          N/V,          N/V,          N/V,1,0,1
2006,American Samoa                               ,,60,,,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,2,2
2006,American Samoa                               ,,60,,,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,1,3,4
2006,American Samoa                               ,,60,,,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,0,2,2
2006,Arizona                                      ,,4,4,8,Special Education Teachers for Ages 3-5                                          ,525,129,654,          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Special Education Teachers for Ages 6-21                                         ,"5,144.00",832,"5,976.00",          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Total Special Education Teachers                                                 ,"5,669.00",961,"6,630.00",          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Special Education Paraprofessionals for Ages 3-5                                 ,774,280,"1,054.00",          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Special Education Paraprofessionals for Ages 6-21                                ,"5,801.00","1,879.00","7,680.00",          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Total Special Education Paraprofessionals                                        ,"6,575.00","2,159.00","8,734.00",          N/V,          N/V,          N/V
2006,Arizona                                      ,,4,4,8,Audiologists                                                                     ,          N/V,          N/V,          N/V,59,4,63
2006,Arizona                                      ,,4,4,8,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,"1,175.00",26,"1,201.00"
2006,Arizona                                      ,,4,4,8,Interpreters                                                                     ,          N/V,          N/V,          N/V,131,91,222
2006,Arizona                                      ,,4,4,8,Psychologists                                                                    ,          N/V,          N/V,          N/V,843,20,862
2006,Arizona                                      ,,4,4,8,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,338,3,341
2006,Arizona                                      ,,4,4,8,Physical Therapists                                                              ,          N/V,          N/V,          N/V,162,1,164
2006,Arizona                                      ,,4,4,8,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,292,41,334
2006,Arizona                                      ,,4,4,8,Social Workers                                                                   ,          N/V,          N/V,          N/V,204,15,219
2006,Arizona                                      ,,4,4,8,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,609,51,659
2006,Arizona                                      ,,4,4,8,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,559,36,595
2006,Arizona                                      ,,4,4,8,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,54,3,57
2006,Arkansas                                     ,,5,3,7,Special Education Teachers for Ages 3-5                                          ,431,123,554,          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Special Education Teachers for Ages 6-21                                         ,"3,489.00",314,"3,803.00",          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Total Special Education Teachers                                                 ,"3,920.00",437,"4,357.00",          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Special Education Paraprofessionals for Ages 3-5                                 ,333,438,771,          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Special Education Paraprofessionals for Ages 6-21                                ,"1,857.00",467,"2,324.00",          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Total Special Education Paraprofessionals                                        ,"2,190.00",905,"3,095.00",          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Audiologists                                                                     ,          N/V,          N/V,          N/V,4,0,4
2006,Arkansas                                     ,,5,3,7,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Arkansas                                     ,,5,3,7,Interpreters                                                                     ,          N/V,          N/V,          N/V,44,8,51
2006,Arkansas                                     ,,5,3,7,Psychologists                                                                    ,          N/V,          N/V,          N/V,173,2,175
2006,Arkansas                                     ,,5,3,7,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,217,0,218
2006,Arkansas                                     ,,5,3,7,Physical Therapists                                                              ,          N/V,          N/V,          N/V,134,1,135
2006,Arkansas                                     ,,5,3,7,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,1,0,1
2006,Arkansas                                     ,,5,3,7,Social Workers                                                                   ,          N/V,          N/V,          N/V,13,2,15
2006,Arkansas                                     ,,5,3,7,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,66,9,75
2006,Arkansas                                     ,,5,3,7,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,32,1,33
2006,Arkansas                                     ,,5,3,7,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,156,30,186
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Special Education Teachers for Ages 3-5                                          ,33,5,38,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Special Education Teachers for Ages 6-21                                         ,470,35,505,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Total Special Education Teachers                                                 ,502,40,542,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Special Education Paraprofessionals for Ages 3-5                                 ,33,27,60,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Special Education Paraprofessionals for Ages 6-21                                ,589,36,625,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Total Special Education Paraprofessionals                                        ,622,63,685,          N/V,          N/V,          N/V
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Audiologists                                                                     ,          N/V,          N/V,          N/V,12,0,12
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,123,6,128
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Interpreters                                                                     ,          N/V,          N/V,          N/V,5,0,5
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Psychologists                                                                    ,          N/V,          N/V,          N/V,102,2,104
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,66,0,66
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Physical Therapists                                                              ,          N/V,          N/V,          N/V,36,1,37
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,24,5,29
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Social Workers                                                                   ,          N/V,          N/V,          N/V,29,1,30
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,23,0,23
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,78,2,80
2006,Bur. of Indian Affairs                       ,AI_Territory_National,,,,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,2,0,2
2006,California                                   ,,6,4,9,Special Education Teachers for Ages 3-5                                          ,"1,831.00",192,"2,022.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Special Education Teachers for Ages 6-21                                         ,"28,917.00","3,252.00","32,169.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Total Special Education Teachers                                                 ,"30,748.00","3,443.00","34,191.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Special Education Paraprofessionals for Ages 3-5                                 ,"3,166.00",284,"3,450.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Special Education Paraprofessionals for Ages 6-21                                ,"34,623.00","9,107.00","43,730.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Total Special Education Paraprofessionals                                        ,"37,789.00","9,391.00","47,180.00",          N/V,          N/V,          N/V
2006,California                                   ,,6,4,9,Audiologists                                                                     ,          N/V,          N/V,          N/V,195,2,198
2006,California                                   ,,6,4,9,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,"5,076.00",255,"5,331.00"
2006,California                                   ,,6,4,9,Interpreters                                                                     ,          N/V,          N/V,          N/V,"1,047.00",115,"1,161.00"
2006,California                                   ,,6,4,9,Psychologists                                                                    ,          N/V,          N/V,          N/V,"4,017.00",58,"4,075.00"
2006,California                                   ,,6,4,9,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,903,40,943
2006,California                                   ,,6,4,9,Physical Therapists                                                              ,          N/V,          N/V,          N/V,260,3,263
2006,California                                   ,,6,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,913,58,972
2006,California                                   ,,6,4,9,Social Workers                                                                   ,          N/V,          N/V,          N/V,228,2,230
2006,California                                   ,,6,4,9,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,"2,161.00",77,"2,237.00"
2006,California                                   ,,6,4,9,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,529,38,567
2006,California                                   ,,6,4,9,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,153,3,156
2006,Colorado                                     ,,8,4,8,Special Education Teachers for Ages 3-5                                          ,235,48,283,          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Special Education Teachers for Ages 6-21                                         ,"4,245.00",520,"4,765.00",          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Total Special Education Teachers                                                 ,"4,480.00",568,"5,047.00",          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Special Education Paraprofessionals for Ages 3-5                                 ,266,0,266,          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Special Education Paraprofessionals for Ages 6-21                                ,"5,469.00",0,"5,469.00",          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Total Special Education Paraprofessionals                                        ,"5,735.00",0,"5,735.00",          N/V,          N/V,          N/V
2006,Colorado                                     ,,8,4,8,Audiologists                                                                     ,          N/V,          N/V,          N/V,54,0,54
2006,Colorado                                     ,,8,4,8,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,914,33,947
2006,Colorado                                     ,,8,4,8,Interpreters                                                                     ,          N/V,          N/V,          N/V,92,35,126
2006,Colorado                                     ,,8,4,8,Psychologists                                                                    ,          N/V,          N/V,          N/V,610,19,629
2006,Colorado                                     ,,8,4,8,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,312,7,319
2006,Colorado                                     ,,8,4,8,Physical Therapists                                                              ,          N/V,          N/V,          N/V,88,1,89
2006,Colorado                                     ,,8,4,8,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,29,2,31
2006,Colorado                                     ,,8,4,8,Social Workers                                                                   ,          N/V,          N/V,          N/V,324,16,340
2006,Colorado                                     ,,8,4,8,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,175,34,209
2006,Colorado                                     ,,8,4,8,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,77,17,94
2006,Colorado                                     ,,8,4,8,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,5,0,6
2006,Connecticut                                  ,,9,1,1,Special Education Teachers for Ages 3-5                                          ,31,0,31,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Special Education Teachers for Ages 6-21                                         ,"4,892.00",0,"4,892.00",          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Total Special Education Teachers                                                 ,"4,922.00",0,"4,922.00",          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Special Education Paraprofessionals for Ages 3-5                                 ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Special Education Paraprofessionals for Ages 6-21                                ,"8,538.00",0,"8,538.00",          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Total Special Education Paraprofessionals                                        ,"8,538.00",0,"8,538.00",          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Audiologists                                                                     ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,969,0,969
2006,Connecticut                                  ,,9,1,1,Interpreters                                                                     ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Psychologists                                                                    ,          N/V,          N/V,          N/V,888,0,888
2006,Connecticut                                  ,,9,1,1,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Physical Therapists                                                              ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Social Workers                                                                   ,          N/V,          N/V,          N/V,746,0,746
2006,Connecticut                                  ,,9,1,1,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Connecticut                                  ,,9,1,1,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,"1,366.00",0,"1,366.00"
2006,Connecticut                                  ,,9,1,1,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Special Education Teachers for Ages 3-5                                          ,113,2,115,          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Special Education Teachers for Ages 6-21                                         ,738,727,"1,465.00",          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Total Special Education Teachers                                                 ,851,729,"1,580.00",          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Special Education Paraprofessionals for Ages 3-5                                 ,0,0,0,          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Special Education Paraprofessionals for Ages 6-21                                ,450,553,"1,003.00",          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Total Special Education Paraprofessionals                                        ,450,553,"1,003.00",          N/V,          N/V,          N/V
2006,Delaware                                     ,,10,3,5,Audiologists                                                                     ,          N/V,          N/V,          N/V,9,4,13
2006,Delaware                                     ,,10,3,5,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,72,56,128
2006,Delaware                                     ,,10,3,5,Interpreters                                                                     ,          N/V,          N/V,          N/V,0,0,0
2006,Delaware                                     ,,10,3,5,Psychologists                                                                    ,          N/V,          N/V,          N/V,112,2,114
2006,Delaware                                     ,,10,3,5,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,5,26,31
2006,Delaware                                     ,,10,3,5,Physical Therapists                                                              ,          N/V,          N/V,          N/V,4,6,10
2006,Delaware                                     ,,10,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,0,0,0
2006,Delaware                                     ,,10,3,5,Social Workers                                                                   ,          N/V,          N/V,          N/V,0,0,0
2006,Delaware                                     ,,10,3,5,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,0,0
2006,Delaware                                     ,,10,3,5,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,0,0,0
2006,Delaware                                     ,,10,3,5,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,0,0,0
2006,District of Columbia                         ,,11,3,5,Special Education Teachers for Ages 3-5                                          ,565,203,768,          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Special Education Teachers for Ages 6-21                                         ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Total Special Education Teachers                                                 ,565,203,768,          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Special Education Paraprofessionals for Ages 3-5                                 ,496,800,"1,296.00",          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Special Education Paraprofessionals for Ages 6-21                                ,          N/V,          N/V,          N/V,          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Total Special Education Paraprofessionals                                        ,496,800,"1,296.00",          N/V,          N/V,          N/V
2006,District of Columbia                         ,,11,3,5,Audiologists                                                                     ,          N/V,          N/V,          N/V,3,0,3
2006,District of Columbia                         ,,11,3,5,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,85,5,90
2006,District of Columbia                         ,,11,3,5,Interpreters                                                                     ,          N/V,          N/V,          N/V,0,0,0
2006,District of Columbia                         ,,11,3,5,Psychologists                                                                    ,          N/V,          N/V,          N/V,72,2,74
2006,District of Columbia                         ,,11,3,5,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,29,0,29
2006,District of Columbia                         ,,11,3,5,Physical Therapists                                                              ,          N/V,          N/V,          N/V,9,0,9
2006,District of Columbia                         ,,11,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,11,8,19
2006,District of Columbia                         ,,11,3,5,Social Workers                                                                   ,          N/V,          N/V,          N/V,106,8,114
2006,District of Columbia                         ,,11,3,5,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,0,0,0
2006,District of Columbia                         ,,11,3,5,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,28,4,32
2006,District of Columbia                         ,,11,3,5,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,0,0,0
2006,Florida                                      ,,12,3,5,Special Education Teachers for Ages 3-5                                          ,9,"1,383.00","1,392.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Special Education Teachers for Ages 6-21                                         ,"7,879.00","9,276.00","17,155.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Total Special Education Teachers                                                 ,"7,887.00","10,659.00","18,546.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Special Education Paraprofessionals for Ages 3-5                                 ,611,715,"1,326.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Special Education Paraprofessionals for Ages 6-21                                ,"5,623.00","7,177.00","12,800.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Total Special Education Paraprofessionals                                        ,"6,234.00","7,892.00","14,126.00",          N/V,          N/V,          N/V
2006,Florida                                      ,,12,3,5,Audiologists                                                                     ,          N/V,          N/V,          N/V,59,1,60
2006,Florida                                      ,,12,3,5,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,"2,838.00",11,"2,849.00"
2006,Florida                                      ,,12,3,5,Interpreters                                                                     ,          N/V,          N/V,          N/V,411,72,483
2006,Florida                                      ,,12,3,5,Psychologists                                                                    ,          N/V,          N/V,          N/V,925,7,932
2006,Florida                                      ,,12,3,5,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,554,7,560
2006,Florida                                      ,,12,3,5,Physical Therapists                                                              ,          N/V,          N/V,          N/V,225,0,225
2006,Florida                                      ,,12,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,226,0,226
2006,Florida                                      ,,12,3,5,Social Workers                                                                   ,          N/V,          N/V,          N/V,399,0,399
2006,Florida                                      ,,12,3,5,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,"1,041.00",0,"1,041.00"
2006,Florida                                      ,,12,3,5,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,465,5,470
2006,Florida                                      ,,12,3,5,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,81,2,83
2006,Georgia                                      ,,13,3,5,Special Education Teachers for Ages 3-5                                          ,572,162,734,          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Special Education Teachers for Ages 6-21                                         ,"13,609.00","1,767.00","15,376.00",          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Total Special Education Teachers                                                 ,"14,182.00","1,929.00","16,110.00",          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Special Education Paraprofessionals for Ages 3-5                                 ,734,0,734,          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Special Education Paraprofessionals for Ages 6-21                                ,"11,626.00",0,"11,626.00",          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Total Special Education Paraprofessionals                                        ,"12,360.00",0,"12,360.00",          N/V,          N/V,          N/V
2006,Georgia                                      ,,13,3,5,Audiologists                                                                     ,          N/V,          N/V,          N/V,26,0,26
2006,Georgia                                      ,,13,3,5,Speech-Language Pathologists                                                     ,          N/V,          N/V,          N/V,"1,895.00",0,"1,895.00"
2006,Georgia                                      ,,13,3,5,Interpreters                                                                     ,          N/V,          N/V,          N/V,66,186,252
2006,Georgia                                      ,,13,3,5,Psychologists                                                                    ,          N/V,          N/V,          N/V,721,0,721
2006,Georgia                                      ,,13,3,5,Occupational Therapists                                                          ,          N/V,          N/V,          N/V,268,0,268
2006,Georgia                                      ,,13,3,5,Physical Therapists                                                              ,          N/V,          N/V,          N/V,106,0,106
2006,Georgia                                      ,,13,3,5,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/V,          N/V,          N/V,92,0,92
2006,Georgia                                      ,,13,3,5,Social Workers                                                                   ,          N/V,          N/V,          N/V,112,0,112
2006,Georgia                                      ,,13,3,5,Medical/Nursing Service Staff                                                    ,          N/V,          N/V,          N/V,56,0,56
2006,Georgia                                      ,,13,3,5,Counselors and Rehabilitation Counselors                                         ,          N/V,          N/V,          N/V,20,0,20
2006,Georgia                                      ,,13,3,5,Orientation and Mobility Specialists                                             ,          N/V,          N/V,          N/V,5,0,5
