County,2000 9th Gr. Enrollment,2000 Graduates,2000 Percentage,2009 9th Gr. Enrollment,2009 Graduates,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Warren,584,517,88.50%,693,642,92.60%,4.60%,19_181,19,2,4,,
Washington,238,218,91.60%,284,266,93.70%,2.30%,19_183,19,2,4,,
Wayne,76,67,88.20%,112,104,92.90%,5.30%,19_185,19,2,4,,
Webster,418,341,81.60%,468,410,87.60%,7.40%,19_187,19,2,4,,
Winnebago,228,209,91.70%,201,188,93.50%,2.00%,19_189,19,2,4,,
Winneshiek,247,238,96.40%,263,257,97.70%,1.40%,19_191,19,2,4,,
Woodbury,"1,390","1,140",82.00%,"1,372","1,132",82.50%,0.60%,19_193,19,2,4,,
Worth,92,80,87.00%,130,121,93.10%,7.00%,19_195,19,2,4,,
Wright,235,212,90.20%,210,192,91.40%,1.30%,19_197,19,2,4,,
State,"37,759","33,504",88.70%,"38,369","33,463",87.20%,-1.70%,,19,2,4,,
Rural,"7,616","7,046",92.50%,"6,997","6,522",93.20%,0.80%,,,,,,IA_Rural_Counties
Small Urban,"15,204","13,470",88.60%,"14,793","13,073",88.40%,-0.30%,,,,,,IA_Urban_Counties
Metropolitan,"14,939","12,988",86.90%,"16,579","13,868",83.60%,-3.80%,,,,,,IA_Metropolitan_Counties
United States,"3,561,847","2,553,844",71.70%,"4,024,933","3,018,700",75.00%,4.60%,,,,,US_National,
