State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races 	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Idaho		16	4	8	9	0	0	0	0	DS	22.2	0	0	7	77.8	0	0	0	0	0	0	703
Illinois		17	2	3	246	0	0	4	1.6	34	13.8	133	54.1	73	29.7	0	0	DS	0.8	DS	0.8	"4,221"
Indiana		18	2	3	83	0	0	DS	2.4	DS	2.4	6	7.2	71	85.5	0	0	DS	2.4	0	0	"1,875"
Iowa		19	2	4	23	0	0	DS	8.7	0	0	DS	8.7	17	73.9	0	0	DS	8.7	0	0	"1,458"
Kansas		20	2	4	25	0	0	0	0	DS	8	DS	8	21	84	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	9	0	0	0	0	0	0	DS	22.2	5	55.6	0	0	DS	22.2	0	0	"1,417"
Louisiana		22	3	7	59	DS	3.4	0	0	0	0	43	72.9	14	23.7	0	0	0	0	0	0	"1,394"
Maine		23	1	1	10	0	0	0	0	0	0	0	0	10	100	0	0	0	0	0	0	595
Maryland		24	3	5	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	51	0	0	0	0	12	23.5	4	7.8	35	68.6	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	212	4	1.9	0	0	7	3.3	25	11.8	172	81.1	0	0	4	1.9	0	0	"3,626"
Minnesota		27	2	4	252	11	4.4	DS	0.8	12	4.8	153	60.7	72	28.6	0	0	DS	0.8	5	2	"2,077"
Mississippi		28	3	6	50	0	0	0	0	0	0	31	62	19	38	0	0	0	0	0	0	973
Missouri		29	2	4	34	0	0	DS	5.9	0	0	11	32.4	21	61.8	0	0	0	0	DS	5.9	"2,312"
Montana		30	4	8	8	DS	25	0	0	0	0	0	0	6	75	0	0	0	0	0	0	781
Nebraska		31	2	4	25	DS	8	0	0	DS	8	4	16	17	68	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	17	0	0	0	0	5	29.4	5	29.4	5	29.4	0	0	DS	11.8	DS	11.8	649
New Hampshire		33	1	1	16	0	0	0	0	0	0	0	0	16	100	0	0	0	0	0	0	478
New Jersey		34	1	2	179	0	0	DS	1.1	27	15.1	123	68.7	27	15.1	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	10	DS	20	0	0	DS	20	DS	20	DS	20	0	0	DS	20	DS	20	853
New York		36	1	2	42	0	0	DS	4.8	DS	4.8	15	35.7	23	54.8	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	20	0	0	0	0	DS	10	12	60	4	20	0	0	DS	10	0	0	"2,535"
North Dakota		38	2	4	8	0	0	0	0	DS	25	DS	25	4	50	0	0	0	0	DS	25	468
Ohio		39	2	3	137	0	0	0	0	DS	1.5	29	21.2	102	74.5	0	0	4	2.9	DS	1.5	"3,702"
Oklahoma		40	3	7	117	11	9.4	0	0	5	4.3	47	40.2	54	46.2	0	0	0	0	DS	1.7	"1,774"
Oregon		41	9	4	32	DS	6.3	0	0	5	15.6	0	0	25	78.1	0	0	0	0	0	0	"1,312"
Pennsylvania		42	1	2	47	0	0	4	8.5	0	0	13	27.7	28	59.6	0	0	DS	4.3	4	8.5	"3,220"
Rhode Island		44	1	1	8	0	0	0	0	0	0	0	0	8	100	0	0	0	0	0	0	291
South Carolina		45	3	5	50	0	0	0	0	DS	4	37	74	11	22	0	0	0	0	DS	4	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	73	0	0	0	0	DS	2.7	12	16.4	59	80.8	0	0	0	0	4	5.5	"1,802"
Texas		48	3	7	204	DS	1	0	0	72	35.3	79	38.7	44	21.6	0	0	7	3.4	DS	1	"8,472"
Utah		49	4	8	52	DS	3.8	0	0	4	7.7	4	7.7	40	76.9	0	0	DS	3.8	DS	3.8	981
Vermont		50	1	1	16	0	0	DS	12.5	DS	12.5	0	0	12	75	0	0	0	0	0	0	295
Virginia		51	3	5	33	0	0	0	0	DS	6.1	12	36.4	17	51.5	0	0	DS	6.1	DS	6.1	"1,984"
Washington		53	4	9	49	0	0	0	0	14	28.6	0	0	31	63.3	0	0	4	8.2	4	8.2	"2,256"
West Virginia		54	3	5	12	0	0	0	0	0	0	0	0	10	83.3	0	0	DS	16.7	0	0	733
Wisconsin		55	2	3	111	4	3.6	0	0	5	4.5	9	8.1	89	80.2	DS	1.8	DS	1.8	0	0	"2,242"
Wyoming		56	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	349
