"Table 235.20. Revenues for public elementary and secondary schools, by source of funds and state or jurisdiction: 2014-15   ",,,,,,,,,,,,
[In current dollars],,,,,,,,,,,,
State or jurisdiction,Total (in thousands),Federal,,,State,,Local (including intermediate sources below the state level),,,,,
Kansas .....................,"6,225,153","556,947","1,120",8.9,"4,001,451",64.3,"1,666,755",26.8,"1,046,534",16.8,"145,280",2.3
Kentucky .................,"7,453,976","856,715","1,244",11.5,"4,093,058",54.9,"2,504,203",33.6,"1,835,257",24.6,"100,500",1.3
Louisiana ...................,"8,927,289","1,307,850","1,825",14.7,"3,875,345",43.4,"3,744,095",41.9,"1,628,062",18.2,"62,810",0.7
Maine .....................,"2,737,132","192,628","1,061",7.0,"1,077,156",39.4,"1,467,348",53.6,"1,391,560",50.8,"39,924",1.5
,,,,,,,,,,,,
Maryland ....................,"14,521,045","821,418",939,5.7,"6,316,683",43.5,"7,382,943",50.8,"3,596,601",24.8,"105,622",0.7
Massachusetts ..............,"17,197,389","903,425",945,5.3,"6,726,216",39.1,"9,567,749",55.6,"8,899,701",51.8,"235,395",1.4
Michigan .....................,"19,452,849","1,785,600","1,161",9.2,"11,706,291",60.2,"5,960,957",30.6,"5,111,145",26.3,"269,563",1.4
Minnesota ...................,"12,183,690","699,165",816,5.7,"8,131,825",66.7,"3,352,701",27.5,"2,166,287",17.8,"325,251",2.7
Mississippi .............,"4,550,410","672,385","1,370",14.8,"2,324,855",51.1,"1,553,170",34.1,"1,301,458",28.6,"107,670",2.4
,,,,,,,,,,,,
Missouri..................,"10,927,026","979,787","1,068",9.0,"3,555,885",32.5,"6,391,354",58.5,"4,983,067",45.6,"338,137",3.1
Montana .....................,"1,805,295","219,405","1,518",12.2,"863,889",47.9,"722,001",40.0,"454,161",25.2,"61,003",3.4
Nebraska ....................,"4,168,349","343,356","1,098",8.2,"1,350,595",32.4,"2,474,399",59.4,"2,212,733",53.1,"154,288",3.7
Nevada ....................,"4,522,125","416,393",907,9.2,"1,621,778",35.9,"2,483,954",54.9,"1,107,439",24.5,"35,287",0.8
New Hampshire ..................,"2,992,501","166,235",900,5.6,"1,000,374",33.4,"1,825,892",61.0,"1,739,969",58.1,"44,667",1.5
,,,,,,,,,,,,
New Jersey .................,"28,489,659","1,191,041",850,4.2,"11,989,910",42.1,"15,308,708",53.7,"14,566,159",51.1,"483,039",1.7
New Mexico .................,"3,986,781","557,590","1,638",14.0,"2,771,343",69.5,"657,848",16.5,"531,990",13.3,"54,327",1.4
New York ..................,"62,517,215","2,831,810","1,033",4.5,"25,938,520",41.5,"33,746,884",54.0,"30,612,206",49.0,"311,948",0.5
North Carolina ...........,"13,681,971","1,662,823","1,074",12.2,"8,543,954",62.4,"3,475,194",25.4,"2,952,875",21.6,"174,405",1.3
North Dakota ................,"1,578,414","158,647","1,488",10.1,"926,792",58.7,"492,974",31.2,"342,859",21.7,"64,279",4.1
,,,,,,,,,,,,
Ohio .......................,"24,516,266","1,850,536","1,073",7.5,"11,179,287",45.6,"11,486,443",46.9,"9,469,577",38.6,"629,910",2.6
Oklahoma ....................,"6,261,170","717,590","1,042",11.5,"3,090,488",49.4,"2,453,092",39.2,"1,804,710",28.8,"278,404",4.4
Oregon ......................,"7,077,486","565,086",990,8.0,"3,678,010",52.0,"2,834,391",40.0,"2,299,212",32.5,"150,467",2.1
Pennsylvania ...............,"28,983,071","2,003,649","1,149",6.9,"10,764,800",37.1,"16,214,622",55.9,"12,912,355",44.6,"395,983",1.4
Rhode Island ..............,"2,444,422","199,039","1,402",8.1,"990,389",40.5,"1,254,995",51.3,"1,214,871",49.7,"24,218",1.0
,,,,,,,,,,,,
South Carolina .............,"8,891,519","855,168","1,130",9.6,"4,198,817",47.2,"3,837,534",43.2,"2,912,911",32.8,"243,901",2.7
South Dakota .............,"1,420,613","211,164","1,587",14.9,"431,422",30.4,"778,027",54.8,"661,774",46.6,"41,662",2.9
Tennessee ...............,"9,428,987","1,127,603","1,133",12.0,"4,258,683",45.2,"4,042,701",42.9,"1,905,845",20.2,"422,338",4.5
Texas ....................,"56,127,791","6,085,723","1,163",10.8,"22,787,667",40.6,"27,254,401",48.6,"25,015,180",44.6,"1,004,740",1.8
Utah ....................,"5,127,846","450,732",709,8.8,"2,798,042",54.6,"1,879,073",36.6,"1,413,388",27.6,"223,942",4.4
,,,,,,,,,,,,
Vermont ....................,"1,758,461","105,353","1,207",6.0,"1,584,246",90.1,"68,862",3.9,840,#,"23,304",1.3
Virginia ....................,"15,624,013","1,012,211",791,6.5,"6,240,351",39.9,"8,371,451",53.6,"5,072,009",32.5,"238,246",1.5
Washington ..................,"13,606,501","1,036,795",966,7.6,"8,301,015",61.0,"4,268,691",31.4,"3,651,021",26.8,"311,135",2.3
West Virginia ............,"3,525,371","362,449","1,293",10.3,"2,027,143",57.5,"1,135,779",32.2,"1,043,479",29.6,"24,039",0.7
Wisconsin ................,"11,197,990","840,933",965,7.5,"5,139,509",45.9,"5,217,548",46.6,"4,773,727",42.6,"212,669",1.9
Wyoming ...................,"1,961,721","120,788","1,284",6.2,"1,116,909",56.9,"724,024",36.9,"507,516",25.9,"16,333",0.8
,,,,,,,,,,,,
Other jurisdictions,,,,,,,,,,,,
  American Samoa ............,"82,212","69,391",---,84.4,"12,573",15.3,248,0.3,0,0.0,10, #
  Guam .....................,"316,585","64,901","2,084",20.5,0,0.0,"251,684",79.5,0,0.0,232,0.1
  Northern Marianas ........,"65,034","31,420",---,48.3,"33,614",51.7,0,0.0,0,0.0,0,0.0
  Puerto Rico ...............,"3,098,730","1,065,537","2,593",34.4,"2,033,132",65.6,61, #,0,0.0,61, #
  U.S. Virgin Islands .............,"190,235","31,330","2,200",16.5,0,0.0,"158,905",83.5,0,0.0,23, #
---Not available.,,,,,,,,,,,,
†Not applicable.,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,
\1\Includes other categories of revenue not separately shown.,,,,,,,,,,,,
"\2\Includes revenues from gifts, and tuition and fees from patrons.",,,,,,,,,,,,
NOTE: Excludes revenues for state education agencies. Detail may not sum to totals because of rounding.,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""National Public Education Financial Survey,"" 2014-15. (This table was prepared October 2017.)",,,,,,,,,,,,
