County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2011 Age 15-19 Population,2011 Deaths,2011 Rate,2000-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Linn,"13,891",7,50,"15,343",8,52,3.50%,19_057,19,2,4,,
Louisa,874,0,0,820,0,0,0.00%,19_058,19,2,4,,
Lucas,678,0,0,627,C,N/A,N/A,19_059,19,2,4,,
Lyon,917,C,N/A,779,C,N/A,N/A,19_119,19,2,4,,
Madison,"1,031",C,N/A,"1,005",C,N/A,N/A,19_121,19,2,4,,
Mahaska,"1,717",0,0,"1,553",C,N/A,N/A,19_123,19,2,4,,
Marion,"2,591",0,0,"2,674",C,N/A,N/A,19_125,19,2,4,,
Marshall,"2,889",0,0,"2,891",C,N/A,N/A,19_127,19,2,4,,
Mills,"1,100",C,N/A,"1,050",C,N/A,N/A,19_129,19,2,4,,
Mitchell,785,0,0,744,C,N/A,N/A,19_131,19,2,4,,
Monona,671,C,N/A,583,0,0,-100.00%,19_133,19,2,4,,
Monroe,558,0,0,540,0,0,0.00%,19_135,19,2,4,,
Montgomery,820,0,0,710,0,0,0.00%,19_137,19,2,4,,
Muscatine,"3,102",0,0,"3,013",C,N/A,N/A,19_139,19,2,4,,
O'Brien,"1,198",C,N/A,887,C,N/A,N/A,19_141,19,2,4,,
Osceola,514,0,0,419,0,0,0.00%,19_143,19,2,4,,
Page,"1,254",C,N/A,"1,113",0,0,-100.00%,19_145,19,2,4,,
Palo Alto,914,C,N/A,665,0,0,-100.00%,19_147,19,2,4,,
Plymouth,"2,101",C,N/A,"1,778",C,N/A,N/A,19_149,19,2,4,,
Pocahontas,633,C,N/A,456,C,N/A,N/A,19_151,19,2,4,,
Polk,"25,121",11,44,"27,808",17,61,39.60%,19_153,19,2,4,,
Pottawattamie,"6,672",C,N/A,"6,699",4,60,N/A,19_155,19,2,4,,
Poweshiek,"1,626",C,N/A,"1,587",C,N/A,N/A,19_157,19,2,4,,
Ringgold,430,0,0,296,C,N/A,N/A,19_159,19,2,4,,
Sac,830,0,0,610,C,N/A,N/A,19_161,19,2,4,,
Scott,"11,698",4,34,"11,046",6,54,58.90%,19_163,19,2,4,,
Shelby,997,0,0,798,0,0,0.00%,19_165,19,2,4,,
Sioux,"3,492",8,229,"3,090",0,0,-100.00%,19_167,19,2,4,,
Story,"9,090",C,N/A,"9,609",C,N/A,N/A,19_169,19,2,4,,
Tama,"1,354",C,N/A,"1,296",0,0,-100.00%,19_171,19,2,4,,
Taylor,527,C,N/A,377,0,0,-100.00%,19_173,19,2,4,,
Union,969,0,0,867,0,0,0.00%,19_175,19,2,4,,
Van Buren,543,C,N/A,508,0,0,-100.00%,19_177,19,2,4,,
Wapello,"2,646",0,0,"2,509",C,N/A,N/A,19_179,19,2,4,,
Warren,"3,317",C,N/A,"3,530",0,0,-100.00%,19_181,19,2,4,,
Washington,"1,420",0,0,"1,454",0,0,0.00%,19_183,19,2,4,,
Wayne,469,C,N/A,441,0,0,-100.00%,19_185,19,2,4,,
Webster,"3,277",C,N/A,"2,985",C,N/A,N/A,19_187,19,2,4,,
Winnebago,"1,026",C,N/A,765,0,0,-100.00%,19_189,19,2,4,,
Winneshiek,"2,259",C,N/A,"2,058",0,0,-100.00%,19_191,19,2,4,,
Woodbury,"7,959",C,N/A,"7,812",C,N/A,N/A,19_193,19,2,4,,
Worth,544,0,0,554,0,0,0.00%,19_195,19,2,4,,
Wright,"1,002",C,N/A,849,0,0,-100.00%,19_197,19,2,4,,
State,"226,420",107,47,"216,837",117,54,14.20%,,19,2,4,,
Rural,"35,776",27,75,"30,371",27,89,17.80%,,,,,,IA_Rural_Counties
Small Urban,"87,109",47,54,"80,179",47,59,8.60%,,,,,,IA_Urban_Counties
Metropolitan,"103,535",33,32,"106,287",43,40,26.90%,,,,,,IA_Metropolitan_Counties
United States,"20,219,890","13,563",67,"22,040,343","11,180",51,-24.40%,,,,,US_National,
