Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions on females	"9,298"	32.7	16	0.1	22	0.1	295	1	"2,911"	10.2	"5,785"	20.4	DS	0	267	0.9	114	0.4	"1,417"	21	3	6
One or more out-of-school suspensions total	"28,401"	100	33	0.1	111	0.4	939	3.3	"7,366"	25.9	"19,263"	67.8	9	0	680	2.4	464	1.6	"1,417"	21	3	6
Expulsions with educational services on males	125	73.5	0	0	0	0	6	3.5	13	7.6	104	61.2	0	0	DS	1.2	DS	1.2	"1,417"	21	3	6
Expulsions with educational services on females	45	26.5	0	0	0	0	DS	1.2	7	4.1	34	20	0	0	DS	1.2	DS	1.2	"1,417"	21	3	6
Expulsions with educational services total	170	100	0	0	0	0	8	4.7	20	11.8	138	81.2	0	0	4	2.4	4	2.4	"1,417"	21	3	6
Expulsions without educational services on males	36	80	0	0	0	0	0	0	7	15.6	27	60	0	0	DS	4.4	0	0	"1,417"	21	3	6
Expulsions without educational services on females	9	20	0	0	0	0	0	0	0	0	7	15.6	0	0	DS	4.4	0	0	"1,417"	21	3	6
Expulsions without educational services total	45	100	0	0	0	0	0	0	7	15.6	34	75.6	0	0	4	8.9	0	0	"1,417"	21	3	6
Expulsions with or without educational services on males	158	75.2	0	0	0	0	6	2.9	20	9.5	130	61.9	0	0	DS	1	DS	1	"1,417"	21	3	6
Expulsions with or without educational services on females	52	24.8	0	0	0	0	DS	1	7	3.3	41	19.5	0	0	DS	1	DS	1	"1,417"	21	3	6
Expulsions with or without educational services total	210	100	0	0	0	0	8	3.8	27	12.9	171	81.4	0	0	4	1.9	4	1.9	"1,417"	21	3	6
Expulsions under zero-tolerance policies on males	32	76.2	0	0	0	0	DS	4.8	DS	4.8	28	66.7	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions under zero-tolerance policies on females	10	23.8	0	0	0	0	0	0	DS	4.8	8	19	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions under zero-tolerance policies total	42	100	0	0	0	0	DS	4.8	4	9.5	36	85.7	0	0	0	0	0	0	"1,417"	21	3	6
Referral to law enforcement on males	"1,581"	68.7	DS	0.1	5	0.2	64	2.8	260	11.3	"1,223"	53.1	0	0	27	1.2	27	1.2	"1,417"	21	3	6
Referral to law enforcement on females	721	31.3	DS	0.1	DS	0.1	22	1	118	5.1	562	24.4	DS	0.1	13	0.6	DS	0.1	"1,417"	21	3	6
Referral to law enforcement total	"2,302"	100	4	0.2	7	0.3	86	3.7	378	16.4	"1,785"	77.5	DS	0.1	40	1.7	29	1.3	"1,417"	21	3	6
School-related arrests on males	369	70.6	DS	0.4	0	0	11	2.1	93	17.8	261	49.9	0	0	DS	0.4	DS	0.4	"1,417"	21	3	6
School-related arrests on females	154	29.4	0	0	0	0	0	0	39	7.5	113	21.6	0	0	DS	0.4	0	0	"1,417"	21	3	6
School-related arrests total	523	100	DS	0.4	0	0	11	2.1	132	25.2	374	71.5	0	0	4	0.8	DS	0.4	"1,417"	21	3	6
