County,2000 Child Population,2000 Below Poverty,2000 Percentage,2009 Child Population,2009 Below Poverty,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
O'Brien,"3,542",340,9.60%,"3,252",387,11.90%,24.00%,19_141,19,2,4,,
Osceola,"1,726",164,9.50%,"1,438",187,13.00%,36.90%,19_143,19,2,4,,
Page,"3,682",567,15.40%,"3,215",659,20.50%,33.10%,19_145,19,2,4,,
Palo Alto,"2,278",287,12.60%,"2,015",270,13.40%,6.40%,19_147,19,2,4,,
Plymouth,"6,711",510,7.60%,"6,172",611,9.90%,30.30%,19_149,19,2,4,,
Pocahontas,"2,031",262,12.90%,"1,545",241,15.60%,20.90%,19_151,19,2,4,,
Polk,"95,011","8,931",9.40%,"107,175","16,505",15.40%,63.80%,19_153,19,2,4,,
Pottawattamie,"21,694","2,690",12.40%,"20,863","3,964",19.00%,53.20%,19_155,19,2,4,,
Poweshiek,"4,092",401,9.80%,"3,745",528,14.10%,43.90%,19_157,19,2,4,,
Ringgold,"1,237",266,21.50%,"1,079",273,25.30%,17.70%,19_159,19,2,4,,
Sac,"2,617",369,14.10%,"2,212",323,14.60%,3.60%,19_161,19,2,4,,
Scott,"40,485","5,263",13.00%,"40,506","7,129",17.60%,35.40%,19_163,19,2,4,,
Shelby,"3,263",310,9.50%,"2,641",338,12.80%,34.70%,19_165,19,2,4,,
Sioux,"8,240",618,7.50%,"8,512",732,8.60%,14.70%,19_167,19,2,4,,
Story,"14,653","1,055",7.20%,"15,276","1,497",9.80%,36.10%,19_169,19,2,4,,
Tama,"4,540",563,12.40%,"4,443",702,15.80%,27.40%,19_171,19,2,4,,
Taylor,"1,541",245,15.90%,"1,419",254,17.90%,12.60%,19_173,19,2,4,,
Union,"2,701",362,13.40%,"2,721",566,20.80%,55.20%,19_175,19,2,4,,
Van Buren,"1,811",317,17.50%,"1,764",501,28.40%,62.30%,19_177,19,2,4,,
Wapello,"8,030","1,357",16.90%,"8,039","1,833",22.80%,34.90%,19_179,19,2,4,,
Warren,"10,571",666,6.30%,"11,146",992,8.90%,41.30%,19_181,19,2,4,,
Washington,"5,243",540,10.30%,"5,401",902,16.70%,62.20%,19_183,19,2,4,,
Wayne,"1,546",303,19.60%,"1,446",386,26.70%,36.20%,19_185,19,2,4,,
Webster,"9,352","1,197",12.80%,"8,392","1,670",19.90%,55.50%,19_187,19,2,4,,
Winnebago,"2,646",254,9.60%,"2,326",335,14.40%,50.00%,19_189,19,2,4,,
Winneshiek,"4,653",349,7.50%,"4,035",460,11.40%,52.00%,19_191,19,2,4,,
Woodbury,"27,265","3,708",13.60%,"27,225","6,044",22.20%,63.20%,19_193,19,2,4,,
Worth,"1,784",173,9.70%,"1,657",227,13.70%,41.30%,19_195,19,2,4,,
Wright,"3,347",338,10.10%,"2,940",441,15.00%,48.50%,19_197,19,2,4,,
State,"703,812","75,952",10.80%,"701,354","109,387",15.60%,44.50%,,19,2,4,,
Rural,"114,645","13,585",11.80%,"104,154","16,478",15.80%,33.50%,,,,,,IA_Rural_Counties
Small Urban,"270,281","29,484",10.90%,"261,753","39,797",15.20%,39.40%,,,,,,IA_Urban_Counties
Metropolitan,"318,886","32,883",10.30%,"335,447","53,112",15.80%,53.50%,,,,,,IA_Metropolitan_Counties
United States,"71,525,420","11,587,118",16.20%,"73,284,810","14,656,962",20.00%,23.50%,,,,,US_National,
