Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
More than one out-of-school suspension for females,680,20.7,DS,0.1,678,20.6,0,0,0,0,DS,0.1,541,16.5,135,4.1,0,0,0,0,DS,0.1,973,28,3,6
More than one out-of-school suspension total,"3,284",100,4,0.1,"3,280",99.9,6,0.2,DS,0.1,17,0.5,"2,425",73.9,826,25.2,DS,0.1,DS,0.1,6,0.2,973,28,3,6
One or more out-of-school suspensions for males,"5,561",78.3,11,0.2,"5,550",78.1,10,0.1,6,0.1,43,0.6,"3,851",54.3,"1,636",23.1,DS,0,DS,0,12,0.2,973,28,3,6
One or more out-of-school suspensions for females,"1,545",21.7,4,0.1,"1,541",21.7,0,0,DS,0,8,0.1,"1,181",16.7,350,4.9,0,0,0,0,5,0.1,973,28,3,6
One or more out-of-school suspensions total,"7,106",100,15,0.2,"7,091",99.8,10,0.1,8,0.1,51,0.7,"5,032",71,"1,986",28,DS,0,DS,0,17,0.2,973,28,3,6
Expulsions with educational services for males,121,86.4,0,0,121,86.4,0,0,0,0,0,0,87,62.1,34,24.3,0,0,0,0,0,0,973,28,3,6
Expulsions with educational services for females,19,13.6,0,0,19,13.6,0,0,0,0,0,0,15,10.7,4,2.9,0,0,0,0,0,0,973,28,3,6
Expulsions with educational services total,140,100,0,0,140,100,0,0,0,0,0,0,102,72.9,38,27.1,0,0,0,0,0,0,973,28,3,6
Expulsions without educational services for males,21,91.3,0,0,21,91.3,0,0,0,0,0,0,19,82.6,DS,8.7,0,0,0,0,0,0,973,28,3,6
Expulsions without educational services for females,DS,8.7,0,0,DS,8.7,0,0,0,0,0,0,DS,8.7,0,0,0,0,0,0,0,0,973,28,3,6
Expulsions without educational services total,23,100,0,0,23,100,0,0,0,0,0,0,21,91.3,DS,8.7,0,0,0,0,0,0,973,28,3,6
Expulsions with or without educational services for males,142,87.1,0,0,142,87.1,0,0,0,0,0,0,107,65.6,35,21.5,0,0,0,0,0,0,973,28,3,6
Expulsions with or without educational services for females,21,12.9,0,0,21,12.9,0,0,0,0,0,0,17,10.4,4,2.5,0,0,0,0,0,0,973,28,3,6
Expulsions with or without educational services total,163,100,0,0,163,100,0,0,0,0,0,0,124,76.1,39,23.9,0,0,0,0,0,0,973,28,3,6
Expulsions under zero-tolerance policies for males,40,90.9,0,0,40,90.9,0,0,0,0,0,0,28,63.6,12,27.3,0,0,0,0,0,0,973,28,3,6
Expulsions under zero-tolerance policies for females,4,9.1,0,0,4,9.1,0,0,0,0,0,0,DS,4.5,DS,4.5,0,0,0,0,0,0,973,28,3,6
Expulsions under zero-tolerance policies total,44,100,0,0,44,100,0,0,0,0,0,0,30,68.2,14,31.8,0,0,0,0,0,0,973,28,3,6
Referral to law enforcement for males,334,79.7,0,0,334,79.7,DS,0.5,0,0,DS,0.5,224,53.5,106,25.3,0,0,0,0,0,0,973,28,3,6
Referral to law enforcement for females,85,20.3,0,0,85,20.3,0,0,0,0,0,0,69,16.5,16,3.8,0,0,0,0,0,0,973,28,3,6
Referral to law enforcement total,419,100,0,0,419,100,DS,0.5,0,0,DS,0.5,293,69.9,122,29.1,0,0,0,0,0,0,973,28,3,6
School-related arrests for males,134,80.7,DS,1.2,132,79.5,DS,1.2,DS,1.2,DS,1.2,79,48.2,47,28.7,0,0,0,0,0,0,973,28,3,6
School-related arrests for females,32,19.3,0,0,32,19.3,0,0,0,0,0,0,24,14.6,8,4.9,0,0,0,0,0,0,973,28,3,6
School-related arrests total,166,100,DS,1.2,164,98.8,DS,1.2,DS,1.2,DS,1.2,103,62.8,55,33.5,0,0,0,0,0,0,973,28,3,6
