County,200 Live Births,2000 Infant Deaths,2000 Rate,2011 Live Births,2011 Infant Deaths,2011 Rate,2000-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Hancock,131,C,N/A,95,0,0,-100.00%,19_041,19,2,4,,
Hardin,208,C,N/A,178,C,N/A,N/A,19_042,19,2,4,,
Harrison,193,0,0,154,0,0,0.00%,19_043,19,2,4,,
Henry,264,C,N/A,231,0,0,-100.00%,19_044,19,2,4,,
Howard,110,C,N/A,112,0,0,-100.00%,19_045,19,2,4,,
Humboldt,99,0,0,103,0,0,0.00%,19_046,19,2,4,,
Ida,70,C,N/A,74,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,C,N/A,178,C,N/A,N/A,19_048,19,2,4,,
Jackson,239,C,N/A,220,0,0,-100.00%,19_049,19,2,4,,
Jasper,458,C,N/A,417,C,N/A,N/A,19_050,19,2,4,,
Jefferson,145,0,0,144,C,N/A,N/A,19_051,19,2,4,,
Johnson,"1,382",7,5.1,"1,733",C,N/A,N/A,19_052,19,2,4,,
Jones,227,0,0,190,0,0,0.00%,19_053,19,2,4,,
Keokuk,154,0,0,137,C,N/A,N/A,19_054,19,2,4,,
Kossuth,166,C,N/A,162,C,N/A,N/A,19_055,19,2,4,,
Lee,410,4,9.8,405,C,N/A,N/A,19_056,19,2,4,,
Linn,"2,715",12,4.4,"2,732",13,4.8,7.70%,19_057,19,2,4,,
Louisa,164,C,N/A,124,0,0,-100.00%,19_058,19,2,4,,
Lucas,119,C,N/A,100,C,N/A,N/A,19_059,19,2,4,,
Lyon,159,C,N/A,173,0,0,-100.00%,19_119,19,2,4,,
Madison,196,C,N/A,150,C,N/A,N/A,19_121,19,2,4,,
Mahaska,283,9,31.8,281,C,N/A,N/A,19_123,19,2,4,,
Marion,383,C,N/A,358,C,N/A,N/A,19_125,19,2,4,,
Marshall,556,C,N/A,538,0,0,-100.00%,19_127,19,2,4,,
Mills,155,0,0,147,C,N/A,N/A,19_129,19,2,4,,
Mitchell,131,C,N/A,118,0,0,-100.00%,19_131,19,2,4,,
Monona,98,0,0,83,0,0,0.00%,19_133,19,2,4,,
Monroe,102,C,N/A,81,0,0,-100.00%,19_135,19,2,4,,
Montgomery,139,C,N/A,104,0,0,-100.00%,19_137,19,2,4,,
Muscatine,638,C,N/A,533,C,N/A,N/A,19_139,19,2,4,,
O'Brien,187,C,N/A,146,C,N/A,N/A,19_141,19,2,4,,
Osceola,73,0,0,62,C,N/A,N/A,19_143,19,2,4,,
Page,169,0,0,182,0,0,0.00%,19_145,19,2,4,,
Palo Alto,110,C,N/A,96,C,N/A,N/A,19_147,19,2,4,,
Plymouth,309,7,22.7,284,C,N/A,N/A,19_149,19,2,4,,
Pocahontas,73,0,0,79,C,N/A,N/A,19_151,19,2,4,,
Polk,"6,216",46,7.4,"6,498",37,5.7,-23.10%,19_153,19,2,4,,
Pottawattamie,"1,184",8,6.8,"1,194",5,4.2,-38.00%,19_155,19,2,4,,
Poweshiek,212,0,0,183,C,N/A,N/A,19_157,19,2,4,,
Ringgold,69,0,0,51,C,N/A,N/A,19_159,19,2,4,,
Sac,135,0,0,109,C,N/A,N/A,19_161,19,2,4,,
Scott,"2,348",20,8.5,"2,275",12,5.3,-38.10%,19_163,19,2,4,,
Shelby,150,C,N/A,127,C,N/A,N/A,19_165,19,2,4,,
Sioux,457,C,N/A,497,4,8,N/A,19_167,19,2,4,,
Story,940,6,6.4,970,6,6.2,-3.10%,19_169,19,2,4,,
Tama,251,C,N/A,213,C,N/A,N/A,19_171,19,2,4,,
Taylor,87,0,0,65,0,0,0.00%,19_173,19,2,4,,
Union,127,C,N/A,146,0,0,-100.00%,19_175,19,2,4,,
Van Buren,97,0,0,84,0,0,0.00%,19_177,19,2,4,,
Wapello,424,C,N/A,424,0,0,-100.00%,19_179,19,2,4,,
Warren,513,C,N/A,515,C,N/A,N/A,19_181,19,2,4,,
Washington,290,0,0,268,C,N/A,N/A,19_183,19,2,4,,
Wayne,79,C,N/A,90,0,0,-100.00%,19_185,19,2,4,,
Webster,492,C,N/A,423,C,N/A,N/A,19_187,19,2,4,,
Winnebago,134,0,0,102,C,N/A,N/A,19_189,19,2,4,,
Winneshiek,191,C,N/A,187,C,N/A,N/A,19_191,19,2,4,,
Woodbury,"1,692",9,5.3,"1,593",4,2.5,-52.80%,19_193,19,2,4,,
Worth,84,C,N/A,70,0,0,-100.00%,19_195,19,2,4,,
Wright,168,C,N/A,151,C,N/A,N/A,19_197,19,2,4,,
State,"38,250",241,6.3,"38,204",181,4.7,-24.80%,,19,2,4,,
Rural,"5,454",29,5.3,"5,026",24,4.8,-10.20%,,,,,,IA_Rural_Counties
Small Urban,"13,547",84,6.2,"13,416",63,4.7,-24.30%,,,,,,IA_Urban_Counties
Metropolitan,"19,249",128,6.6,"19,762",94,4.8,-28.50%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","27,983",6.9,"4,000,279","24,548",6.1,-11.10%,,,,,US_National,
