County,2000 Labor Force,2000 Unemployment,2000 Percentage,2008 Labor Force,2008 Unemployment,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Davis,"4,150",110,2.70%,"4,080",200,4.90%,84.90%,19_026,19,2,4,,
Decatur,"3,570",160,4.50%,"4,270",160,3.70%,-16.40%,19_027,19,2,4,,
Delaware,"9,500",340,3.60%,"10,840",420,3.90%,8.30%,19_028,19,2,4,,
Des Moines,"23,430",780,3.30%,"20,810","1,210",5.80%,74.70%,19_029,19,2,4,,
Dickinson,"9,900",230,2.30%,"9,840",420,4.30%,83.70%,19_030,19,2,4,,
Dubuque,"49,100","1,600",3.30%,"52,100","2,200",4.20%,29.60%,19_031,19,2,4,,
Emmet,"5,540",170,3.10%,"5,960",230,3.90%,25.80%,19_032,19,2,4,,
Fayette,"10,990",450,4.10%,"10,940",580,5.30%,29.50%,19_033,19,2,4,,
Floyd,"7,790",340,4.40%,"8,580",500,5.80%,33.50%,19_034,19,2,4,,
Franklin,"5,740",150,2.60%,"5,850",260,4.40%,70.10%,19_035,19,2,4,,
Fremont,"4,000",90,2.30%,"3,900",180,4.60%,105.10%,19_036,19,2,4,,
Greene,"4,870",170,3.50%,"5,040",200,4.00%,13.70%,19_037,19,2,4,,
Grundy,"6,110",120,2.00%,"6,900",200,2.90%,47.60%,19_038,19,2,4,,
Guthrie,"5,900",140,2.40%,"5,900",300,5.10%,114.30%,19_039,19,2,4,,
Hamilton,"8,620",190,2.20%,"8,560",330,3.90%,74.90%,19_040,19,2,4,,
Hancock,"7,000",140,2.00%,"6,090",380,6.20%,212.00%,19_041,19,2,4,,
Hardin,"9,030",260,2.90%,"9,330",390,4.20%,45.20%,19_042,19,2,4,,
Harrison,"7,850",210,2.70%,"7,880",320,4.10%,51.80%,19_043,19,2,4,,
Henry,"10,910",290,2.70%,"10,180",540,5.30%,99.60%,19_044,19,2,4,,
Howard,"5,580",170,3.00%,"5,190",240,4.60%,51.80%,19_045,19,2,4,,
Humboldt,"5,410",120,2.20%,"5,140",190,3.70%,66.70%,19_046,19,2,4,,
Ida,"3,950",90,2.30%,"4,240",160,3.80%,65.60%,19_047,19,2,4,,
Iowa,"9,290",170,1.80%,"8,710",360,4.10%,125.90%,19_048,19,2,4,,
Jackson,"10,370",450,4.30%,"11,320",580,5.10%,18.10%,19_049,19,2,4,,
Jasper,"19,360",410,2.10%,"17,690","1,350",7.60%,260.40%,19_050,19,2,4,,
Jefferson,"9,440",260,2.80%,"8,460",380,4.50%,63.10%,19_051,19,2,4,,
Johnson,"69,400","1,400",2.00%,"78,700","2,300",2.90%,44.90%,19_052,19,2,4,,
Jones,"9,630",240,2.50%,"10,600",500,4.70%,89.30%,19_053,19,2,4,,
Keokuk,"5,020",200,4.00%,"5,630",250,4.40%,11.50%,19_054,19,2,4,,
Kossuth,"8,410",230,2.70%,"9,070",360,4.00%,45.10%,19_055,19,2,4,,
Lee,"18,710",870,4.60%,"17,370","1,140",6.60%,41.10%,19_056,19,2,4,,
Linn,"116,900","2,100",1.80%,"120,200","4,800",4.00%,122.30%,19_057,19,2,4,,
Louisa,"5,420",190,3.50%,"6,410",300,4.70%,33.50%,19_058,19,2,4,,
Lucas,"4,050",110,2.70%,"4,660",190,4.10%,50.10%,19_059,19,2,4,,
Lyon,"5,460",130,2.40%,"6,800",180,2.60%,11.20%,19_119,19,2,4,,
Madison,"7,330",260,3.50%,"8,400",400,4.80%,34.20%,19_121,19,2,4,,
Mahaska,"11,220",240,2.10%,"11,790",530,4.50%,110.20%,19_123,19,2,4,,
Marion,"19,020",400,2.10%,"17,850",710,4.00%,89.10%,19_125,19,2,4,,
Marshall,"20,220",500,2.50%,"20,410","1,040",5.10%,106.10%,19_127,19,2,4,,
Mills,"6,380",120,1.90%,"8,180",290,3.50%,88.50%,19_129,19,2,4,,
Mitchell,"5,380",140,2.60%,"5,630",230,4.10%,57.00%,19_131,19,2,4,,
Monona,"4,880",160,3.30%,"4,610",250,5.40%,65.40%,19_133,19,2,4,,
Monroe,"4,200",120,2.90%,"4,200",190,4.50%,58.30%,19_135,19,2,4,,
Montgomery,"5,820",190,3.30%,"5,440",310,5.70%,74.60%,19_137,19,2,4,,
Muscatine,"21,950",600,2.70%,"23,880","1,030",4.30%,57.80%,19_139,19,2,4,,
O'Brien,"7,720",160,2.10%,"7,790",260,3.30%,61.00%,19_141,19,2,4,,
Osceola,"3,690",90,2.40%,"3,410",130,3.80%,56.30%,19_143,19,2,4,,
Page,"9,030",240,2.70%,"8,110",390,4.80%,80.90%,19_145,19,2,4,,
Palo Alto,"5,180",100,1.90%,"5,440",230,4.20%,119.00%,19_147,19,2,4,,
Plymouth,"13,290",370,2.80%,"14,270",470,3.30%,18.30%,19_149,19,2,4,,
Pocahontas,"3,760",100,2.70%,"4,260",130,3.10%,14.70%,19_151,19,2,4,,
Polk,"216,100","4,400",2.00%,"240,600","9,600",4.00%,96.00%,19_153,19,2,4,,
Pottawattamie,"48,500","1,200",2.50%,"48,710","2,030",4.20%,68.40%,19_155,19,2,4,,
Poweshiek,"10,350",310,3.00%,"10,360",470,4.50%,51.50%,19_157,19,2,4,,
Ringgold,"2,580",70,2.70%,"2,420",110,4.50%,67.50%,19_159,19,2,4,,
Sac,"5,790",150,2.60%,"5,780",210,3.60%,40.20%,19_161,19,2,4,,
Scott,"85,300","2,400",2.80%,"89,860","3,740",4.20%,47.90%,19_163,19,2,4,,
Shelby,"6,780",160,2.40%,"7,640",230,3.00%,27.60%,19_165,19,2,4,,
Sioux,"17,760",410,2.30%,"19,680",550,2.80%,21.10%,19_167,19,2,4,,
Story,"47,280",950,2.00%,"48,700","1,500",3.10%,53.30%,19_169,19,2,4,,
Tama,"8,740",320,3.70%,"8,890",470,5.30%,44.40%,19_171,19,2,4,,
Taylor,"3,410",120,3.50%,"3,360",130,3.90%,9.90%,19_173,19,2,4,,
Union,"6,430",220,3.40%,"6,700",300,4.50%,30.90%,19_175,19,2,4,,
Van Buren,"4,180",140,3.30%,"3,990",190,4.80%,42.20%,19_177,19,2,4,,
Wapello,"17,510",600,3.40%,"18,880",930,4.90%,43.80%,19_179,19,2,4,,
Warren,"22,900",400,1.70%,"25,800","1,000",3.90%,121.90%,19_181,19,2,4,,
Washington,"11,140",220,2.00%,"12,200",500,4.10%,107.50%,19_183,19,2,4,,
Wayne,"2,900",80,2.80%,"3,250",130,4.00%,45.00%,19_185,19,2,4,,
Webster,"20,030",570,2.80%,"20,040",860,4.30%,50.80%,19_187,19,2,4,,
Winnebago,"6,460",130,2.00%,"5,940",380,6.40%,217.90%,19_189,19,2,4,,
Winneshiek,"12,310",380,3.10%,"12,330",530,4.30%,39.20%,19_191,19,2,4,,
Woodbury,"53,200","1,400",2.60%,"55,900","2,100",3.80%,42.80%,19_193,19,2,4,,
Worth,"4,090",130,3.20%,"4,580",240,5.20%,64.90%,19_195,19,2,4,,
Wright,"6,930",160,2.30%,"7,080",310,4.40%,89.60%,19_197,19,2,4,,
State,"1,586,080","41,080",2.60%,"1,675,910","69,270",4.10%,59.60%,,19,2,4,,
Rural,"251,970","7,470",3.00%,"260,070","11,470",4.40%,48.80%,,,,,,IA_Rural_Counties
Small Urban,"580,130","16,160",2.80%,"607,670","26,530",4.40%,56.70%,,,,,,IA_Urban_Counties
Metropolitan,"753,980","17,450",2.30%,"808,170","31,270",3.90%,67.20%,,,,,,IA_Metropolitan_Counties
United States,"142,583,000","5,692,000",4.00%,"154,287,000","8,924,000",5.80%,44.90%,,,,,US_National,
