Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	516	28	DS	0.1	514	27.9	261	14.2	4	0.2	31	1.7	42	2.3	168	9.1	0	0	8	0.4	52	2.8	668	46	2	4
More than one out-of-school suspension total	"1,845"	100	4	0.2	"1,841"	99.8	725	39.4	19	1	110	6	142	7.7	812	44.1	0	0	33	1.8	123	6.7	668	46	2	4
One or more out-of-school suspensions on males	"3,062"	70.8	6	0.1	"3,056"	70.6	915	21.2	34	0.8	164	3.8	187	4.3	"1,689"	39.1	DS	0	65	1.5	147	3.4	668	46	2	4
One or more out-of-school suspensions on females	"1,265"	29.2	DS	0	"1,263"	29.2	539	12.5	10	0.2	72	1.7	90	2.1	531	12.3	DS	0	19	0.4	91	2.1	668	46	2	4
One or more out-of-school suspensions total	"4,327"	100	8	0.2	"4,319"	99.8	"1,454"	33.7	44	1	236	5.5	277	6.4	"2,220"	51.4	4	0.1	84	1.9	238	5.5	668	46	2	4
Expulsions with educational services on males	32	94.1	0	0	32	94.1	6	17.6	0	0	4	11.8	DS	5.9	20	58.8	0	0	0	0	4	11.8	668	46	2	4
Expulsions with educational services on females	DS	5.9	0	0	DS	5.9	DS	5.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions with educational services total	34	100	0	0	34	100	8	23.5	0	0	4	11.8	DS	5.9	20	58.8	0	0	0	0	4	11.8	668	46	2	4
Expulsions without educational services on males	24	85.7	0	0	24	85.7	9	32.1	0	0	0	0	DS	7.1	11	39.3	0	0	DS	7.1	DS	7.1	668	46	2	4
Expulsions without educational services on females	4	14.3	0	0	4	14.3	DS	7.1	0	0	0	0	0	0	DS	7.1	0	0	0	0	0	0	668	46	2	4
Expulsions without educational services total	28	100	0	0	28	100	11	39.3	0	0	0	0	DS	7.1	13	46.4	0	0	DS	7.1	DS	7.1	668	46	2	4
Expulsions with or without educational services on males	54	93.1	0	0	54	93.1	15	25.9	0	0	4	6.9	DS	3.4	31	53.4	0	0	DS	3.4	4	6.9	668	46	2	4
Expulsions with or without educational services on females	4	6.9	0	0	4	6.9	DS	3.4	0	0	0	0	0	0	DS	3.4	0	0	0	0	0	0	668	46	2	4
Expulsions with or without educational services total	58	100	0	0	58	100	17	29.3	0	0	4	6.9	DS	3.4	33	56.9	0	0	DS	3.4	4	6.9	668	46	2	4
Expulsions under zero-tolerance policies on males	15	71.4	0	0	15	71.4	7	33.3	0	0	0	0	0	0	8	38.1	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies on females	6	28.6	0	0	6	28.6	6	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	46	2	4
Expulsions under zero-tolerance policies total	21	100	0	0	21	100	13	61.9	0	0	0	0	0	0	8	38.1	0	0	0	0	0	0	668	46	2	4
Referral to law enforcement on males	759	70.1	8	0.7	751	69.4	192	17.9	10	0.9	40	3.7	44	4.1	452	42.2	0	0	13	1.2	25	2.3	668	46	2	4
Referral to law enforcement on females	323	29.9	DS	0.2	321	29.7	105	9.8	6	0.6	13	1.2	24	2.2	161	15	0	0	12	1.1	16	1.5	668	46	2	4
Referral to law enforcement total	"1,082"	100	10	0.9	"1,072"	99.1	297	27.7	16	1.5	53	4.9	68	6.3	613	57.2	0	0	25	2.3	41	3.8	668	46	2	4
School-related arrests on males	272	65.5	DS	0.5	270	65.1	84	20.4	DS	0.5	13	3.2	7	1.7	160	38.9	0	0	4	1	0	0	668	46	2	4
School-related arrests on females	143	34.5	DS	0.5	141	34	54	13.1	4	1	4	1	DS	0.5	72	17.5	0	0	5	1.2	0	0	668	46	2	4
School-related arrests total	415	100	4	1	411	99	138	33.6	6	1.5	17	4.1	9	2.2	232	56.4	0	0	9	2.2	0	0	668	46	2	4
