Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA\	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"10,674"	28	115	0.3	"10,559"	27.7	99	0.3	52	0.1	"1,437"	3.8	"4,564"	12.2	"4,274"	11.4	0	0	133	0.4	185	0.5	"4,864"	36	1	2
More than one out-of-school suspension total	"38,078"	100	602	1.6	"37,476"	98.4	297	0.8	323	0.9	"5,189"	13.8	"14,266"	38.1	"16,933"	45.2	12	0	456	1.2	916	2.4	"4,864"	36	1	2
One or more out-of-school suspensions on males	"65,760"	69.8	"1,107"	1.2	"64,653"	68.6	471	0.5	975	1.1	"10,739"	11.6	"22,401"	24.1	"29,315"	31.6	39	0	713	0.8	"2,454"	2.6	"4,864"	36	1	2
One or more out-of-school suspensions on females	"28,431"	30.2	306	0.3	"28,125"	29.9	226	0.2	227	0.2	"4,674"	5	"11,728"	12.6	"10,898"	11.7	12	0	360	0.4	712	0.8	"4,864"	36	1	2
One or more out-of-school suspensions total	"94,191"	100	"1,413"	1.5	"92,778"	98.5	697	0.8	"1,202"	1.3	"15,413"	16.6	"34,129"	36.8	"40,213"	43.3	51	0.1	"1,073"	1.2	"3,166"	3.4	"4,864"	36	1	2
Expulsions with educational services on males	"1,513"	74.5	19	0.9	"1,494"	73.6	26	1.3	16	0.8	170	8.5	446	22.2	808	40.3	DS	0.1	26	1.3	28	1.4	"4,864"	36	1	2
Expulsions with educational services on females	518	25.5	6	0.3	512	25.2	11	0.5	0	0	41	2	197	9.8	240	12	0	0	23	1.1	4	0.2	"4,864"	36	1	2
Expulsions with educational services total	"2,031"	100	25	1.2	"2,006"	98.8	37	1.8	16	0.8	211	10.5	643	32.1	"1,048"	52.2	DS	0.1	49	2.4	32	1.6	"4,864"	36	1	2
Expulsions without educational services on males	301	77.6	6	1.5	295	76	DS	0.5	DS	0.5	19	5	52	13.7	214	56.3	4	1.1	DS	0.5	4	1	"4,864"	36	1	2
Expulsions without educational services on females	87	22.4	DS	0.5	85	21.9	0	0	4	1.1	6	1.6	20	5.3	55	14.5	0	0	0	0	0	0	"4,864"	36	1	2
Expulsions without educational services total	388	100	8	2.1	380	97.9	DS	0.5	6	1.6	25	6.6	72	18.9	269	70.8	4	1.1	DS	0.5	4	1	"4,864"	36	1	2
Expulsions with or without educational services on males	"1,806"	74.9	25	1	"1,781"	73.9	26	1.1	18	0.8	188	7.9	503	21.1	"1,014"	42.6	4	0.2	28	1.2	30	1.2	"4,864"	36	1	2
Expulsions with or without educational services on females	605	25.1	7	0.3	598	24.8	11	0.5	4	0.2	46	1.9	219	9.2	295	12.4	0	0	23	1	4	0.2	"4,864"	36	1	2
Expulsions with or without educational services total	"2,411"	100	32	1.3	"2,379"	98.7	37	1.6	22	0.9	234	9.8	722	30.3	"1,309"	55	4	0.2	51	2.1	34	1.4	"4,864"	36	1	2
Expulsions under zero-tolerance policies on males	157	74.4	DS	0.9	155	73.5	0	0	DS	1	23	11.1	49	23.7	79	38.2	0	0	DS	1	0	0	"4,864"	36	1	2
Expulsions under zero-tolerance policies on females	54	25.6	DS	0.9	52	24.6	0	0	0	0	7	3.4	17	8.2	28	13.5	0	0	0	0	0	0	"4,864"	36	1	2
Expulsions under zero-tolerance policies total	211	100	4	1.9	207	98.1	0	0	DS	1	30	14.5	66	31.9	107	51.7	0	0	DS	1	0	0	"4,864"	36	1	2
Referral to law enforcement on males	"6,554"	69.3	41	0.4	"6,513"	68.8	41	0.4	173	1.8	"1,804"	19.2	"2,867"	30.5	"1,591"	16.9	15	0.2	22	0.2	602	6.4	"4,864"	36	1	2
Referral to law enforcement on females	"2,906"	30.7	19	0.2	"2,887"	30.5	28	0.3	44	0.5	776	8.3	"1,462"	15.6	556	5.9	4	0	17	0.2	138	1.5	"4,864"	36	1	2
Referral to law enforcement total	"9,460"	100	60	0.6	"9,400"	99.4	69	0.7	217	2.3	"2,580"	27.4	"4,329"	46.1	"2,147"	22.8	19	0.2	39	0.4	740	7.8	"4,864"	36	1	2
 School-related arrests on males	776	77.4	9	0.9	767	76.5	13	1.3	DS	0.2	77	7.8	139	14	529	53.3	0	0	7	0.7	4	0.4	"4,864"	36	1	2
School-related arrests on females	227	22.6	DS	0.2	225	22.4	4	0.4	DS	0.2	22	2.2	39	3.9	156	15.7	0	0	DS	0.2	DS	0.2	"4,864"	36	1	2
School-related arrests total	"1,003"	100	11	1.1	992	98.9	17	1.7	4	0.4	99	10	178	17.9	685	69.1	0	0	9	0.9	6	0.6	"4,864"	36	1	2
