State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Maine		23	1	1	198	0	0	DS	1	4	2	4	2	188	94.9	0	0	0	0	DS	1	595
Maryland		24	3	5	192	0	0	4	2.1	10	5.2	73	38	94	49	0	0	11	5.7	DS	1	"1,444"
Massachusetts		25	1	1	79	0	0	DS	2.5	4	5.1	13	16.5	58	73.4	0	0	DS	2.5	DS	2.5	"1,834"
Michigan		26	2	3	"1,297"	19	1.5	4	0.3	52	4	195	15	"1,008"	77.7	DS	0.2	17	1.3	6	0.5	"3,626"
Minnesota		27	2	4	891	28	3.1	11	1.2	36	4	287	32.2	503	56.5	0	0	26	2.9	9	1	"2,077"
Mississippi		28	3	6	49	DS	4.1	0	0	0	0	21	42.9	26	53.1	0	0	0	0	0	0	973
Missouri		29	2	4	210	4	1.9	0	0	DS	1	31	14.8	173	82.4	0	0	0	0	DS	1	"2,312"
Montana		30	4	8	55	5	9.1	0	0	4	7.3	0	0	44	80	0	0	DS	3.6	0	0	781
Nebraska		31	2	4	325	DS	0.6	0	0	22	6.8	43	13.2	238	73.2	0	0	20	6.2	5	1.5	"1,073"
Nevada		32	4	8	29	0	0	0	0	9	31	10	34.5	10	34.5	0	0	0	0	0	0	649
New Hampshire		33	1	1	166	0	0	DS	1.2	6	3.6	4	2.4	154	92.8	0	0	0	0	DS	1.2	478
New Jersey		34	1	2	266	0	0	DS	0.8	43	16.2	152	57.1	67	25.2	0	0	DS	0.8	0	0	"2,538"
New Mexico		35	4	8	25	DS	8	0	0	16	64	0	0	7	28	0	0	0	0	4	16	853
New York		36	1	2	274	DS	0.7	DS	0.7	24	8.8	63	23	174	63.5	DS	0.7	7	2.6	DS	0.7	"4,864"
North Carolina		37	3	5	231	0	0	0	0	6	2.6	101	43.7	111	48.1	0	0	13	5.6	4	1.7	"2,535"
North Dakota		38	2	4	49	DS	4.1	0	0	5	10.2	4	8.2	36	73.5	0	0	DS	4.1	0	0	468
Ohio		39	2	3	867	DS	0.2	4	0.5	11	1.3	278	32.1	511	58.9	0	0	61	7	4	0.5	"3,702"
Oklahoma		40	3	7	159	16	10.1	0	0	14	8.8	33	20.8	86	54.1	DS	1.3	8	5	6	3.8	"1,774"
Oregon		41	9	4	398	8	2	6	1.5	58	14.6	26	6.5	287	72.1	0	0	13	3.3	13	3.3	"1,312"
Pennsylvania		42	1	2	171	DS	1.2	0	0	6	3.5	46	26.9	113	66.1	0	0	4	2.3	0	0	"3,220"
Rhode Island		44	1	1	15	0	0	0	0	4	26.7	DS	13.3	7	46.7	0	0	DS	13.3	0	0	291
South Carolina		45	3	5	220	0	0	DS	0.9	6	2.7	91	41.4	111	50.5	DS	0.9	8	3.6	DS	0.9	"1,219"
South Dakota		46	2	4	37	8	21.6	0	0	0	0	0	0	29	78.4	0	0	0	0	0	0	668
Tennessee		47	3	6	300	0	0	0	0	8	2.7	80	26.7	210	70	0	0	DS	0.7	0	0	"1,802"
Texas		48	3	7	713	4	0.6	DS	0.3	228	32	117	16.4	339	47.5	DS	0.3	21	2.9	16	2.2	"8,472"
Utah		49	4	8	518	6	1.2	DS	0.4	97	18.7	18	3.5	382	73.7	6	1.2	7	1.4	55	10.6	981
Vermont		50	1	1	105	DS	1.9	DS	1.9	DS	1.9	0	0	95	90.5	0	0	4	3.8	0	0	295
Virginia		51	3	5	497	DS	0.4	DS	0.4	18	3.6	285	57.3	169	34	0	0	21	4.2	0	0	"1,984"
Washington		53	4	9	634	22	3.5	21	3.3	62	9.8	32	5	455	71.8	DS	0.3	40	6.3	13	2.1	"2,256"
West Virginia		54	3	5	88	0	0	0	0	DS	2.3	6	6.8	80	90.9	0	0	0	0	0	0	733
Wisconsin		55	2	3	"1,329"	29	2.2	16	1.2	50	3.8	161	12.1	"1,043"	78.5	0	0	30	2.3	10	0.8	"2,242"
Wyoming		56	4	8	155	11	7.1	DS	1.3	10	6.5	7	4.5	121	78.1	0	0	4	2.6	0	0	349
