Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions on males	"59,253"	66.6	79	0.1	321	0.4	"2,288"	2.6	"23,730"	26.7	"29,556"	33.2	19	0	"3,260"	3.7	"1,174"	1.3	"3,702"	39	2	3
One or more out-of-school suspensions on females	"29,713"	33.4	32	0	96	0.1	"1,114"	1.3	"14,985"	16.8	"11,812"	13.3	18	0	"1,656"	1.9	448	0.5	"3,702"	39	2	3
One or more out-of-school suspensions total	"88,966"	100	111	0.1	417	0.5	"3,402"	3.8	"38,715"	43.5	"41,368"	46.5	37	0	"4,916"	5.5	"1,622"	1.8	"3,702"	39	2	3
Expulsions with educational services on males	523	67.1	0	0	0	0	9	1.2	286	36.7	206	26.4	0	0	22	2.8	5	0.6	"3,702"	39	2	3
Expulsions with educational services on females	256	32.9	0	0	DS	0.3	DS	0.3	191	24.5	56	7.2	0	0	5	0.6	DS	0.3	"3,702"	39	2	3
Expulsions with educational services total	779	100	0	0	DS	0.3	11	1.4	477	61.2	262	33.6	0	0	27	3.5	7	0.9	"3,702"	39	2	3
Expulsions without educational services on males	"2,698"	71.7	DS	0.1	10	0.3	143	3.8	"1,135"	30.2	"1,289"	34.2	DS	0.1	117	3.1	55	1.5	"3,702"	39	2	3
Expulsions without educational services on females	"1,066"	28.3	DS	0.1	0	0	44	1.2	520	13.8	454	12.1	DS	0.1	44	1.2	6	0.2	"3,702"	39	2	3
Expulsions without educational services total	"3,764"	100	4	0.1	10	0.3	187	5	"1,655"	44	"1,743"	46.3	4	0.1	161	4.3	61	1.6	"3,702"	39	2	3
Expulsions with or without educational services on males	"3,218"	70.9	DS	0	10	0.2	154	3.4	"1,420"	31.3	"1,492"	32.9	DS	0	138	3	61	1.3	"3,702"	39	2	3
Expulsions with or without educational services on females	"1,318"	29.1	DS	0	DS	0	46	1	709	15.6	507	11.2	DS	0	50	1.1	7	0.2	"3,702"	39	2	3
Expulsions with or without educational services total	"4,536"	100	4	0.1	12	0.3	200	4.4	"2,129"	46.9	"1,999"	44.1	4	0.1	188	4.1	68	1.5	"3,702"	39	2	3
Expulsions under zero-tolerance policies on males	398	77.1	0	0	DS	0.4	9	1.7	108	20.9	259	50.2	0	0	20	3.9	DS	0.4	"3,702"	39	2	3
Expulsions under zero-tolerance policies on females	118	22.9	0	0	0	0	DS	0.4	32	6.2	80	15.5	0	0	4	0.8	0	0	"3,702"	39	2	3
Expulsions under zero-tolerance policies total	516	100	0	0	DS	0.4	11	2.1	140	27.1	339	65.7	0	0	24	4.7	DS	0.4	"3,702"	39	2	3
Referral to law enforcement on males	"1,445"	70.1	0	0	9	0.4	50	2.4	266	12.9	"1,036"	50.2	DS	0.1	82	4	13	0.6	"3,702"	39	2	3
Referral to law enforcement on females	617	29.9	DS	0.1	8	0.4	17	0.8	139	6.7	400	19.4	0	0	51	2.5	5	0.2	"3,702"	39	2	3
Referral to law enforcement total	"2,062"	100	DS	0.1	17	0.8	67	3.2	405	19.6	"1,436"	69.6	DS	0.1	133	6.5	18	0.9	"3,702"	39	2	3
School-related arrests on males	558	67.8	0	0	DS	0.2	30	3.6	150	18.2	345	41.9	0	0	31	3.8	15	1.8	"3,702"	39	2	3
School-related arrests on females	265	32.2	0	0	DS	0.2	8	1	100	12.2	138	16.8	0	0	17	2.1	DS	0.2	"3,702"	39	2	3
School-related arrests total	823	100	0	0	4	0.5	38	4.6	250	30.4	483	58.7	0	0	48	5.8	17	2.1	"3,702"	39	2	3
