Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
One or more out-of-school suspensions for males,"1,319",84.2,127,8.1,"1,192",76.1,42,3,DS,0.1,173,12.2,38,2.7,904,63.7,4,0.3,29,2,48,3.1,703,16,4,8
One or more out-of-school suspensions for females,247,15.8,19,1.2,228,14.6,7,0.5,0,0,42,3,4,0.3,162,11.4,DS,0.1,11,0.8,6,0.4,703,16,4,8
One or more out-of-school suspensions total,"1,566",100,146,9.3,"1,420",90.7,49,3.5,DS,0.1,215,15.1,42,3,"1,066",75.1,6,0.4,40,2.8,54,3.4,703,16,4,8
Expulsions with educational services for males,36,90,11,27.5,25,62.5,DS,6.9,0,0,DS,6.9,0,0,21,72.4,0,0,0,0,DS,5,703,16,4,8
Expulsions with educational services for females,4,10,0,0,4,10,0,0,0,0,DS,6.9,0,0,DS,6.9,0,0,0,0,0,0,703,16,4,8
Expulsions with educational services total,40,100,11,27.5,29,72.5,DS,6.9,0,0,4,13.8,0,0,23,79.3,0,0,0,0,DS,5,703,16,4,8
Expulsions without educational services for males,4,66.7,0,0,4,66.7,0,0,0,0,DS,33.3,0,0,DS,33.3,0,0,0,0,0,0,703,16,4,8
Expulsions without educational services for females,DS,33.3,0,0,DS,33.3,0,0,0,0,0,0,0,0,DS,33.3,0,0,0,0,0,0,703,16,4,8
Expulsions without educational services total,6,100,0,0,6,100,0,0,0,0,DS,33.3,0,0,4,66.7,0,0,0,0,0,0,703,16,4,8
Expulsions with or without educational services for males,40,87,11,23.9,29,63,DS,5.7,0,0,4,11.4,0,0,23,65.7,0,0,0,0,DS,4.3,703,16,4,8
Expulsions with or without educational services for females,6,13,0,0,6,13,0,0,0,0,DS,5.7,0,0,4,11.4,0,0,0,0,0,0,703,16,4,8
Expulsions with or without educational services total,46,100,11,23.9,35,76.1,DS,5.7,0,0,6,17.1,0,0,27,77.1,0,0,0,0,DS,4.3,703,16,4,8
Expulsions under zero-tolerance policies for males,11,84.6,DS,15.4,9,69.2,DS,18.2,0,0,0,0,0,0,7,63.6,0,0,0,0,0,0,703,16,4,8
Expulsions under zero-tolerance policies for females,DS,15.4,0,0,DS,15.4,0,0,0,0,0,0,0,0,DS,18.2,0,0,0,0,0,0,703,16,4,8
Expulsions under zero-tolerance policies total,13,100,DS,15.4,11,84.6,DS,18.2,0,0,0,0,0,0,9,81.8,0,0,0,0,0,0,703,16,4,8
Referral to law enforcement for males,258,83.8,19,6.2,239,77.6,9,3.2,DS,0.7,41,14.5,11,3.9,168,59.4,0,0,8,2.8,7,2.3,703,16,4,8
Referral to law enforcement for females,50,16.2,6,1.9,44,14.3,4,1.4,DS,0.7,14,4.9,DS,0.7,20,7.1,DS,0.7,0,0,DS,0.6,703,16,4,8
Referral to law enforcement total,308,100,25,8.1,283,91.9,13,4.6,4,1.4,55,19.4,13,4.6,188,66.4,DS,0.7,8,2.8,9,2.9,703,16,4,8
School-related arrests for males,28,87.5,0,0,28,87.5,DS,6.7,0,0,DS,6.7,DS,6.7,20,66.7,0,0,DS,6.7,0,0,703,16,4,8
School-related arrests for females,4,12.5,DS,6.3,DS,6.3,0,0,0,0,0,0,0,0,DS,6.7,0,0,0,0,0,0,703,16,4,8
School-related arrests total,32,100,DS,6.3,30,93.8,DS,6.7,0,0,DS,6.7,DS,6.7,22,73.3,0,0,DS,6.7,0,0,703,16,4,8
