Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"3,158"	30.8	8	0.1	"3,150"	30.7	283	2.8	13	0.1	"2,299"	22.5	102	1	393	3.8	DS	0	58	0.6	374	3.6	853	35	4	8
More than one out-of-school suspension total	"10,255"	100	31	0.3	"10,224"	99.7	930	9.1	49	0.5	"7,176"	70.2	331	3.2	"1,555"	15.2	4	0	179	1.8	"1,430"	13.9	853	35	4	8
One or more out-of-school suspensions on males	"15,818"	67.1	43	0.2	"15,775"	66.9	"1,846"	7.8	75	0.3	"10,196"	43.4	514	2.2	"2,948"	12.5	7	0	189	0.8	"2,317"	9.8	853	35	4	8
One or more out-of-school suspensions on females	"7,759"	32.9	15	0.1	"7,744"	32.8	950	4	26	0.1	"5,281"	22.5	221	0.9	"1,160"	4.9	DS	0	104	0.4	976	4.1	853	35	4	8
One or more out-of-school suspensions total	"23,577"	100	58	0.2	"23,519"	99.8	"2,796"	11.9	101	0.4	"15,477"	65.8	735	3.1	"4,108"	17.5	9	0	293	1.2	"3,293"	14	853	35	4	8
Expulsions with educational services on males	134	82.7	DS	1.2	132	81.5	24	15	DS	1.3	72	45	4	2.5	26	16.3	0	0	4	2.5	22	13.6	853	35	4	8
Expulsions with educational services on females	28	17.3	0	0	28	17.3	DS	1.3	0	0	22	13.8	DS	1.3	DS	1.3	0	0	0	0	4	2.5	853	35	4	8
Expulsions with educational services total	162	100	DS	1.2	160	98.8	26	16.3	DS	1.3	94	58.8	6	3.8	28	17.5	0	0	4	2.5	26	16	853	35	4	8
Expulsions without educational services on males	411	75.3	0	0	411	75.3	136	24.9	DS	0.4	205	37.5	12	2.2	45	8.2	0	0	11	2	85	15.6	853	35	4	8
Expulsions without educational services on females	135	24.7	0	0	135	24.7	55	10.1	DS	0.4	67	12.3	DS	0.4	9	1.6	0	0	0	0	28	5.1	853	35	4	8
Expulsions without educational services total	546	100	0	0	546	100	191	35	4	0.7	272	49.8	14	2.6	54	9.9	0	0	11	2	113	20.7	853	35	4	8
Expulsions with or without educational services on males	550	77.1	DS	0.3	548	76.9	163	22.9	4	0.6	278	39.1	18	2.5	71	10	0	0	14	2	109	15.3	853	35	4	8
Expulsions with or without educational services on females	163	22.9	0	0	163	22.9	58	8.2	DS	0.3	91	12.8	DS	0.3	10	1.4	0	0	0	0	34	4.8	853	35	4	8
Expulsions with or without educational services total	713	100	DS	0.3	711	99.7	221	31.1	6	0.8	369	51.9	20	2.8	81	11.4	0	0	14	2	143	20.1	853	35	4	8
Expulsions under zero-tolerance policies on males	63	80.8	0	0	63	80.8	6	7.7	0	0	40	51.3	DS	2.6	13	16.7	0	0	DS	2.6	4	5.1	853	35	4	8
Expulsions under zero-tolerance policies on females	15	19.2	0	0	15	19.2	DS	2.6	0	0	11	14.1	0	0	0	0	DS	2.6	0	0	0	0	853	35	4	8
Expulsions under zero-tolerance policies total	78	100	0	0	78	100	8	10.3	0	0	51	65.4	DS	2.6	13	16.7	DS	2.6	DS	2.6	4	5.1	853	35	4	8
Referral to law enforcement on males	"1,550"	69.3	0	0	"1,550"	69.3	479	21.4	4	0.2	771	34.5	21	0.9	273	12.2	0	0	DS	0.1	257	11.5	853	35	4	8
Referral to law enforcement on females	686	30.7	0	0	686	30.7	230	10.3	DS	0.1	342	15.3	11	0.5	97	4.3	0	0	4	0.2	102	4.6	853	35	4	8
Referral to law enforcement total	"2,236"	100	0	0	"2,236"	100	709	31.7	6	0.3	"1,113"	49.8	32	1.4	370	16.5	0	0	6	0.3	359	16.1	853	35	4	8
School-related arrests on males	312	68.3	0	0	312	68.3	75	16.4	DS	0.4	164	35.9	6	1.3	65	14.2	0	0	0	0	35	7.7	853	35	4	8
School-related arrests on females	145	31.7	0	0	145	31.7	29	6.3	0	0	87	19	DS	0.4	27	5.9	0	0	0	0	20	4.4	853	35	4	8
School-related arrests total	457	100	0	0	457	100	104	22.8	DS	0.4	251	54.9	8	1.8	92	20.1	0	0	0	0	55	12	853	35	4	8
