Extraction Date:,6/5/2014,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2012,Bureau of Indian Education,Special Education Paraprofessionals for Ages 6-21,-,-,-,-,-,-
2012,Bureau of Indian Education,Special Education Teachers for Ages 3-5,45.3,1.5,46.8,-,-,-
2012,Bureau of Indian Education,Special Education Teachers for Ages 6-21,674.2,21.5,695.7,-,-,-
2012,Bureau of Indian Education,Speech-Language Pathologists,-,-,-,-,-,-
2012,Bureau of Indian Education,Total Special Education Paraprofessionals,-,-,-,-,-,-
2012,Bureau of Indian Education,Total Special Education Teachers,719.5,23,742.5,-,-,-
2012,California,Audiologists,-,-,-,118.82,0,118.82
2012,California,Counselors and Rehabilitation Counselors,-,-,-,775.18,19.97,795.15
2012,California,Interpreters,-,-,-,633.74,19.24,652.98
2012,California,Medical/Nursing Service Staff,-,-,-,1987.4,60.44,2047.84
2012,California,Occupational Therapists,-,-,-,1075.74,10.5,1086.24
2012,California,Orientation and Mobility Specialists,-,-,-,519.98,3.5,523.48
2012,California,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1071.85,7.16,1079.01
2012,California,Physical Therapists,-,-,-,164.25,0,164.25
2012,California,Psychologists,-,-,-,4807.83,25.5,4833.33
2012,California,Social Workers,-,-,-,201.27,0,201.27
2012,California,Special Education Paraprofessionals for Ages 3-5,4072.06,77.6,4149.66,-,-,-
2012,California,Special Education Paraprofessionals for Ages 6-21,46707.48,595.11,47302.59,-,-,-
2012,California,Special Education Teachers for Ages 3-5,2304.79,49.76,2354.55,-,-,-
2012,California,Special Education Teachers for Ages 6-21,20035.19,798.31,20833.5,-,-,-
2012,California,Speech-Language Pathologists,-,-,-,5920.92,150.24,6071.16
2012,California,Total Special Education Paraprofessionals,50779.54,672.71,51452.25,-,-,-
2012,California,Total Special Education Teachers,22339.98,848.07,23188.05,-,-,-
2012,Colorado,Audiologists,-,-,-,57.59,2.4,59.99
2012,Colorado,Counselors and Rehabilitation Counselors,-,-,-,44.31,3,47.31
2012,Colorado,Interpreters,-,-,-,146.62,14.81,161.43
2012,Colorado,Medical/Nursing Service Staff,-,-,-,261.87,27.36,289.23
2012,Colorado,Occupational Therapists,-,-,-,316.15,12.6,328.75
2012,Colorado,Orientation and Mobility Specialists,-,-,-,8.58,1.18,9.76
2012,Colorado,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,21.82,0.25,22.07
2012,Colorado,Physical Therapists,-,-,-,89.14,2.42,91.56
2012,Colorado,Psychologists,-,-,-,652.96,19.61,672.57
2012,Colorado,Social Workers,-,-,-,313.97,9.36,323.33
2012,Colorado,Special Education Paraprofessionals for Ages 3-5,292.6,0,292.6,-,-,-
2012,Colorado,Special Education Paraprofessionals for Ages 6-21,6176.88,0,6176.88,-,-,-
2012,Colorado,Special Education Teachers for Ages 3-5,345.67,45.25,390.92,-,-,-
2012,Colorado,Special Education Teachers for Ages 6-21,4739.07,208.52,4947.59,-,-,-
2012,Colorado,Speech-Language Pathologists,-,-,-,987.08,58.76,1045.84
2012,Colorado,Total Special Education Paraprofessionals,6469.48,0,6469.48,-,-,-
2012,Colorado,Total Special Education Teachers,5084.74,253.77,5338.51,-,-,-
2012,Connecticut,Audiologists,-,-,-,-,-,-
2012,Connecticut,Counselors and Rehabilitation Counselors,-,-,-,290.4,5.9,296.3
2012,Connecticut,Interpreters,-,-,-,-,-,-
2012,Connecticut,Medical/Nursing Service Staff,-,-,-,-,-,-
2012,Connecticut,Occupational Therapists,-,-,-,-,-,-
2012,Connecticut,Orientation and Mobility Specialists,-,-,-,-,-,-
2012,Connecticut,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1696.4,17.6,1714
2012,Connecticut,Physical Therapists,-,-,-,-,-,-
2012,Connecticut,Psychologists,-,-,-,605.1,2.7,607.8
2012,Connecticut,Social Workers,-,-,-,449.8,2.2,452
2012,Connecticut,Special Education Paraprofessionals for Ages 3-5,1158.94,0,1158.94,-,-,-
2012,Connecticut,Special Education Paraprofessionals for Ages 6-21,8619.53,0,8619.53,-,-,-
2012,Connecticut,Special Education Teachers for Ages 3-5,489.8,0,489.8,-,-,-
2012,Connecticut,Special Education Teachers for Ages 6-21,5311.9,14.9,5326.8,-,-,-
2012,Connecticut,Speech-Language Pathologists,-,-,-,1039.5,7,1046.5
2012,Connecticut,Total Special Education Paraprofessionals,9778.47,0,9778.47,-,-,-
2012,Connecticut,Total Special Education Teachers,5801.7,14.9,5816.6,-,-,-
2012,Delaware,Audiologists,-,-,-,28,0,28
2012,Delaware,Counselors and Rehabilitation Counselors,-,-,-,832,0,832
2012,Delaware,Interpreters,-,-,-,-,-,-
2012,Delaware,Medical/Nursing Service Staff,-,-,-,248,0,248
2012,Delaware,Occupational Therapists,-,-,-,5,0,5
2012,Delaware,Orientation and Mobility Specialists,-,-,-,-,-,-
2012,Delaware,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,812,1,813
2012,Delaware,Physical Therapists,-,-,-,7,0,7
2012,Delaware,Psychologists,-,-,-,198,0,198
2012,Delaware,Social Workers,-,-,-,35,0,35
2012,Delaware,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Delaware,Special Education Paraprofessionals for Ages 6-21,305,870,1175,-,-,-
2012,Delaware,Special Education Teachers for Ages 3-5,1,0,1,-,-,-
2012,Delaware,Special Education Teachers for Ages 6-21,428,53,481,-,-,-
2012,Delaware,Speech-Language Pathologists,-,-,-,213,0,213
2012,Delaware,Total Special Education Paraprofessionals,305,870,1175,-,-,-
2012,Delaware,Total Special Education Teachers,429,53,482,-,-,-
2012,District of Columbia,Audiologists,-,-,-,2,0,2
2012,District of Columbia,Counselors and Rehabilitation Counselors,-,-,-,3.17,14.5,17.67
2012,District of Columbia,Interpreters,-,-,-,0,0,0
2012,District of Columbia,Medical/Nursing Service Staff,-,-,-,0,4,4
2012,District of Columbia,Occupational Therapists,-,-,-,8.65,8.6,17.25
2012,District of Columbia,Orientation and Mobility Specialists,-,-,-,0,1.01,1.01
2012,District of Columbia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2012,District of Columbia,Physical Therapists,-,-,-,2,3,5
2012,District of Columbia,Psychologists,-,-,-,2.01,120.22,122.23
2012,District of Columbia,Social Workers,-,-,-,1,184.95,185.95
2012,District of Columbia,Special Education Paraprofessionals for Ages 3-5,15,2.5,17.5,-,-,-
2012,District of Columbia,Special Education Paraprofessionals for Ages 6-21,47.5,1.5,49,-,-,-
2012,District of Columbia,Special Education Teachers for Ages 3-5,78.34,11.89,90.23,-,-,-
2012,District of Columbia,Special Education Teachers for Ages 6-21,303.62,27.18,330.8,-,-,-
2012,District of Columbia,Speech-Language Pathologists,-,-,-,73.16,11.1,84.26
2012,District of Columbia,Total Special Education Paraprofessionals,62.5,4,66.5,-,-,-
2012,District of Columbia,Total Special Education Teachers,381.96,39.07,421.03,-,-,-
2012,Federated States of Micronesia,Audiologists,-,-,-,0,0,0
2012,Federated States of Micronesia,Counselors and Rehabilitation Counselors,-,-,-,2,0,2
2012,Federated States of Micronesia,Interpreters,-,-,-,0,0,0
2012,Federated States of Micronesia,Medical/Nursing Service Staff,-,-,-,0,0,0
2012,Federated States of Micronesia,Occupational Therapists,-,-,-,-,-,-
2012,Federated States of Micronesia,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Federated States of Micronesia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2012,Federated States of Micronesia,Physical Therapists,-,-,-,1,0,1
2012,Federated States of Micronesia,Psychologists,-,-,-,0,0,0
2012,Federated States of Micronesia,Social Workers,-,-,-,0,0,0
2012,Federated States of Micronesia,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Federated States of Micronesia,Special Education Paraprofessionals for Ages 6-21,1,12,13,-,-,-
2012,Federated States of Micronesia,Special Education Teachers for Ages 3-5,10,7,17,-,-,-
2012,Federated States of Micronesia,Special Education Teachers for Ages 6-21,92,62,154,-,-,-
2012,Federated States of Micronesia,Speech-Language Pathologists,-,-,-,1,0,1
2012,Federated States of Micronesia,Total Special Education Paraprofessionals,1,12,13,-,-,-
2012,Federated States of Micronesia,Total Special Education Teachers,102,69,171,-,-,-
2012,Florida,Audiologists,-,-,-,53.2,0,53.2
2012,Florida,Counselors and Rehabilitation Counselors,-,-,-,723.3,8.4,731.7
2012,Florida,Interpreters,-,-,-,479,26,505
2012,Florida,Medical/Nursing Service Staff,-,-,-,1222,1,1223
2012,Florida,Occupational Therapists,-,-,-,635.8,7,642.8
2012,Florida,Orientation and Mobility Specialists,-,-,-,75.5,9,84.5
2012,Florida,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,263.9,0,263.9
2012,Florida,Physical Therapists,-,-,-,232.9,3,235.9
2012,Florida,Psychologists,-,-,-,1166.5,2.3,1168.8
2012,Florida,Social Workers,-,-,-,580.6,10.5,591.1
2012,Florida,Special Education Paraprofessionals for Ages 3-5,1168.38,222.88,1391.26,-,-,-
2012,Florida,Special Education Paraprofessionals for Ages 6-21,9453.23,1803.31,11256.54,-,-,-
2012,Florida,Special Education Teachers for Ages 3-5,6637.27,391.76,7029.03,-,-,-
2012,Florida,Special Education Teachers for Ages 6-21,5118.23,812.29,5930.52,-,-,-
2012,Florida,Speech-Language Pathologists,-,-,-,3038.1,28,3066.1
2012,Florida,Total Special Education Paraprofessionals,10621.61,2026.19,12647.8,-,-,-
2012,Florida,Total Special Education Teachers,11755.5,1204.05,12959.55,-,-,-
2012,Georgia,Audiologists,-,-,-,34.1,0,34.1
2012,Georgia,Counselors and Rehabilitation Counselors,-,-,-,20.1,0,20.1
2012,Georgia,Interpreters,-,-,-,142.7,167,309.7
2012,Georgia,Medical/Nursing Service Staff,-,-,-,75.3,0,75.3
2012,Georgia,Occupational Therapists,-,-,-,438.2,0,438.2
2012,Georgia,Orientation and Mobility Specialists,-,-,-,24.4,0,24.4
2012,Georgia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,85.6,0,85.6
2012,Georgia,Physical Therapists,-,-,-,165.9,0,165.9
2012,Georgia,Psychologists,-,-,-,728,0,728
2012,Georgia,Social Workers,-,-,-,86.1,0,86.1
2012,Georgia,Special Education Paraprofessionals for Ages 3-5,710.1,0,710.1,-,-,-
2012,Georgia,Special Education Paraprofessionals for Ages 6-21,10964.6,0,10964.6,-,-,-
2012,Georgia,Special Education Teachers for Ages 3-5,779,109.3,888.3,-,-,-
2012,Georgia,Special Education Teachers for Ages 6-21,16160.3,317.4,16477.7,-,-,-
2012,Georgia,Speech-Language Pathologists,-,-,-,1813.9,0,1813.9
2012,Georgia,Total Special Education Paraprofessionals,11674.7,0,11674.7,-,-,-
2012,Georgia,Total Special Education Teachers,16939.3,426.7,17366,-,-,-
2012,Guam,Audiologists,-,-,-,1,0,1
2012,Guam,Counselors and Rehabilitation Counselors,-,-,-,0,0,0
2012,Guam,Interpreters,-,-,-,0,10,10
2012,Guam,Medical/Nursing Service Staff,-,-,-,0,0,0
2012,Guam,Occupational Therapists,-,-,-,1,1,2
2012,Guam,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Guam,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,2,0,2
2012,Guam,Physical Therapists,-,-,-,1,0,1
2012,Guam,Psychologists,-,-,-,1,0,1
2012,Guam,Social Workers,-,-,-,7,0,7
2012,Guam,Special Education Paraprofessionals for Ages 3-5,10,0,10,-,-,-
2012,Guam,Special Education Paraprofessionals for Ages 6-21,301,0,301,-,-,-
2012,Guam,Special Education Teachers for Ages 3-5,9,0,9,-,-,-
2012,Guam,Special Education Teachers for Ages 6-21,183,0,183,-,-,-
2012,Guam,Speech-Language Pathologists,-,-,-,10,0,10
2012,Guam,Total Special Education Paraprofessionals,311,0,311,-,-,-
2012,Guam,Total Special Education Teachers,192,0,192,-,-,-
2012,Hawaii,Audiologists,-,-,-,0,0,0
2012,Hawaii,Counselors and Rehabilitation Counselors,-,-,-,135,0,135
2012,Hawaii,Interpreters,-,-,-,11,0,11
2012,Hawaii,Medical/Nursing Service Staff,-,-,-,4,0,4
2012,Hawaii,Occupational Therapists,-,-,-,37,0,37
2012,Hawaii,Orientation and Mobility Specialists,-,-,-,14,0,14
2012,Hawaii,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,4,0,4
2012,Hawaii,Physical Therapists,-,-,-,17,0,17
2012,Hawaii,Psychologists,-,-,-,102,0,102
2012,Hawaii,Social Workers,-,-,-,77,0,77
2012,Hawaii,Special Education Paraprofessionals for Ages 3-5,215,6,221,-,-,-
2012,Hawaii,Special Education Paraprofessionals for Ages 6-21,1886,25,1911,-,-,-
2012,Hawaii,Special Education Teachers for Ages 3-5,216,30,246,-,-,-
2012,Hawaii,Special Education Teachers for Ages 6-21,1641,219,1860,-,-,-
2012,Hawaii,Speech-Language Pathologists,-,-,-,238,0,238
2012,Hawaii,Total Special Education Paraprofessionals,2101,31,2132,-,-,-
2012,Hawaii,Total Special Education Teachers,1857,249,2106,-,-,-
2012,Idaho,Audiologists,-,-,-,4,0,4
2012,Idaho,Counselors and Rehabilitation Counselors,-,-,-,0,0,0
2012,Idaho,Interpreters,-,-,-,0,41.51,41.51
2012,Idaho,Medical/Nursing Service Staff,-,-,-,115.77,0,115.77
2012,Idaho,Occupational Therapists,-,-,-,0,21.12,21.12
2012,Idaho,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Idaho,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,0,0,0
2012,Idaho,Physical Therapists,-,-,-,0,2.6,2.6
2012,Idaho,Psychologists,-,-,-,149.71,4,153.71
2012,Idaho,Social Workers,-,-,-,0,0,0
2012,Idaho,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Idaho,Special Education Paraprofessionals for Ages 6-21,2205.21,253.9,2459.11,-,-,-
2012,Idaho,Special Education Teachers for Ages 3-5,8.03,1.89,9.92,-,-,-
2012,Idaho,Special Education Teachers for Ages 6-21,487.44,38.44,525.88,-,-,-
2012,Idaho,Speech-Language Pathologists,-,-,-,178.07,1.12,179.19
2012,Idaho,Total Special Education Paraprofessionals,2205.21,253.9,2459.11,-,-,-
2012,Idaho,Total Special Education Teachers,495.47,40.33,535.8,-,-,-
2012,Illinois,Audiologists,-,-,-,34.54,0,34.54
2012,Illinois,Counselors and Rehabilitation Counselors,-,-,-,658.44,0,658.44
2012,Illinois,Interpreters,-,-,-,230.43,0,230.43
2012,Illinois,Medical/Nursing Service Staff,-,-,-,689.15,0,689.15
2012,Illinois,Occupational Therapists,-,-,-,983.06,0,983.06
2012,Illinois,Orientation and Mobility Specialists,-,-,-,29.28,0,29.28
2012,Illinois,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,212.17,0,212.17
2012,Illinois,Physical Therapists,-,-,-,365.46,0,365.46
2012,Illinois,Psychologists,-,-,-,2156.68,0,2156.68
2012,Illinois,Social Workers,-,-,-,3404.13,0,3404.13
2012,Illinois,Special Education Paraprofessionals for Ages 3-5,3677.55,0,3677.55,-,-,-
2012,Illinois,Special Education Paraprofessionals for Ages 6-21,35205.87,0,35205.87,-,-,-
2012,Illinois,Special Education Teachers for Ages 3-5,1558.64,2.5,1561.14,-,-,-
2012,Illinois,Special Education Teachers for Ages 6-21,22264.49,21.5,22285.99,-,-,-
2012,Illinois,Speech-Language Pathologists,-,-,-,3862.94,0,3862.94
2012,Illinois,Total Special Education Paraprofessionals,38883.42,0,38883.42,-,-,-
2012,Illinois,Total Special Education Teachers,23823.13,24,23847.13,-,-,-
2012,Indiana,Audiologists,-,-,-,27.4,0,27.4
2012,Indiana,Counselors and Rehabilitation Counselors,-,-,-,211.2,0,211.2
2012,Indiana,Interpreters,-,-,-,302,0,302
2012,Indiana,Medical/Nursing Service Staff,-,-,-,208.8,0,208.8
2012,Indiana,Occupational Therapists,-,-,-,285,0,285
2012,Indiana,Orientation and Mobility Specialists,-,-,-,11.9,0,11.9
2012,Indiana,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,56.5,0,56.5
2012,Indiana,Physical Therapists,-,-,-,144.4,0,144.4
2012,Indiana,Psychologists,-,-,-,435.5,0,435.5
2012,Indiana,Social Workers,-,-,-,256.4,0,256.4
2012,Indiana,Special Education Paraprofessionals for Ages 3-5,711.1,0,711.1,-,-,-
2012,Indiana,Special Education Paraprofessionals for Ages 6-21,8974.6,0,8974.6,-,-,-
2012,Indiana,Special Education Teachers for Ages 3-5,0,0,0,-,-,-
2012,Indiana,Special Education Teachers for Ages 6-21,1317.44,39.66,1357.1,-,-,-
2012,Indiana,Speech-Language Pathologists,-,-,-,932.9,0,932.9
2012,Indiana,Total Special Education Paraprofessionals,9685.7,0,9685.7,-,-,-
2012,Indiana,Total Special Education Teachers,1317.44,39.66,1357.1,-,-,-
2012,Iowa,Audiologists,-,-,-,41.78,0,41.78
2012,Iowa,Counselors and Rehabilitation Counselors,-,-,-,7.85,0,7.85
2012,Iowa,Interpreters,-,-,-,123.63,0,123.63
2012,Iowa,Medical/Nursing Service Staff,-,-,-,52.54,0,52.54
2012,Iowa,Occupational Therapists,-,-,-,63.51,0,63.51
2012,Iowa,Orientation and Mobility Specialists,-,-,-,10.68,0,10.68
2012,Iowa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,11.14,0,11.14
2012,Iowa,Physical Therapists,-,-,-,43.52,0,43.52
2012,Iowa,Psychologists,-,-,-,284.05,0,284.05
2012,Iowa,Social Workers,-,-,-,199.69,0,199.69
2012,Iowa,Special Education Paraprofessionals for Ages 3-5,1043.15,0,1043.15,-,-,-
2012,Iowa,Special Education Paraprofessionals for Ages 6-21,8700.64,0,8700.64,-,-,-
2012,Iowa,Special Education Teachers for Ages 3-5,585.92,0,585.92,-,-,-
2012,Iowa,Special Education Teachers for Ages 6-21,5343.4,0,5343.4,-,-,-
2012,Iowa,Speech-Language Pathologists,-,-,-,461.09,0,461.09
2012,Iowa,Total Special Education Paraprofessionals,9743.79,0,9743.79,-,-,-
2012,Iowa,Total Special Education Teachers,5929.32,0,5929.32,-,-,-
2012,Kansas,Audiologists,-,-,-,22.76,-,22.76
2012,Kansas,Counselors and Rehabilitation Counselors,-,-,-,34.28,-,34.28
2012,Kansas,Interpreters,-,-,-,55.04,-,55.04
2012,Kansas,Medical/Nursing Service Staff,-,-,-,86.2,-,86.2
2012,Kansas,Occupational Therapists,-,-,-,204.29,-,204.29
2012,Kansas,Orientation and Mobility Specialists,-,-,-,1.47,-,1.47
2012,Kansas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,49.15,-,49.15
2012,Kansas,Physical Therapists,-,-,-,80.46,-,80.46
2012,Kansas,Psychologists,-,-,-,519.11,-,519.11
2012,Kansas,Social Workers,-,-,-,283.28,-,283.28
2012,Kansas,Special Education Paraprofessionals for Ages 3-5,942.21,0,942.21,-,-,-
2012,Kansas,Special Education Paraprofessionals for Ages 6-21,11355.61,0,11355.61,-,-,-
2012,Kansas,Special Education Teachers for Ages 3-5,478.74,0,478.74,-,-,-
2012,Kansas,Special Education Teachers for Ages 6-21,2920.72,1296.14,4216.86,-,-,-
2012,Kansas,Speech-Language Pathologists,-,-,-,823.96,-,823.96
2012,Kansas,Total Special Education Paraprofessionals,12297.82,0,12297.82,-,-,-
2012,Kansas,Total Special Education Teachers,3399.46,1296.14,4695.6,-,-,-
2012,Kentucky,Audiologists,-,-,-,4.2,0,4.2
2012,Kentucky,Counselors and Rehabilitation Counselors,-,-,-,52.43,2,54.43
2012,Kentucky,Interpreters,-,-,-,96.5,3,99.5
2012,Kentucky,Medical/Nursing Service Staff,-,-,-,148.1,1,149.1
2012,Kentucky,Occupational Therapists,-,-,-,256.11,5,261.11
