County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2007 Live Births,2007 Teen Unmarried Births,2007 Percentage,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Emmet,126,15,11.90%,127,9,7.10%,-40.50%,19_032,19,2,4,,
Fayette,233,19,8.20%,232,16,6.90%,-15.40%,19_033,19,2,4,,
Floyd,199,11,5.50%,213,15,7.00%,27.40%,19_034,19,2,4,,
Franklin,113,12,10.60%,173,10,5.80%,-45.60%,19_035,19,2,4,,
Fremont,82,4,4.90%,108,7,6.50%,32.90%,19_036,19,2,4,,
Greene,92,11,12.00%,95,4,4.20%,-64.80%,19_037,19,2,4,,
Grundy,133,6,4.50%,139,5,3.60%,-20.30%,19_038,19,2,4,,
Guthrie,134,10,7.50%,122,C,N/A,N/A,19_039,19,2,4,,
Hamilton,192,17,8.90%,193,11,5.70%,-35.60%,19_040,19,2,4,,
Hancock,131,9,6.90%,133,18,13.50%,97.00%,19_041,19,2,4,,
Hardin,208,19,9.10%,200,20,10.00%,9.50%,19_042,19,2,4,,
Harrison,193,15,7.80%,211,8,3.80%,-51.20%,19_043,19,2,4,,
Henry,264,23,8.70%,251,23,9.20%,5.20%,19_044,19,2,4,,
Howard,110,6,5.50%,140,7,5.00%,-8.30%,19_045,19,2,4,,
Humboldt,99,6,6.10%,106,4,3.80%,-37.70%,19_046,19,2,4,,
Ida,70,5,7.10%,97,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,17,9.30%,169,12,7.10%,-23.60%,19_048,19,2,4,,
Jackson,239,22,9.20%,219,19,8.70%,-5.70%,19_049,19,2,4,,
Jasper,458,33,7.20%,423,29,6.90%,-4.80%,19_050,19,2,4,,
Jefferson,145,10,6.90%,155,15,9.70%,40.30%,19_051,19,2,4,,
Johnson,"1,382",55,4.00%,"1,650",68,4.10%,3.60%,19_052,19,2,4,,
Jones,227,14,6.20%,242,13,5.40%,-12.90%,19_053,19,2,4,,
Keokuk,154,14,9.10%,124,7,5.60%,-37.90%,19_054,19,2,4,,
Kossuth,166,10,6.00%,187,4,2.10%,-64.50%,19_055,19,2,4,,
Lee,410,42,10.20%,419,52,12.40%,21.20%,19_056,19,2,4,,
Linn,"2,715",180,6.60%,"2,844",184,6.50%,-2.40%,19_057,19,2,4,,
Louisa,164,7,4.30%,157,21,13.40%,213.40%,19_058,19,2,4,,
Lucas,119,10,8.40%,131,17,13.00%,54.40%,19_059,19,2,4,,
Lyon,159,6,3.80%,167,C,N/A,N/A,19_119,19,2,4,,
Madison,196,10,5.10%,192,9,4.70%,-8.10%,19_121,19,2,4,,
Mahaska,283,31,11.00%,295,26,8.80%,-19.50%,19_123,19,2,4,,
Marion,383,23,6.00%,451,29,6.40%,7.10%,19_125,19,2,4,,
Marshall,556,73,13.10%,606,60,9.90%,-24.60%,19_127,19,2,4,,
Mills,155,15,9.70%,188,6,3.20%,-67.00%,19_129,19,2,4,,
Mitchell,131,4,3.10%,108,0,0.00%,-100.00%,19_131,19,2,4,,
Monona,98,13,13.30%,99,6,6.10%,-54.30%,19_133,19,2,4,,
Monroe,102,8,7.80%,93,4,4.30%,-45.20%,19_135,19,2,4,,
Montgomery,139,7,5.00%,138,7,5.10%,0.70%,19_137,19,2,4,,
Muscatine,638,80,12.50%,628,65,10.40%,-17.50%,19_139,19,2,4,,
O'Brien,187,16,8.60%,176,16,9.10%,6.30%,19_141,19,2,4,,
Osceola,73,5,6.80%,66,C,N/A,N/A,19_143,19,2,4,,
Page,169,17,10.10%,177,14,7.90%,-21.40%,19_145,19,2,4,,
Palo Alto,110,13,11.80%,118,4,3.40%,-71.30%,19_147,19,2,4,,
Plymouth,309,26,8.40%,336,19,5.70%,-32.80%,19_149,19,2,4,,
Pocahontas,73,4,5.50%,74,8,10.80%,97.30%,19_151,19,2,4,,
Polk,"6,216",517,8.30%,"6,915",551,8.00%,-4.20%,19_153,19,2,4,,
Pottawattamie,"1,184",140,11.80%,"1,233",96,7.80%,-34.20%,19_155,19,2,4,,
Poweshiek,212,19,9.00%,213,15,7.00%,-21.40%,19_157,19,2,4,,
Ringgold,69,5,7.20%,60,4,6.70%,-8.00%,19_159,19,2,4,,
Sac,135,6,4.40%,113,7,6.20%,39.40%,19_161,19,2,4,,
Scott,"2,348",258,11.00%,"2,343",223,9.50%,-13.40%,19_163,19,2,4,,
Shelby,150,12,8.00%,131,4,3.10%,-61.80%,19_165,19,2,4,,
Sioux,457,22,4.80%,501,22,4.40%,-8.80%,19_167,19,2,4,,
Story,940,32,3.40%,"1,042",46,4.40%,29.70%,19_169,19,2,4,,
Tama,251,24,9.60%,211,26,12.30%,28.90%,19_171,19,2,4,,
Taylor,87,8,9.20%,64,5,7.80%,-15.00%,19_173,19,2,4,,
Union,127,8,6.30%,165,10,6.10%,-3.80%,19_175,19,2,4,,
Van Buren,97,11,11.30%,106,8,7.50%,-33.40%,19_177,19,2,4,,
Wapello,424,56,13.20%,513,67,13.10%,-1.10%,19_179,19,2,4,,
Warren,513,37,7.20%,527,35,6.60%,-7.90%,19_181,19,2,4,,
Washington,290,13,4.50%,258,16,6.20%,38.30%,19_183,19,2,4,,
Wayne,79,5,6.30%,92,11,12.00%,88.90%,19_185,19,2,4,,
Webster,492,51,10.40%,495,55,11.10%,7.20%,19_187,19,2,4,,
Winnebago,134,13,9.70%,99,7,7.10%,-27.10%,19_189,19,2,4,,
Winneshiek,191,13,6.80%,232,5,2.20%,-68.30%,19_191,19,2,4,,
Woodbury,"1,692",181,10.70%,"1,622",156,9.60%,-10.10%,19_193,19,2,4,,
Worth,84,6,7.10%,73,7,9.60%,34.20%,19_195,19,2,4,,
Wright,168,12,7.10%,177,20,11.30%,58.20%,19_197,19,2,4,,
State,"38,250","3,201",8.40%,"40,835","3,045",7.50%,-10.90%,,19,2,4,,
Rural,"5,650",429,7.60%,"5,835",381,6.50%,-14.00%,,,,,,IA_Rural_Counties
Small Urban,"13,351","1,151",8.60%,"14,378","1,096",7.60%,-11.60%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,621",8.40%,"20,622","1,568",7.60%,-9.70%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","377,675",9.30%,"4,265,996","372,826",8.70%,-6.20%,,,,,US_National,
