State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of White	Percent of White	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
New York		36	1	2	"6,709"	37	0.6	160	2.4	"1,412"	21	"2,461"	36.7	"2,587"	38.6	DS	0	50	0.7	"1,587"	23.7	113	1.7	633	9.4	"1,401"
North Carolina		37	3	5	"11,375"	246	2.2	163	1.4	"1,875"	16.5	"4,948"	43.5	"3,779"	33.2	4	0	360	3.2	"2,568"	22.6	474	4.2	"1,207"	10.6	616
North Dakota		38	2	4	174	96	55.2	8	4.6	4	2.3	6	3.4	60	34.5	0	0	0	0	45	25.9	7	4	61	35.1	167
Ohio		39	2	3	"10,538"	20	0.2	70	0.7	530	5	"5,118"	48.6	"4,332"	41.1	4	0	464	4.4	"2,268"	21.5	113	1.1	290	2.8	948
Oklahoma		40	3	7	"2,053"	301	14.7	21	1	348	17	475	23.1	826	40.2	8	0.4	74	3.6	369	18	9	0.4	159	7.7	499
Oregon		41	9	4	560	8	1.4	9	1.6	91	16.3	18	3.2	390	69.6	4	0.7	40	7.1	87	15.5	16	2.9	25	4.5	359
Pennsylvania		42	1	2	"6,150"	8	0.1	96	1.6	"1,050"	17.1	"1,999"	32.5	"2,883"	46.9	DS	0	112	1.8	"1,358"	22.1	58	0.9	280	4.6	793
Rhode Island		44	1	1	"1,108"	15	1.4	27	2.4	411	37.1	135	12.2	467	42.1	DS	0.2	51	4.6	294	26.5	28	2.5	74	6.7	58
South Carolina		45	3	5	"7,035"	26	0.4	27	0.4	426	6.1	"3,335"	47.4	"3,067"	43.6	DS	0	152	2.2	"1,274"	18.1	135	1.9	283	4	274
South Dakota		46	2	4	792	280	35.4	16	2	59	7.4	35	4.4	383	48.4	0	0	19	2.4	136	17.2	7	0.9	52	6.6	186
Tennessee		47	3	6	"4,771"	11	0.2	62	1.3	144	3	"2,373"	49.7	"2,154"	45.1	4	0.1	23	0.5	811	17	51	1.1	321	6.7	402
Texas		48	3	7	"36,245"	170	0.5	549	1.5	"22,511"	62.1	"5,680"	15.7	"6,830"	18.8	41	0.1	464	1.3	"5,423"	15	"1,503"	4.1	"4,990"	13.8	"2,226"
Utah		49	4	8	340	8	2.4	DS	0.6	48	14.1	6	1.8	270	79.4	DS	0.6	4	1.2	80	23.5	DS	0.6	17	5	250
Vermont		50	1	1	216	4	1.9	4	1.9	4	1.9	4	1.9	198	91.7	0	0	DS	0.9	40	18.5	17	7.9	4	1.9	63
Virginia		51	3	5	"6,626"	37	0.6	161	2.4	"1,042"	15.7	"2,801"	42.3	"2,393"	36.1	6	0.1	186	2.8	"1,674"	25.3	157	2.4	735	11.1	429
Washington		53	4	9	"4,032"	100	2.5	236	5.9	"1,146"	28.4	587	14.6	"1,669"	41.4	90	2.2	204	5.1	529	13.1	119	3	571	14.2	658
West Virginia		54	3	5	"1,506"	DS	0.1	DS	0.1	17	1.1	151	10	"1,325"	88	DS	0.1	7	0.5	188	12.5	10	0.7	DS	0.1	155
Wisconsin		55	2	3	"3,026"	46	1.5	37	1.2	543	17.9	"1,681"	55.6	704	23.3	0	0	15	0.5	922	30.5	21	0.7	265	8.8	594
Wyoming		56	4	8	202	49	24.3	DS	1	26	12.9	4	2	117	57.9	0	0	4	2	40	19.8	4	2	13	6.4	93
