,2000,2000,,2012,2012,,
Marion,"2,591",0,0,"2,674 *",NA,NA,
Marshall,"2,889",0,0,"2,776 0",0,0.00%,
Mills,"1,100",*,NA,"1,047 0",0,NA,
Mitchell,785,0,0,739 0,0,0.00%,
Monona,671,*,NA,577 0,0,NA,
Monroe,558,0,0,537 0,0,0.00%,
Montgomery,820,0,0,707 0,0,0.00%,
Muscatine,"3,102",0,0,"2,895 4",138,NA,
O'Brien,"1,198",*,NA,877 *,NA,NA,
Osceola,514,0,0,385 0,0,0.00%,
Page,"1,254",*,NA,"1,105 *",NA,NA,
Palo Alto,914,*,NA,606 0,0,NA,
Plymouth,"2,101",*,NA,"1,750 *",NA,NA,
Pocahontas,633,*,NA,421 0,0,NA,
Polk,"25,121",11,44,"28,242 13",46,5.10%,
Pottawattamie,"6,672",*,NA,"6,275 *",NA,NA,
Poweshiek,"1,626",*,NA,"1,618 0",0,NA,
Ringgold,430,0,0,303 0,0,0.00%,
Sac,830,0,0,619 0,0,0.00%,
Scott,"11,698",4,34,"11,110 4",36,5.30%,
Shelby,997,0,0,799 0,0,0.00%,
Sioux,"3,492",8,229,"3,051 0",0,-100.00%,
Story,"9,090",*,NA,"9,680 0",0,NA,
Tama,"1,354",*,NA,"1,275 0",0,NA,
Taylor,527,*,NA,399 0,0,NA,
Union,969,0,0,832 *,NA,NA,
Van Buren,543,*,NA,454 0,0,NA,
Wapello,"2,646",0,0,"2,324 *",NA,NA,
Warren,"3,317",*,NA,"3,602 *",NA,NA,
Washington,"1,420",0,0,"1,474 *",NA,NA,
Wayne,469,*,NA,373 0,0,NA,
Webster,"3,277",*,NA,"2,845 *",NA,NA,
Winnebago,"1,026",*,NA,718 0,0,NA,
Winneshiek,"2,259",*,NA,"2,045 *",NA,NA,
Woodbury,"7,959",*,NA,"7,540 4",53,NA,
Worth,544,0,0,541 0,0,0.00%,
Wright,"1,002",*,NA NA,791 *,NA,,
State,"226,420",107,-11.7% 47,"213,341 89",42,,
Rural,"35,776",27,75,"29,627 10",34,-55.30%,
Small Urban,"87,109",47,54,"78,956 38",48,-10.80%,
Metropolitan,"103,535",33,22.8% 32,"104,758 41",39,,
United States,"20,219,890","13,563",67,"21,648,402 10,914",50,-24.80%,
