Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,50,1,1
Expulsions without educational services total,4,100,0,0,4,100,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0,0,295,50,1,1
Expulsions with or without educational services for males,31,88.6,DS,5.7,29,82.9,0,0,0,0,0,0,0,0,29,87.9,0,0,0,0,0,0,295,50,1,1
Expulsions with or without educational services for females,4,11.4,0,0,4,11.4,0,0,0,0,0,0,0,0,4,12.1,0,0,0,0,0,0,295,50,1,1
Expulsions with or without educational services total,35,100,DS,5.7,33,94.3,0,0,0,0,0,0,0,0,33,100,0,0,0,0,0,0,295,50,1,1
Expulsions under zero-tolerance policies for males,4,100,DS,50,DS,50,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,295,50,1,1
Expulsions under zero-tolerance policies for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,50,1,1
Expulsions under zero-tolerance policies total,4,100,DS,50,DS,50,0,0,0,0,0,0,0,0,DS,100,0,0,0,0,0,0,295,50,1,1
Referral to law enforcement for males,144,75.8,29,15.3,115,60.5,DS,1.3,0,0,4,2.6,8,5.2,99,64.3,DS,1.3,0,0,DS,1.1,295,50,1,1
Referral to law enforcement for females,46,24.2,7,3.7,39,20.5,DS,1.3,0,0,0,0,DS,1.3,35,22.7,0,0,0,0,DS,1.1,295,50,1,1
Referral to law enforcement total,190,100,36,18.9,154,81.1,4,2.6,0,0,4,2.6,10,6.5,134,87,DS,1.3,0,0,4,2.1,295,50,1,1
School-related arrests for males,24,75,5,15.6,19,59.4,DS,8,0,0,0,0,4,16,13,52,0,0,0,0,0,0,295,50,1,1
School-related arrests for females,8,25,DS,6.3,6,18.8,DS,8,0,0,0,0,0,0,DS,8,0,0,DS,8,0,0,295,50,1,1
School-related arrests total,32,100,7,21.9,25,78.1,4,16,0,0,0,0,4,16,15,60,0,0,DS,8,0,0,295,50,1,1
